"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"The Scarab God","UB","M","1462","87.5%","61.9%","265",""
"Unesh, Criosphinx Sovereign","U","M","1367","82.3%","61.7%","247",""
"Glorybringer","R","R","2665","90.9%","61.1%","433",""
"Sand Strangler","R","U","10602","84.1%","60.7%","1963","65.9%"
"Insult // Injury","R","R","2593","82.2%","60.5%","450",""
"Samut, Voice of Dissent","RG","M","1188","75.6%","60.4%","193",""
"Struggle // Survive","RG","U","9103","83.0%","60.4%","1770","61.1%"
"Vizier of the Anointed","U","U","5722","57.7%","60.3%","1059","61.2%"
"Jace, Unraveler of Secrets","U","M","1193","86.6%","60.3%","192",""
"Sunscourge Champion","W","U","8476","88.1%","60.2%","1671","62.2%"
"Angel of Sanctions","W","M","1262","90.2%","60.0%","204",""
"Oketra the True","W","M","1315","94.9%","59.9%","232",""
"Farm // Market","WU","U","5863","71.1%","59.9%","1153","59.2%"
"Ahn-Crop Crasher","R","U","9032","89.6%","59.8%","1846","60.7%"
"Heaven // Earth","RG","R","1212","52.6%","59.8%","204",""
"Steward of Solidarity","W","U","8638","87.0%","59.7%","1732","64.4%"
"Temmet, Vizier of Naktamun","WU","R","1418","61.8%","59.6%","269",""
"Champion of Wits","U","R","2825","88.4%","59.5%","460",""
"Earthshaker Khenra","R","R","2900","88.9%","59.4%","538","64.7%"
"Aven Wind Guide","WU","U","4836","62.3%","59.4%","948","61.4%"
"Deem Worthy","R","U","10102","85.5%","59.4%","1954","61.0%"
"Commit // Memory","U","R","1768","75.1%","59.3%","267",""
"The Scorpion God","BR","M","1399","87.2%","59.3%","264",""
"Glory-Bound Initiate","W","R","2692","89.1%","59.2%","483",""
"Nicol Bolas, God-Pharaoh","UBR","M","994","76.2%","59.2%","165",""
"Labyrinth Guardian","U","U","8479","82.1%","59.1%","1727","61.4%"
"Magma Spray","R","C","22094","85.5%","59.0%","5121","62.8%"
"Desert's Hold","W","U","8559","87.5%","59.0%","1578","60.7%"
"Trial of Zeal","R","U","10409","89.2%","58.9%","2069","60.4%"
"Ramunap Ruins","","U","8739","87.6%","58.9%","1747","58.3%"
"Lay Claim","U","U","8836","84.0%","58.9%","1703","56.7%"
"Cut // Ribbons","BR","R","2792","89.4%","58.8%","475",""
"Burning-Fist Minotaur","R","U","9142","87.5%","58.8%","1840","59.9%"
"Sacred Cat","W","C","10445","65.3%","58.8%","2152","61.1%"
"Wrath of God","W","R","1773","77.6%","58.8%","293",""
