"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Siege Veteran","W","R","38686","93.4%","60.8%","7110","71.1%"
"Wurmcoil Engine","","M","14327","99.9%","60.0%","2498","66.3%"
"Titania's Command","G","R","40204","89.7%","59.9%","6938","66.5%"
"Tyrant of Kher Ridges","R","R","37812","89.5%","59.7%","6245","63.5%"
"Cityscape Leveler","","M","18966","96.6%","59.7%","2998","63.8%"
"Skystrike Officer","U","R","36959","91.9%","59.5%","6638","67.7%"
"Harbin, Vanguard Aviator","WU","R","25691","72.9%","59.5%","4604","66.0%"
"Gix's Command","B","R","36897","89.2%","59.1%","6293","64.2%"
"Static Net","W","U","118220","89.2%","59.1%","19766","61.1%"
"Steel Seraph","W","R","39848","99.1%","59.1%","6853","64.8%"
"Loran of the Third Path","W","R","34589","88.1%","59.1%","6136","62.2%"
"Skitterbeam Battalion","R","M","18016","91.0%","58.9%","2979","62.6%"
"Recruitment Officer","W","U","111509","85.9%","58.9%","19914","63.1%"
"Surge Engine","U","M","17847","89.3%","58.8%","3299","65.7%"
"Precursor Golem","","R","27801","98.7%","58.7%","4829","64.1%"
"Zephyr Sentinel","U","U","104863","82.9%","58.6%","18460","60.4%"
"Airlift Chaplain","W","C","282862","77.7%","58.6%","49704","59.0%"
"Platoon Dispenser","W","M","18721","98.6%","58.5%","3210","64.0%"
"Horned Stoneseeker","R","U","137866","89.2%","58.4%","24659","64.3%"
"Scrapwork Cohort","W","C","406621","90.8%","58.4%","69658","59.1%"
"Thopter Mechanic","U","U","111667","84.3%","58.3%","19905","65.2%"
"Mishra's Research Desk","R","U","137493","81.3%","58.3%","24884","58.3%"
"Scrapwork Mutt","R","C","452798","93.0%","58.3%","83567","59.8%"
"Ambush Paratrooper","W","C","271189","85.4%","58.2%","48329","58.6%"
"Third Path Iconoclast","UR","U","86949","65.0%","58.2%","15324","64.0%"
"Phyrexian Dragon Engine","R","R","39309","96.6%","58.1%","7094","62.6%"
"Yotian Tactician","WU","U","74826","71.3%","58.1%","12552","59.5%"
"Yotian Frontliner","W","U","79409","76.6%","58.0%","14440","60.0%"
"Aeronaut Cavalry","W","C","227506","74.4%","58.0%","35866","57.6%"
"Giant Cindermaw","R","U","122066","88.6%","57.9%","21344","60.3%"
"Simian Simulacrum","G","R","38840","97.2%","57.9%","6996","62.8%"
"In the Trenches","W","M","15862","85.4%","57.9%","2709","61.2%"
"Myrel, Shield of Argive","W","M","16703","90.3%","57.9%","2793","63.1%"
"Misery's Shadow","B","R","36230","89.9%","57.8%","6512","64.6%"
"Military Discipline","W","C","97384","32.3%","57.7%","15401","56.9%"
"Skyfisher Spider","BG","U","112611","78.9%","57.7%","18595","58.8%"
"Prison Sentence","W","C","277477","87.7%","57.6%","47522","56.9%"
"Excavation Explosion","R","C","354626","90.7%","57.6%","61439","58.8%"
"Feldon, Ronom Excavator","R","R","34524","84.3%","57.5%","6276","61.9%"
"Goblin Blast-Runner","R","C","236376","57.5%","57.5%","41336","60.0%"
"Loran's Escape","W","C","116714","43.1%","57.5%","18553","57.4%"
"Saheeli, Filigree Master","UR","M","15084","80.7%","57.5%","2543","62.6%"
"Fallaji Vanguard","WR","U","81841","66.9%","57.5%","13607","58.3%"
"Combat Thresher","W","U","109907","88.7%","57.5%","19058","59.6%"
"Obliterating Bolt","R","U","121543","91.2%","57.5%","21240","58.9%"
"Machine Over Matter","U","C","129460","46.4%","57.5%","21294","55.8%"
"Portal to Phyrexia","","M","16760","90.2%","57.5%","2667","61.3%"
"Combat Courier","U","C","283898","77.6%","57.4%","52433","58.6%"
"Draconic Destiny","R","M","17462","86.7%","57.4%","3001","57.7%"
"Phalanx Vanguard","W","C","250294","81.9%","57.3%","44711","58.2%"
"Ashnod's Harvester","B","U","134589","90.6%","57.3%","24439","60.1%"
"Fallaji Archaeologist","U","C","91382","31.1%","57.2%","16130","57.8%"
"Fortified Beachhead","WU","R","20642","69.8%","57.2%","3717","57.7%"
"Desynchronize","U","C","64069","22.0%","57.1%","10032","56.0%"
