"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Sublime Epiphany","U","R","695","93.9%","62.6%","113",""
"Spectral Sailor","U","U","1677","97.2%","61.8%","335",""
"Militia Bugler","W","U","1054","88.8%","61.7%","205",""
"Mazemind Tome","","R","707","100.0%","61.7%","146",""
"Primal Might","G","R","576","96.2%","61.6%","105",""
"Empyrean Eagle","WU","U","835","78.8%","61.6%","153",""
"Skyknight Vanguard","WR","U","871","85.1%","61.5%","186",""
"Indulging Patrician","WB","U","861","87.9%","61.1%","147",""
"Leonin Warleader","W","R","635","97.7%","60.9%","114",""
"Master Splicer","W","U","1324","90.8%","60.7%","245",""
"Alpine Houndmaster","WR","U","734","60.0%","60.6%","130",""
"Diamond Mare","","U","761","86.7%","60.6%","129",""
"Scavenging Ooze","G","R","686","97.9%","60.5%","117",""
"Tide Skimmer","U","U","1338","94.6%","60.2%","248",""
"Seasoned Hallowblade","W","U","1680","93.3%","60.2%","318",""
"Mystic Archaeologist","U","R","547","93.0%","60.1%","106",""
"Tomebound Lich","UB","U","928","77.9%","60.1%","185",""
"Mask of Immolation","R","U","1015","77.5%","60.1%","208",""
"Shacklegeist","U","R","611","96.8%","60.1%","122",""
"Fell Specter","B","U","728","78.7%","60.0%","129",""
"Scuttlemutt","","U","1040","88.7%","60.0%","205",""
"Shipwreck Dowser","U","U","1490","93.6%","60.0%","288",""
"Make a Stand","W","U","609","81.1%","59.9%","123",""
"Defiant Strike","W","C","678","38.5%","59.9%","112",""
"Gods Willing","W","U","1108","85.8%","59.8%","188",""
"Roaming Ghostlight","U","C","4606","98.2%","59.8%","872","60.0%"
"Angel of the Dawn","W","C","3030","83.0%","59.7%","542","59.0%"
"Hired Blade","B","C","1002","53.2%","59.7%","187",""
"Celestial Enforcer","W","C","1721","70.4%","59.7%","326",""
"Vampire Sovereign","B","U","1398","85.1%","59.7%","250",""
"Agent of Treachery","U","R","756","92.4%","59.7%","125",""
"Watcher of the Spheres","WU","U","772","73.1%","59.6%","131",""
"Scholar of the Ages","U","U","1101","74.7%","59.5%","172",""
"Lofty Denial","U","C","1855","73.0%","59.4%","333",""
"Star-Crowned Stag","W","C","3287","84.5%","59.4%","656","59.6%"
"Kitesail Freebooter","B","U","1125","94.4%","59.4%","208",""
"Selfless Savior","W","U","1243","92.6%","59.4%","239",""
"Departed Deckhand","U","U","1626","89.5%","59.3%","299",""
"Moment of Heroism","W","C","1348","61.9%","59.3%","231",""
"Angelic Ascension","W","U","1009","89.0%","59.2%","185",""
"Bone to Ash","U","U","935","79.1%","59.1%","148",""
"Ancestral Blade","W","U","1368","94.8%","59.1%","265",""
"Goreclaw, Terror of Qal Sisma","G","R","575","96.6%","59.1%","108",""
"Patient Rebuilding","U","R","641","93.4%","59.1%","101",""
"Winged Words","U","C","3545","94.4%","59.1%","676","58.3%"
"Basri's Acolyte","W","C","3653","96.6%","59.1%","696","61.6%"
"Pattern Matcher","","U","564","51.2%","59.0%","114",""
"Essence Scatter","U","C","3355","86.2%","59.0%","629","62.0%"
"Siege Striker","W","U","1217","94.2%","59.0%","215",""
"Heroic Reinforcements","WR","U","1281","79.3%","58.9%","239",""
"Volcanic Salvo","R","R","599","89.1%","58.9%","111",""
"Waker of Waves","U","U","1601","97.5%","58.9%","299",""
"Windreader Sphinx","U","R","513","88.1%","58.9%","81",""
"Dungeon Geists","U","R","525","92.3%","58.9%","92",""
"Meteor Golem","","U","1606","97.2%","58.8%","265",""
"Pegasus Courser","W","C","3403","86.5%","58.8%","709","58.1%"
"Lightning Stormkin","UR","U","699","74.2%","58.8%","135",""
"Barrin, Tolarian Archmage","U","R","541","99.4%","58.8%","98",""
"Soul Sear","R","U","1425","95.4%","58.7%","274",""
"Feat of Resistance","W","C","3686","93.0%","58.7%","703","59.2%"
"Cloudkin Seer","U","C","4111","96.8%","58.7%","833","64.2%"
"Gallant Cavalry","W","C","2447","83.7%","58.6%","483",""
"Hanged Executioner","W","R","585","93.5%","58.6%","104",""
"Murder","B","U","1336","88.0%","58.6%","233",""
"Soul Salvage","B","C","2442","73.8%","58.6%","415",""
"Lich's Caress","B","C","3327","87.0%","58.6%","612","58.2%"
"Griffin Protector","W","C","2376","86.8%","58.5%","440",""
"Inspiring Captain","W","C","2168","78.7%","58.5%","387",""
"Loyal Pegasus","W","U","951","85.4%","58.5%","195",""
"Vampire of the Dire Moon","B","U","1090","95.9%","58.4%","188",""
"Chandra's Magmutt","R","C","3289","93.5%","58.4%","664","60.2%"
"Anointed Chorister","W","C","2724","91.5%","58.4%","569","60.3%"
"Herald of the Sun","W","U","947","87.0%","58.4%","135",""
"Aven Wind Mage","U","C","3050","86.3%","58.4%","673","57.7%"
"Rain of Revelation","U","U","1430","91.6%","58.3%","248",""
"Skymarch Bloodletter","B","C","3079","85.0%","58.2%","583","58.5%"
"Octoprophet","U","C","2212","76.7%","58.2%","425",""
"Blood Burglar","B","C","2846","90.3%","58.2%","600","60.3%"
