Name,Color,Rarity,# GP,% GP,GP WR,# OH,OH WR
"Lolth, Spider Queen",B,M,9975,90.20%,59.40%,1639,67.70%
Gelatinous Cube,B,R,21089,88.90%,59.00%,3573,63.40%
Meteor Swarm,R,R,25437,90.00%,58.70%,4171,62.60%
Ranger Class,G,R,21484,90.80%,58.70%,4014,69.20%
Price of Loyalty,R,C,95536,55.40%,58.60%,25234,59.10%
Skullport Merchant,B,U,67123,89.90%,58.60%,13701,62.80%
"Nadaar, Selfless Paladin",W,R,19915,91.40%,58.50%,3639,69.70%
Warlock Class,B,U,57585,79.30%,58.40%,11408,61.50%
"Kalain, Reclusive Painter",BR,U,53222,78.00%,58.30%,11511,63.00%
"Zariel, Archduke of Avernus",R,M,9785,89.00%,58.30%,1691,64.50%
Battle Cry Goblin,R,U,70360,91.10%,58.20%,14908,61.00%
"Orcus, Prince of Undeath",BR,R,23305,90.50%,58.20%,3863,61.70%
Inferno of the Star Mounts,R,M,10625,90.70%,58.00%,1716,62.90%
Den of the Bugbear,,R,20177,86.50%,57.90%,3670,62.70%
Forsworn Paladin,B,R,19862,87.40%,57.80%,3551,62.70%
Power Word Kill,B,U,59229,90.60%,57.70%,11610,60.10%
Westgate Regent,B,R,21712,91.80%,57.70%,3712,62.60%
Vampire Spawn,B,C,104535,71.80%,57.50%,26173,58.20%
Sepulcher Ghoul,B,C,125882,72.20%,57.50%,33494,59.10%
Mind Flayer,U,R,15873,81.00%,57.50%,2675,62.10%
Deadly Dispute,B,C,111857,70.50%,57.50%,25129,57.60%
Wight,B,R,19885,87.60%,57.50%,3688,63.90%
Drizzt Do'Urden,WG,R,20103,86.70%,57.40%,3471,63.10%
Grim Bounty,B,C,132824,89.20%,57.40%,30209,58.60%
Adult Gold Dragon,WR,R,23113,91.40%,57.30%,4011,61.60%
Swarming Goblins,R,C,121186,78.70%,57.30%,25449,58.60%
Ray of Enfeeblement,B,U,57110,80.40%,57.20%,10928,58.30%
Hive of the Eye Tyrant,,R,17839,84.20%,57.20%,3320,60.00%
"Ebondeath, Dracolich",B,M,9542,87.20%,57.20%,1648,62.70%
Dragon's Fire,R,C,147119,90.00%,57.20%,36372,59.30%
"Iymrith, Desert Doom",U,M,8185,83.00%,57.20%,1358,64.80%
Magic Missile,R,U,63559,90.60%,57.10%,12264,56.90%
Shambling Ghast,B,C,122393,81.30%,57.10%,29100,60.40%
Hired Hexblade,B,C,100884,66.60%,57.00%,23612,56.40%
Red Dragon,R,U,55915,89.10%,57.00%,9553,57.60%
Chaos Channeler,R,U,60397,89.10%,57.00%,11219,57.50%
Black Dragon,B,U,52614,86.60%,56.90%,8711,57.80%
Flameskull,R,M,10754,87.20%,56.90%,1909,59.30%
Valor Singer,R,C,122233,80.00%,56.90%,28980,58.30%
Hobgoblin Captain,R,C,144696,88.90%,56.90%,39282,59.30%
Plundering Barbarian,R,C,136836,84.50%,56.80%,31923,56.60%
Reaper's Talisman,B,U,63081,89.20%,56.70%,12051,57.90%
