Name,Color,Rarity,# GP,% GP,GP WR,# OH,OH WR,power_level
"Lolth, Spider Queen",B,M,9975,90.2,59.4,1639,67.7%,4
Gelatinous Cube,B,R,21089,88.9,59.0,3573,63.4%,4
Meteor Swarm,R,R,25437,90.0,58.7,4171,62.6%,3
Ranger Class,G,R,21484,90.8,58.7,4014,69.2%,3
Price of Loyalty,R,C,95536,55.4,58.6,25234,59.1%,3
Skullport Merchant,B,U,67123,89.9,58.6,13701,62.8%,3
"Nadaar, Selfless Paladin",W,R,19915,91.4,58.5,3639,69.7%,3
Warlock Class,B,U,57585,79.3,58.4,11408,61.5%,3
"Kalain, Reclusive Painter",BR,U,53222,78.0,58.3,11511,63.0%,3
"Zariel, Archduke of Avernus",R,M,9785,89.0,58.3,1691,64.5%,3
Battle Cry Goblin,R,U,70360,91.1,58.2,14908,61.0%,3
"Orcus, Prince of Undeath",BR,R,23305,90.5,58.2,3863,61.7%,3
Inferno of the Star Mounts,R,M,10625,90.7,58.0,1716,62.9%,3
Den of the Bugbear,,R,20177,86.5,57.9,3670,62.7%,3
Forsworn Paladin,B,R,19862,87.4,57.8,3551,62.7%,3
Power Word Kill,B,U,59229,90.6,57.7,11610,60.1%,3
Westgate Regent,B,R,21712,91.8,57.7,3712,62.6%,3
Vampire Spawn,B,C,104535,71.8,57.5,26173,58.2%,2
Sepulcher Ghoul,B,C,125882,72.2,57.5,33494,59.1%,2
Mind Flayer,U,R,15873,81.0,57.5,2675,62.1%,3
Deadly Dispute,B,C,111857,70.5,57.5,25129,57.6%,2
Wight,B,R,19885,87.6,57.5,3688,63.9%,3
Drizzt Do'Urden,WG,R,20103,86.7,57.4,3471,63.1%,3
Grim Bounty,B,C,132824,89.2,57.4,30209,58.6%,3
Adult Gold Dragon,WR,R,23113,91.4,57.3,4011,61.6%,3
Swarming Goblins,R,C,121186,78.7,57.3,25449,58.6%,3
Ray of Enfeeblement,B,U,57110,80.4,57.2,10928,58.3%,3
