Name,Color,Rarity,# GP,% GP,GP WR,# OH,OH WR
"Lolth, Spider Queen",B,M,9975,90.2%,59.4%,1639,67.7%
Gelatinous Cube,B,R,21089,88.9%,59.0%,3573,63.4%
Meteor Swarm,R,R,25437,90.0%,58.7%,4171,62.6%
Ranger Class,G,R,21484,90.8%,58.7%,4014,69.2%
Price of Loyalty,R,C,95536,55.4%,58.6%,25234,59.1%
Skullport Merchant,B,U,67123,89.9%,58.6%,13701,62.8%
"Nadaar, Selfless Paladin",W,R,19915,91.4%,58.5%,3639,69.7%
Warlock Class,B,U,57585,79.3%,58.4%,11408,61.5%
"Kalain, Reclusive Painter",BR,U,53222,78.0%,58.3%,11511,63.0%
"Zariel, Archduke of Avernus",R,M,9785,89.0%,58.3%,1691,64.5%
Battle Cry Goblin,R,U,70360,91.1%,58.2%,14908,61.0%
"Orcus, Prince of Undeath",BR,R,23305,90.5%,58.2%,3863,61.7%
Inferno of the Star Mounts,R,M,10625,90.7%,58.0%,1716,62.9%
Den of the Bugbear,,R,20177,86.5%,57.9%,3670,62.7%
Forsworn Paladin,B,R,19862,87.4%,57.8%,3551,62.7%
Power Word Kill,B,U,59229,90.6%,57.7%,11610,60.1%
Westgate Regent,B,R,21712,91.8%,57.7%,3712,62.6%
Vampire Spawn,B,C,104535,71.8%,57.5%,26173,58.2%
Sepulcher Ghoul,B,C,125882,72.2%,57.5%,33494,59.1%
Mind Flayer,U,R,15873,81.0%,57.5%,2675,62.1%
Deadly Dispute,B,C,111857,70.5%,57.5%,25129,57.6%
Wight,B,R,19885,87.6%,57.5%,3688,63.9%
Drizzt Do'Urden,WG,R,20103,86.7%,57.4%,3471,63.1%
Grim Bounty,B,C,132824,89.2%,57.4%,30209,58.6%
Adult Gold Dragon,WR,R,23113,91.4%,57.3%,4011,61.6%
Swarming Goblins,R,C,121186,78.7%,57.3%,25449,58.6%
Ray of Enfeeblement,B,U,57110,80.4%,57.2%,10928,58.3%
Hive of the Eye Tyrant,,R,17839,84.2%,57.2%,3320,60.0%
"Ebondeath, Dracolich",B,M,9542,87.2%,57.2%,1648,62.7%
Dragon's Fire,R,C,147119,90.0%,57.2%,36372,59.3%
"Iymrith, Desert Doom",U,M,8185,83.0%,57.2%,1358,64.8%
Magic Missile,R,U,63559,90.6%,57.1%,12264,56.9%
Shambling Ghast,B,C,122393,81.3%,57.1%,29100,60.4%
Hired Hexblade,B,C,100884,66.6%,57.0%,23612,56.4%
Red Dragon,R,U,55915,89.1%,57.0%,9553,57.6%
Chaos Channeler,R,U,60397,89.1%,57.0%,11219,57.5%
Black Dragon,B,U,52614,86.6%,56.9%,8711,57.8%
Flameskull,R,M,10754,87.2%,56.9%,1909,59.3%
Valor Singer,R,C,122233,80.0%,56.9%,28980,58.3%
Hobgoblin Captain,R,C,144696,88.9%,56.9%,39282,59.3%
Plundering Barbarian,R,C,136836,84.5%,56.8%,31923,56.6%
Reaper's Talisman,B,U,63081,89.2%,56.7%,12051,57.9%
Goblin Morningstar,R,U,61752,88.8%,56.5%,12514,57.1%
Feign Death,B,C,54293,42.5%,56.5%,9554,57.2%
Burning Hands,R,U,55083,85.7%,56.4%,10868,56.7%
Lair of the Hydra,,R,15001,81.2%,56.4%,2782,59.0%
Werewolf Pack Leader,G,R,17287,86.3%,56.4%,3262,62.7%
"Varis, Silverymoon Ranger",G,R,18104,87.1%,56.3%,3211,62.8%
Hulking Bugbear,R,U,54704,87.7%,56.3%,10658,57.0%
"Targ Nar, Demon-Fang Gnoll",RG,U,28663,52.1%,56.3%,6628,58.7%
Grim Wanderer,B,U,45020,85.3%,56.3%,8285,56.6%
Improvised Weaponry,R,C,120835,79.0%,56.3%,26755,56.8%
You See a Pair of Goblins,R,U,42280,70.9%,56.2%,7942,53.9%
Hoarding Ogre,R,C,115176,80.6%,56.1%,24642,56.5%
Earth-Cult Elemental,R,C,64358,46.3%,56.1%,11523,56.7%
Hunter's Mark,G,U,54033,84.8%,56.1%,10213,56.9%
Intrepid Outlander,G,U,48189,86.1%,55.9%,10085,58.3%
Hoard Robber,B,C,96616,74.6%,55.9%,22208,58.6%
Tiger-Tribe Hunter,R,U,49212,72.1%,55.9%,8550,53.9%
