"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Wedding Announcement","W","R","4040","91.6%","63.0%","733","74.4%"
"Devoted Grafkeeper","WU","U","4333","59.7%","62.4%","928","62.4%"
"Brine Comber","WU","U","4180","59.5%","62.2%","847","60.9%"
"Grafted Identity","U","R","4297","90.4%","62.1%","707","66.3%"
"Overcharged Amalgam","U","R","3958","88.5%","61.9%","710","64.8%"
"Dreadfeast Demon","B","R","4039","92.6%","61.7%","663","66.1%"
"Henrika Domnathi","B","M","1524","87.2%","61.7%","262",""
"Diver Skaab","U","U","5823","82.9%","61.7%","1025","62.4%"
"Dennick, Pious Apprentice","WU","R","2881","67.4%","61.5%","541","67.1%"
"Revenge of the Drowned","U","C","17002","85.1%","61.5%","3661","61.4%"
"Katilda, Dawnhart Martyr","W","R","3260","84.3%","61.4%","581","65.2%"
"The Meathook Massacre","B","M","1643","84.0%","61.4%","288",""
"Welcoming Vampire","W","R","3126","87.1%","61.4%","564","67.4%"
"Dreamshackle Geist","U","R","4114","90.2%","61.3%","743","65.4%"
"Moonveil Regent","R","M","1546","87.4%","61.3%","293",""
"Sludge Monster","U","R","4198","89.5%","61.2%","710","67.5%"
"Faithbound Judge","W","M","1308","83.4%","61.2%","234",""
"Geistlight Snare","U","U","2020","40.7%","61.1%","341",""
"Adeline, Resplendent Cathar","W","R","3072","87.9%","61.1%","566","67.0%"
"Lunarch Veteran","W","C","11772","80.7%","61.0%","2541","63.5%"
"Sungold Sentinel","W","R","2896","83.4%","61.0%","535","66.0%"
"Chaplain of Alms","W","U","5010","83.6%","61.0%","948","61.8%"
"Skaab Wrangler","U","U","7147","82.1%","60.9%","1409","60.6%"
"Ambitious Farmhand","W","U","5532","84.9%","60.9%","1070","62.2%"
"Shipwreck Sifters","U","C","6349","46.1%","60.9%","1575","63.3%"
"Dorothea, Vengeful Victim","WU","R","2022","67.7%","60.8%","374",""
"Overwhelmed Archivist","U","U","7858","87.7%","60.7%","1468","64.0%"
"Startle","U","C","13252","76.2%","60.7%","2821","60.5%"
"Angelfire Ignition","WR","R","2779","68.4%","60.7%","502","64.7%"
"Larder Zombie","U","C","9793","56.4%","60.6%","1876","62.7%"
"Nebelgast Intruder","U","U","5784","86.4%","60.6%","1035","60.2%"
"Borrowed Time","W","U","4114","88.4%","60.6%","723","60.9%"
"Florian, Voldaren Scion","BR","R","2363","68.7%","60.6%","402",""
"Sorin the Mirthless","B","M","1399","89.1%","60.5%","253",""
"Cemetery Desecrator","B","M","1786","89.1%","60.5%","311",""
"Suspicious Stowaway","U","R","3891","87.4%","60.4%","729","68.7%"
"Flip the Switch","U","C","11601","71.4%","60.4%","2404","63.1%"
"Blessed Defiance","W","C","5836","48.6%","60.4%","1067","58.0%"
"Vampires' Vengeance","R","U","2367","57.1%","60.3%","445",""
"Graveyard Trespasser","B","R","3207","88.8%","60.3%","575","59.8%"
"Duelcraft Trainer","W","U","4212","84.9%","60.3%","771","61.9%"
"Lantern Bearer","U","C","16315","85.4%","60.3%","3532","62.7%"
"Valorous Stance","W","U","3959","83.5%","60.2%","702","60.7%"
"Lunar Rejection","U","U","6329","84.4%","60.2%","1111","58.0%"
"Organ Hoarder","U","C","17275","87.0%","60.2%","3855","61.8%"
"Stormchaser Drake","U","U","4895","80.0%","60.2%","972","62.4%"
"No Way Out","B","C","3530","34.8%","60.2%","641","55.5%"
"Hullbreaker Horror","U","R","3846","90.8%","60.2%","605","61.7%"
"Malevolent Hermit","U","R","4194","88.7%","60.2%","750","62.5%"
"Cathar Commando","W","C","7458","75.8%","60.2%","1528","60.7%"
"Spectral Adversary","U","M","1739","89.8%","60.1%","303",""
"Brutal Cathar","W","R","3167","88.4%","60.1%","560","65.9%"
"Biolume Egg","U","U","4952","62.2%","60.1%","965","61.9%"
"Ecstatic Awakener","B","C","14913","81.9%","60.1%","3296","65.1%"
"Parasitic Grasp","B","U","4979","89.0%","60.1%","928","63.8%"
"Fierce Retribution","W","C","9113","84.7%","60.0%","1793","62.3%"
"Falcon Abomination","U","C","13162","86.1%","60.0%","2774","61.8%"
"Lantern Flare","W","R","3113","78.8%","60.0%","529","59.5%"
"Liesa, Forgotten Archangel","WB","R","2728","78.3%","60.0%","459",""
"Twinblade Geist","W","U","4870","86.1%","60.0%","930","61.4%"
"Nurturing Presence","W","C","4889","43.3%","60.0%","992","58.5%"
"Enduring Angel","W","M","1216","83.5%","60.0%","193",""
"Volatile Arsonist","R","M","1410","85.2%","59.9%","265",""
"Covetous Castaway","U","U","7020","83.8%","59.9%","1379","58.5%"
"Search Party Captain","W","C","9921","77.9%","59.9%","1977","58.7%"
"Toxrill, the Corrosive","B","M","1639","91.7%","59.9%","274",""
"Morbid Opportunist","B","U","4967","86.5%","59.9%","942","63.7%"
"Angelic Quartermaster","W","U","3934","85.2%","59.9%","609","60.6%"
"Scattered Thoughts","U","C","10627","63.2%","59.8%","1866","59.3%"
"Fading Hope","U","U","3817","76.7%","59.8%","717","58.7%"
"Cemetery Protector","W","M","1471","83.1%","59.8%","245",""
"Doomed Dissenter","B","C","7668","71.6%","59.8%","1528","60.9%"
"Baithook Angler","U","C","16622","82.7%","59.8%","3809","59.9%"
"Skull Skaab","UB","U","2740","61.1%","59.8%","523","62.3%"
"Resistance Squad","W","U","3266","84.4%","59.8%","594","59.3%"
"Fleshtaker","WB","U","2413","57.5%","59.8%","450",""
"Traveling Minister","W","C","11950","80.2%","59.8%","2606","63.4%"
"Foul Play","B","U","4686","86.5%","59.8%","840","59.5%"
"Beloved Beggar","W","U","3271","65.2%","59.7%","573","58.6%"
"Voltaic Visionary","R","U","6261","82.5%","59.7%","1227","63.5%"
"Faithful Mending","WU","U","1049","29.6%","59.7%","184",""
"Mourning Patrol","W","C","9781","71.0%","59.7%","1980","59.0%"
"Jadar, Ghoulcaller of Nephalia","B","R","2931","87.0%","59.6%","569","66.1%"
"Manaform Hellkite","R","M","1431","82.5%","59.6%","241",""
"Rending Flame","R","U","4905","88.6%","59.6%","890","62.5%"
"Bloodvial Purveyor","B","R","3190","88.5%","59.6%","562","64.2%"
"Lord of the Forsaken","B","M","1412","86.2%","59.6%","218",""
"Reckless Stormseeker","R","R","3308","87.9%","59.6%","616","63.6%"
"Crawl from the Cellar","B","C","8419","63.2%","59.5%","1410","58.7%"
"Chill of the Grave","U","C","11024","69.6%","59.5%","2206","57.1%"
"Infernal Grasp","B","U","4175","87.4%","59.5%","797","58.7%"
"Flare of Faith","W","C","3774","39.5%","59.5%","633","55.1%"
"Gavony Dawnguard","W","U","4038","85.2%","59.5%","690","61.7%"
"Circle of Confinement","W","U","4151","86.7%","59.5%","748","59.6%"
"Candlegrove Witch","W","C","8305","74.0%","59.4%","1808","62.2%"
"Alluring Suitor","R","U","6386","84.5%","59.4%","1164","62.8%"
"Vengeful Strangler","B","U","3251","77.5%","59.4%","647","60.1%"
"Concealing Curtains","B","R","3009","83.1%","59.4%","517","66.7%"
"Drogskol Infantry","W","C","10542","81.5%","59.3%","2188","59.3%"
"Clarion Cathars","W","C","4062","41.7%","59.3%","761","58.9%"
"Haunted Ridge","","R","1557","57.4%","59.3%","281",""
"Sigarda's Imprisonment","W","C","10092","84.8%","59.3%","1974","57.4%"
"Sigarda, Champion of Light","WG","M","1006","71.3%","59.2%","165",""
"Thalia, Guardian of Thraben","W","R","1558","74.8%","59.2%","262",""
