"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Archangel of Wrath","W","R","45594","92.6%","61.1%","7859","65.4%"
"Sheoldred, the Apocalypse","B","M","22485","92.9%","60.6%","3914","68.1%"
"Squee, Dubious Monarch","R","R","41513","90.1%","60.2%","7299","67.1%"
"Serra Paragon","W","M","21065","90.2%","59.8%","3616","62.4%"
"Wingmantle Chaplain","W","U","139232","77.4%","59.7%","24094","61.2%"
"Guardian of New Benalia","W","R","40307","89.1%","59.5%","7474","67.1%"
"Sphinx of Clear Skies","U","M","24740","93.2%","59.3%","4253","65.4%"
"The Elder Dragon War","R","R","44268","89.2%","59.2%","7884","63.6%"
"Herd Migration","G","R","48328","90.4%","58.9%","8389","61.5%"
"Nishoba Brawler","G","U","145543","90.7%","58.7%","26324","65.5%"
"Take Up the Shield","W","C","288193","77.1%","58.6%","48226","59.0%"
"Valiant Veteran","W","R","31273","81.5%","58.6%","5609","61.2%"
"Keldon Strike Team","R","C","218798","66.4%","58.6%","37706","58.6%"
"Phyrexian Missionary","W","U","136648","91.8%","58.6%","24722","60.9%"
"Knight of Dawn's Light","W","U","125697","89.5%","58.6%","23030","62.1%"
"Argivian Cavalier","W","C","330397","88.3%","58.5%","59363","60.4%"
"Llanowar Greenwidow","G","R","43947","91.4%","58.5%","8037","64.9%"
"The Weatherseed Treaty","G","U","140495","89.7%","58.4%","25320","63.5%"
"Anointed Peacekeeper","W","R","38887","89.1%","58.4%","7001","63.4%"
"Shield-Wall Sentinel","","C","196259","46.5%","58.4%","33770","58.9%"
"Quirion Beastcaller","G","R","40129","89.2%","58.4%","7128","67.8%"
"Micromancer","U","U","172587","83.9%","58.3%","29362","60.0%"
"Prayer of Binding","W","U","127484","92.8%","58.3%","21501","58.2%"
"Destroy Evil","W","C","290042","83.3%","58.2%","48801","57.9%"
"Haughty Djinn","U","R","45697","89.6%","58.2%","8061","60.5%"
"Vodalian Mindsinger","U","R","48993","90.3%","58.1%","8311","59.5%"
"Fires of Victory","R","U","140556","85.7%","58.1%","24638","59.2%"
"Tolarian Geyser","U","C","500953","90.1%","58.1%","87510","57.3%"
"Radha's Firebrand","R","R","39302","88.8%","58.1%","7158","62.9%"
"Love Song of Night and Day","W","U","93865","74.8%","58.1%","16497","58.3%"
"Rona's Vortex","U","U","158207","89.4%","58.0%","27147","57.3%"
"Shivan Devastator","R","M","22868","95.4%","58.0%","3969","59.6%"
"Sprouting Goblin","R","U","118847","81.6%","58.0%","21312","59.6%"
"Resolute Reinforcements","W","U","99793","87.8%","57.8%","18165","59.7%"
"Walking Bulwark","","U","69816","53.5%","57.8%","12712","58.3%"
"Danitha, Benalia's Hope","W","R","43217","94.8%","57.7%","7332","58.4%"
"Clockwork Drawbridge","W","C","96355","34.9%","57.7%","17109","56.5%"
"Yavimaya Iconoclast","G","U","108182","83.8%","57.7%","19597","60.7%"
"Ertai Resurrected","UB","R","40576","85.1%","57.7%","6736","58.4%"
"Benalish Sleeper","W","C","201420","69.3%","57.7%","36094","58.1%"
"Heroic Charge","W","C","178616","54.6%","57.6%","28373","54.9%"
"Protect the Negotiators","U","U","88946","60.8%","57.6%","15322","59.6%"
"Hurloon Battle Hymn","R","U","131104","93.1%","57.6%","22721","57.7%"
"Drag to the Bottom","B","R","41772","84.9%","57.6%","7222","60.9%"
"Leyline Binding","W","R","41850","91.0%","57.6%","7023","58.4%"
"Citizen's Arrest","W","C","250088","87.1%","57.5%","42049","56.3%"
"Argivian Phalanx","W","C","214278","74.6%","57.5%","35393","56.3%"
"Baird, Argivian Recruiter","WR","U","74276","71.6%","57.5%","13131","59.8%"
"Nemata, Primeval Warden","BG","R","43209","89.2%","57.5%","7466","60.0%"
"Lightning Strike","R","C","340869","93.2%","57.4%","59580","57.6%"
"Electrostatic Infantry","R","U","114180","84.9%","57.4%","20593","60.4%"
"Rith, Liberated Primeval","WRG","M","18722","83.7%","57.3%","3225","60.9%"
"Aether Channeler","U","R","48465","92.9%","57.3%","8648","58.9%"
"Jaya, Fiery Negotiator","R","M","18872","87.7%","57.3%","3283","62.8%"
"Tori D'Avenant, Fury Rider","WR","U","58507","67.1%","57.3%","9749","55.6%"
"Tatyova, Steward of Tides","UG","U","132098","86.0%","57.3%","22253","57.7%"
"Elas il-Kor, Sadistic Pilgrim","WB","U","92825","80.6%","57.3%","16213","60.0%"
