"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Siege-Gang Commander","R","R","3287","84.7%","60.6%","565","66.5%"
"Benalish Marshal","W","R","2011","79.8%","60.6%","353",""
"Adeliz, the Cinder Wind","UR","U","7624","75.7%","60.0%","1445","63.3%"
"Teferi, Hero of Dominaria","WU","M","1521","91.1%","59.6%","293",""
"Academy Journeymage","U","C","24654","85.7%","59.6%","4886","60.7%"
"Verix Bladewing","R","M","1993","89.2%","59.3%","352",""
"Karn, Scion of Urza","","M","1652","99.6%","59.3%","303",""
"In Bolas's Clutches","U","U","10727","89.9%","59.2%","1788","61.5%"
"Merfolk Trickster","U","U","9180","86.9%","59.1%","1650","58.7%"
"On Serra's Wings","W","U","8052","87.8%","59.1%","1418","62.9%"
"Lyra Dawnbringer","W","M","1940","91.9%","59.1%","349",""
"Knight of Grace","W","U","7268","87.4%","59.1%","1378","64.4%"
"Naban, Dean of Iteration","U","R","4011","78.6%","59.1%","739","62.4%"
"Fight with Fire","R","U","9852","87.9%","59.1%","1851","59.0%"
"Rite of Belzenlok","B","R","2842","84.6%","58.9%","473",""
"Memorial to Glory","","U","7275","78.3%","58.9%","1412","60.5%"
"Ghitu Lavarunner","R","C","14858","65.2%","58.8%","3016","63.2%"
"Syncopate","U","C","18634","69.9%","58.7%","3342","61.0%"
"Blink of an Eye","U","C","26025","87.6%","58.6%","5295","58.4%"
"History of Benalia","W","M","1316","85.3%","58.5%","223",""
"Firefist Adept","R","U","7972","73.0%","58.5%","1375","59.3%"
"Call the Cavalry","W","C","14393","70.9%","58.4%","2805","58.1%"
"Goblin Chainwhirler","R","R","1768","66.1%","58.4%","270",""
"Serra Angel","W","U","6797","86.5%","58.4%","1208","57.9%"
"Memorial to Genius","","U","11014","87.6%","58.4%","2060","62.8%"
"Goblin Barrage","R","U","7799","76.8%","58.4%","1406","56.6%"
"Ghitu Journeymage","R","C","17818","75.1%","58.3%","3713","59.2%"
"Knight of New Benalia","W","C","10515","56.7%","58.3%","2120","58.9%"
"Wizard's Lightning","R","U","8967","86.3%","58.3%","1675","58.4%"
"Mesa Unicorn","W","C","16765","82.0%","58.2%","3334","62.1%"
"Tempest Djinn","U","R","2541","75.9%","58.2%","412",""
"Danitha Capashen, Paragon","W","U","5902","87.7%","58.1%","1092","59.9%"
"Pegasus Courser","W","C","16300","82.8%","58.0%","3256","58.3%"
"Adamant Will","W","C","9312","53.6%","58.0%","1586","55.6%"
"Cloudreader Sphinx","U","C","25027","85.7%","57.9%","4851","57.0%"
"Opt","U","C","16699","69.1%","57.8%","3150","57.9%"
"Gideon's Reproach","W","C","12765","77.7%","57.7%","2490","56.5%"
"Warlord's Fury","R","C","7738","37.5%","57.7%","1434","56.4%"
"Zahid, Djinn of the Lamp","U","R","4654","88.8%","57.6%","780","62.8%"
"Vodalian Arcanist","U","C","17956","68.0%","57.5%","3541","58.0%"
"Time of Ice","U","U","9385","87.5%","57.4%","1645","58.9%"
"Aryel, Knight of Windgrace","WB","R","3357","83.1%","57.4%","618","62.9%"
"Dauntless Bodyguard","W","U","6058","84.5%","57.4%","1106","61.4%"
"Raff Capashen, Ship's Mage","WU","U","5441","69.7%","57.4%","968","59.2%"
"Wizard's Retort","U","U","6808","72.1%","57.4%","1174","57.4%"
"Tetsuko Umezawa, Fugitive","U","U","6925","74.5%","57.3%","1240","59.1%"
"Shivan Fire","R","C","21348","85.1%","57.3%","4321","58.2%"
"Divination","U","C","22792","82.5%","57.2%","4517","57.3%"
