"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Oko, Thief of Crowns","UG","M","2285","89.6%","61.1%","402",""
"Midnight Clock","U","R","5420","85.3%","60.3%","934","66.4%"
"Opportunistic Dragon","R","R","4194","83.7%","59.7%","696","63.1%"
"Garruk, Cursed Huntsman","BG","M","1970","88.8%","59.6%","379",""
"Lovestruck Beast","G","R","4040","84.0%","59.6%","745","72.2%"
"Embercleave","R","M","1919","84.6%","59.6%","318",""
"Vantress Gargoyle","U","R","4879","87.2%","59.5%","847","68.2%"
"Turn into a Pumpkin","U","U","14760","86.6%","59.3%","2532","58.8%"
"Gadwick, the Wizened","U","R","5124","86.6%","59.3%","864","64.5%"
"Wicked Wolf","G","R","3933","82.9%","59.3%","703","66.3%"
"Bonecrusher Giant","R","R","4580","86.6%","59.2%","850","69.1%"
"Didn't Say Please","U","C","36242","85.9%","59.2%","6267","60.0%"
"Folio of Fancies","U","R","5629","84.9%","59.2%","1052","61.6%"
"Seven Dwarves","R","C","22614","61.3%","59.1%","4106","62.6%"
"Stolen by the Fae","U","R","5161","87.3%","59.0%","874","62.5%"
"Merfolk Secretkeeper","U","C","36467","83.3%","59.0%","6639","59.2%"
"Realm-Cloaked Giant","W","M","1714","71.9%","59.0%","296",""
"Faerie Vandal","U","U","12321","87.7%","59.0%","2155","64.7%"
"Rampart Smasher","RG","U","9998","76.2%","59.0%","1712","61.6%"
"Overwhelmed Apprentice","U","U","10482","78.3%","58.9%","1929","61.1%"
"Stonecoil Serpent","","R","4957","99.3%","58.8%","885","60.6%"
"Arcanist's Owl","WU","U","11047","77.2%","58.8%","1813","58.8%"
"Wildwood Tracker","G","C","17522","56.2%","58.7%","3226","61.1%"
"Clockwork Servant","","U","16291","93.7%","58.5%","2849","60.4%"
"Drown in the Loch","UB","U","8234","63.6%","58.5%","1374","55.7%"
"Rimrock Knight","R","C","27193","84.0%","58.5%","4829","59.7%"
"The Great Henge","G","M","2129","81.7%","58.3%","388",""
"Wildborn Preserver","G","R","3840","82.8%","58.2%","665","63.9%"
"Feasting Troll King","G","R","3585","79.5%","58.2%","591","60.1%"
"Covetous Urge","UB","U","11785","79.4%","58.1%","2022","56.3%"
"So Tiny","U","C","31492","77.2%","58.1%","5420","56.7%"
"Redcap Raiders","R","C","19611","61.7%","58.1%","3289","58.9%"
"Brazen Borrower","U","M","2198","83.6%","58.1%","382",""
"Mystic Sanctuary","","C","25664","71.5%","58.1%","4595","57.8%"
"Outmuscle","G","C","26184","82.7%","58.0%","4225","57.8%"
"Weaselback Redcap","R","C","21621","71.2%","58.0%","3860","59.3%"
"Barge In","R","C","17524","55.4%","58.0%","2805","55.8%"
"Dwarven Mine","","C","15063","53.3%","58.0%","2619","57.8%"
"Gilded Goose","G","R","3461","79.5%","57.9%","647","64.6%"
"Tome Raider","U","C","31817","86.3%","57.9%","5760","58.0%"
"Questing Beast","G","M","1810","82.8%","57.9%","341",""
"Fae of Wishes","U","R","4331","81.7%","57.9%","740","56.6%"
"Into the Story","U","U","10165","73.7%","57.9%","1612","56.0%"
"Escape to the Wilds","RG","R","2564","55.0%","57.8%","451",""
"Fierce Witchstalker","G","C","26035","84.4%","57.8%","4438","58.6%"
"Searing Barrage","R","C","23686","75.3%","57.7%","3909","56.0%"
"Murderous Rider","B","R","3529","85.2%","57.7%","581","63.2%"
"Unexplained Vision","U","C","25410","65.9%","57.6%","4172","57.7%"
"Slaying Fire","R","U","10849","85.4%","57.5%","1881","57.4%"
"Lochmere Serpent","UB","R","4450","80.9%","57.5%","722","58.0%"
"Maraleaf Pixie","UG","U","4138","38.4%","57.5%","694","62.5%"
"Rosethorn Halberd","G","C","10483","37.7%","57.5%","1721","58.7%"
"Torbran, Thane of Red Fell","R","R","3359","77.5%","57.5%","572","61.4%"
