"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Lae'zel, Githyanki Warrior","W","R","18675","97.8%","63.1%","3235","73.3%"
"The Hourglass Coven","B","R","15465","93.8%","62.7%","2685","71.4%"
"Klement, Novice Acolyte","W","R","16880","93.2%","61.5%","3077","70.5%"
"Champions of Tyr","W","M","6986","93.1%","61.1%","1242","66.9%"
"Blessed Hippogriff","W","C","112552","91.7%","60.9%","18859","62.1%"
"Rasaad, Monk of Selûne","W","U","50652","92.9%","60.7%","8911","63.2%"
"Horn of Valhalla","W","R","14272","90.6%","60.7%","2437","61.5%"
"Seatower Imprisonment","W","U","44535","90.8%","60.5%","7545","61.4%"
"Patriar's Humiliation","W","C","144650","89.3%","60.5%","24107","60.8%"
"Ascend from Avernus","W","R","13644","86.7%","60.4%","2214","59.9%"
"Steadfast Unicorn","W","C","93794","78.4%","60.4%","16678","61.6%"
"Chaos Balor","R","M","6659","87.3%","60.3%","1146","67.6%"
"A-Druidic Ritual","G","C","17831","65.7%","60.1%","3029","59.4%"
"Wyll, Pact-Bound Duelist","R","M","6885","87.7%","60.1%","1152","64.0%"
"Priest of Ancient Lore","W","C","135773","92.1%","60.1%","24492","61.7%"
"Lukamina, Moon Druid","G","M","7735","93.5%","60.1%","1385","65.3%"
"A-Minsc & Boo, Timeless Heroes","RG","M","6373","90.1%","59.9%","1101","65.8%"
"Flaming Fist Duskguard","W","C","114832","85.7%","59.9%","20554","62.3%"
"Prosper, Tome-Bound","BR","M","6139","83.9%","59.8%","995","70.7%"
"A-Circle of the Land Druid","G","C","24024","75.8%","59.8%","4449","60.0%"
"You're Confronted by Robbers","W","U","37569","79.8%","59.7%","6263","58.0%"
"Ulder Ravengard, Marshal","WR","R","11932","81.3%","59.7%","1999","64.1%"
"A-Young Blue Dragon","U","C","16919","82.5%","59.7%","2969","62.1%"
"A-Blessed Hippogriff","W","C","20328","89.5%","59.6%","3552","59.6%"
"Guildsworn Prowler","B","C","111163","90.4%","59.5%","20085","62.6%"
"Verdant Rejuvenation","G","M","6183","81.1%","59.5%","1059","60.2%"
"Viconia, Nightsinger's Disciple","B","U","49467","91.2%","59.5%","8504","61.9%"
"Steadfast Paladin","W","C","113545","87.5%","59.5%","20499","60.6%"
"Wrathful Red Dragon","R","R","12399","90.3%","59.4%","2100","62.2%"
"Soldiers of the Watch","W","C","119426","84.4%","59.4%","21558","61.2%"
"Battle Cry Goblin","R","U","39088","86.3%","59.4%","7041","60.9%"
"Gate to the Citadel","","U","39143","88.1%","59.3%","7013","61.0%"
"Undercellar Myconid","G","C","125100","87.2%","59.3%","22881","63.5%"
"Boareskyr Tollkeeper","W","U","35858","88.3%","59.2%","6530","62.0%"
"Cast Down","B","U","36619","92.2%","59.2%","6383","58.4%"
"Jaheira, Harper Emissary","G","U","39265","88.0%","59.1%","7123","61.9%"
"Tiefling Outcasts","R","R","8726","72.5%","59.1%","1621","68.5%"
"Liara of the Flaming Fist","WR","U","25588","67.8%","59.0%","4553","59.9%"
"Skullport Merchant","B","U","44058","90.3%","59.0%","7786","61.2%"
"A-Manticore","B","C","9497","52.9%","59.0%","1550","56.0%"
"A-Dragonborn Looter","U","C","10174","52.1%","58.9%","1815","62.1%"
"Shambling Ghast","B","C","110977","86.0%","58.9%","19945","62.4%"
"Devoted Paladin","W","C","70224","64.5%","58.9%","11314","56.6%"
"A-Steadfast Unicorn","W","C","15274","71.6%","58.8%","2721","58.6%"
"Valiant Farewell","W","C","42828","38.8%","58.8%","7056","56.0%"
"Shadowheart, Sharran Cleric","B","R","15302","90.9%","58.8%","2669","63.7%"
"Vampire Spawn","B","C","119487","84.5%","58.8%","20909","58.1%"
"Sune's Intervention","W","R","13474","87.9%","58.8%","2158","59.3%"
"A-You Come to a River","U","C","9057","41.5%","58.8%","1530","55.8%"
"Catti-brie of Mithral Hall","WG","R","5336","51.0%","58.8%","903","59.7%"
"Mephit's Enthusiasm","R","U","34082","88.6%","58.7%","5854","60.0%"
"A-Sepulcher Ghoul","B","C","117066","80.5%","58.7%","20743","60.3%"
"You Hear Something on Watch","W","C","81310","74.0%","58.7%","13709","57.2%"
"Gate of the Black Dragon","","U","36565","87.4%","58.7%","6473","59.4%"
"Tasha, Unholy Archmage","UB","M","6307","90.0%","58.7%","1110","64.1%"
"Grave Choice","B","U","30004","79.8%","58.7%","5170","60.2%"
"Altar of Bhaal","B","R","12467","86.9%","58.6%","2190","61.3%"
"A-Eyes of the Beholder","B","C","9599","50.7%","58.6%","1603","54.8%"
"Grim Hireling","B","R","13116","90.5%","58.5%","2239","61.5%"
"Dread Linnorm","G","C","96031","86.1%","58.5%","15798","58.7%"
"Pegasus Guardian","W","U","29405","82.4%","58.5%","4866","57.0%"
"Guiding Bolt","W","U","25921","80.9%","58.5%","4274","58.2%"
"Deadly Dispute","B","C","96708","81.1%","58.4%","16357","57.0%"
"Craving of Yeenoghu","R","U","19542","59.4%","58.4%","3153","57.3%"
"Karlach, Raging Tiefling","R","R","13771","89.0%","58.4%","2485","61.4%"
"Genasi Rabble-Rouser","R","C","107394","83.4%","58.4%","19214","59.7%"
"Raphael, Fiendish Savior","BR","R","12926","87.2%","58.4%","2171","60.5%"
"Monk of the Open Hand","W","U","22865","66.2%","58.4%","3978","60.1%"
"Valor Singer","R","C","80819","75.2%","58.3%","14031","58.1%"
"Grim Bounty","B","C","112980","90.2%","58.3%","19063","57.6%"
"A-Jade Orb of Dragonkind","G","U","4395","68.7%","58.3%","809","63.0%"
"Trelasarra, Moon Dancer","WG","U","19577","62.2%","58.2%","3409","60.7%"
"Hill Giant Herdgorger","G","C","90781","73.5%","58.2%","14743","57.0%"
"Draconic Muralists","G","U","30532","81.7%","58.2%","5150","60.6%"
"Hobgoblin Captain","R","C","97639","82.7%","58.2%","17605","59.3%"
"Intellect Devourer","B","R","12278","89.1%","58.1%","2147","57.1%"
"Ambergris, Citadel Agent","R","U","35304","87.8%","58.1%","6187","58.5%"
"Oyaminartok, Polar Werebear","G","R","12359","87.8%","58.1%","2153","63.4%"
"Moradin's Disciples","W","U","29440","83.4%","58.1%","4990","58.8%"
"Owlbear","G","C","108031","87.2%","58.1%","18264","58.6%"
"Pilgrim's Eye","","C","124766","86.8%","58.1%","23182","58.2%"
"Prosperous Innkeeper","G","U","31228","88.9%","58.0%","5708","62.1%"
"Ancient Gold Dragon","W","M","6448","93.5%","58.0%","1077","60.4%"
"Black Dragon","B","U","35675","85.9%","58.0%","5868","56.4%"
"Wilson, Bear Comrade","G","R","13340","87.7%","57.9%","2402","61.9%"
"A-Guildsworn Prowler","B","C","15286","82.0%","57.9%","2796","58.9%"
"Lulu, Forgetful Hollyphant","W","U","36038","91.2%","57.9%","6237","57.6%"
"Druid of the Emerald Grove","G","U","33288","85.8%","57.9%","5934","58.5%"
"Sewer Plague","B","C","113114","90.1%","57.9%","19852","57.5%"
"Gate to Manorborn","","U","32428","84.0%","57.8%","5771","59.4%"
"Sarevok the Usurper","B","U","38808","88.7%","57.8%","6627","56.9%"
"Incessant Provocation","R","C","46335","40.8%","57.8%","7403","54.0%"
