"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"General Kudro of Drannith","WB","M","849","72.8%","62.4%","138",""
"Valiant Rescuer","W","U","7699","88.4%","61.1%","1671","68.5%"
"Flourishing Fox","W","U","6855","84.0%","61.0%","1517","71.2%"
"Zenith Flare","WR","U","8103","83.4%","61.0%","1755","62.7%"
"General's Enforcer","WB","U","3740","61.8%","60.5%","850","63.6%"
"Weaponize the Monsters","R","U","6328","59.5%","60.4%","1273","60.4%"
"Savai Thundermane","WR","U","6189","83.0%","60.3%","1324","66.7%"
"Tentative Connection","R","C","4689","30.9%","60.1%","1188","58.6%"
"Whisper Squad","B","C","4873","34.5%","60.1%","2239","61.8%"
"Mythos of Nethroi","B","R","2836","89.9%","60.0%","511","61.4%"
"Dire Tactics","WB","U","3962","69.0%","59.9%","827","59.0%"
"Cathartic Reunion","R","C","6578","40.0%","59.9%","1237","62.3%"
"Sleeper Dart","","C","942","10.2%","59.9%","215",""
"Crystalline Giant","","R","2696","99.2%","59.8%","498",""
"Lurrus of the Dream-Den","WB","R","2151","78.0%","59.8%","374",""
"Luminous Broodmoth","W","M","1149","88.9%","59.7%","171",""
"Snapdax, Apex of the Hunt","WBR","M","962","84.8%","59.5%","156",""
"Bastion of Remembrance","B","U","5125","78.7%","59.4%","1104","60.3%"
"Drannith Stinger","R","C","15581","84.8%","59.3%","4842","61.2%"
"Lavabrink Venturer","W","R","2071","82.8%","59.2%","339",""
"Splendor Mare","W","U","4413","85.1%","59.2%","914","60.7%"
"Heartless Act","B","U","5762","91.2%","59.2%","1138","59.2%"
"Bushmeat Poacher","B","C","12214","64.0%","59.1%","3146","58.2%"
"Snare Tactician","W","C","12980","73.7%","59.1%","4026","60.5%"
"Illuna, Apex of Wishes","URG","M","1000","83.5%","59.1%","169",""
"Startling Development","U","C","11736","69.5%","59.0%","3328","58.8%"
"Memory Leak","B","C","13879","72.3%","58.9%","3707","58.5%"
"Blood Curdle","B","C","15668","89.0%","58.9%","3869","58.8%"
"Nightsquad Commando","B","C","7873","59.5%","58.8%","2113","60.2%"
"Extinction Event","B","R","2439","87.9%","58.8%","401",""
"Reptilian Reflection","R","U","6083","74.7%","58.8%","1280","63.0%"
"Mutual Destruction","B","C","7762","52.5%","58.7%","1590","57.5%"
"Durable Coilbug","B","C","12131","73.1%","58.7%","3126","61.5%"
"Drannith Healer","W","C","13840","81.7%","58.6%","4074","59.0%"
"Imposing Vantasaur","W","C","14216","81.8%","58.5%","4048","58.6%"
"Flame Spill","R","U","8140","91.9%","58.5%","1542","58.9%"
"Grimdancer","B","U","4942","88.8%","58.4%","1009","60.8%"
"Shredded Sails","R","C","8791","57.0%","58.4%","1922","56.5%"
"Fire Prophecy","R","C","17485","91.4%","58.4%","4354","60.5%"
"Coordinated Charge","W","C","8099","54.2%","58.4%","1765","55.2%"
"Footfall Crater","R","U","5477","75.7%","58.3%","1185","59.4%"
"Savai Triome","","R","2057","91.7%","58.3%","385",""
"Corpse Churn","B","C","2018","15.9%","58.3%","402",""
"Dirge Bat","B","R","2424","91.6%","58.2%","415",""
"Inspired Ultimatum","WUR","R","837","39.2%","58.2%","138",""
"Boon of the Wish-Giver","U","U","6624","80.1%","58.2%","1329","56.7%"
"Mythos of Vadrok","R","R","3051","87.4%","58.2%","489",""
"Bloodfell Caves","","C","7624","66.1%","58.2%","1579","59.9%"
"Everquill Phoenix","R","R","2626","88.8%","58.1%","478",""
"Hunted Nightmare","B","R","1845","80.1%","58.1%","307",""
"Go for Blood","R","C","15372","84.9%","58.1%","3945","57.6%"
"Forbidden Friendship","R","C","10481","62.2%","58.1%","2838","62.3%"
