"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Starnheim Unleashed","W","M","13061","99.9%","60.4%","2311","69.9%"
"Esika's Chariot","G","R","25422","99.4%","60.1%","4389","72.1%"
"Koma, Cosmos Serpent","UG","M","10930","99.2%","59.9%","1849","66.7%"
"Runeforge Champion","W","R","15039","92.4%","59.3%","2655","63.6%"
"Clarion Spirit","W","U","65803","98.7%","58.0%","13776","62.9%"
"Dragonkin Berserker","R","R","25038","99.4%","58.0%","4498","63.2%"
"Magda, Brazen Outlaw","R","R","23617","99.0%","57.9%","4190","65.0%"
"Showdown of the Skalds","WR","R","26520","98.0%","57.9%","4420","62.9%"
"Axgard Armory","","U","33697","84.2%","57.9%","6695","58.5%"
"Halvar, God of Battle","W","M","10998","98.8%","57.8%","1892","58.7%"
"Goldspan Dragon","R","M","11167","99.4%","57.8%","1910","63.2%"
"Basalt Ravager","R","U","77124","98.9%","57.7%","14723","59.5%"
"Usher of the Fallen","W","U","52824","98.0%","57.7%","10704","62.6%"
"Battlefield Raptor","W","C","113703","95.4%","57.6%","29417","60.4%"
"Sigrid, God-Favored","W","R","18846","98.3%","57.5%","3190","61.6%"
"Elvish Warmaster","G","R","20362","98.8%","57.5%","3668","64.9%"
"Bretagard Stronghold","","U","38778","90.7%","57.4%","8057","59.3%"
"Wings of the Cosmos","W","C","29454","62.5%","57.3%","5027","57.1%"
"Rune of Sustenance","W","U","60219","97.8%","57.3%","10963","56.1%"
"Koll, the Forgemaster","WR","U","43434","91.7%","57.1%","9166","56.0%"
"Calamity Bearer","R","R","21959","98.2%","57.0%","3635","61.8%"
"Story Seeker","W","C","119168","96.5%","57.0%","28150","59.1%"
"Arni Brokenbrow","R","R","20567","98.4%","56.9%","3541","59.6%"
"Resplendent Marshal","W","M","8969","97.7%","56.9%","1522","58.8%"
"Glorious Protector","W","R","20773","99.0%","56.9%","3633","58.3%"
"Sarulf's Packmate","G","C","172679","98.8%","56.8%","42347","61.3%"
"The Bears of Littjara","UG","R","22307","98.0%","56.8%","3858","63.9%"
"Vorinclex, Monstrous Raider","G","M","10308","98.6%","56.8%","1679","58.7%"
"Quakebringer","R","M","11020","99.2%","56.8%","1791","60.1%"
"Beskir Shieldmate","W","C","113830","95.4%","56.7%","28060","56.9%"
"Spirit of the Aldergard","G","U","64247","98.1%","56.7%","12528","61.5%"
"Arni Slays the Troll","RG","U","49867","94.6%","56.7%","9545","58.9%"
"Battle Mammoth","G","M","10817","99.1%","56.7%","1926","59.2%"
"Kaya's Onslaught","W","U","47749","94.9%","56.6%","8612","56.3%"
"Elven Bow","G","U","66808","98.3%","56.6%","12721","57.6%"
"Kaya the Inexorable","WB","M","10180","98.7%","56.6%","1712","62.0%"
"Harald, King of Skemfar","BG","U","36031","94.1%","56.6%","7266","60.3%"
"Stalwart Valkyrie","W","C","117584","97.1%","56.5%","26362","55.8%"
"Righteous Valkyrie","W","R","18238","98.5%","56.5%","3149","59.9%"
"Starnheim Courser","W","C","100451","93.6%","56.5%","22827","56.2%"
"Run Amok","R","C","98303","90.2%","56.4%","21445","56.7%"
"Glimpse the Cosmos","U","U","65177","97.0%","56.4%","13224","58.2%"
"Jaspera Sentinel","G","C","111259","96.5%","56.4%","24391","59.8%"
"Fynn, the Fangbearer","G","U","56616","98.6%","56.4%","11158","59.4%"
"Battle of Frost and Fire","UR","R","21603","97.1%","56.4%","3671","57.9%"
"Spectral Steel","W","U","28170","87.0%","56.4%","5043","56.5%"
"Rune of Might","G","U","50819","97.1%","56.3%","9106","55.1%"
"Shepherd of the Cosmos","W","U","55020","98.3%","56.3%","10149","56.2%"
"Tormentor's Helm","R","C","99476","89.6%","56.3%","21825","57.9%"
"Rune of Speed","R","U","48802","95.1%","56.3%","8591","53.8%"
"Runed Crown","","U","52445","91.8%","56.3%","9539","57.3%"
"Path to the World Tree","G","U","63960","96.8%","56.3%","13754","59.0%"
"Immersturm Predator","BR","R","22734","98.6%","56.3%","3852","62.8%"
"Gnottvold Slumbermound","","U","48555","93.2%","56.2%","9651","58.3%"
"Ravenous Lindwurm","G","C","154457","98.3%","56.1%","30430","56.3%"
"Aegar, the Freezing Flame","UR","U","54656","95.7%","56.1%","11544","59.2%"
"Rootless Yew","G","U","44167","93.5%","56.1%","7559","57.2%"
"Fall of the Impostor","WG","U","38226","93.8%","56.1%","7504","58.1%"
"Harald Unites the Elves","BG","R","12362","90.5%","56.1%","2069","59.1%"
"Goldvein Pick","","C","151945","97.9%","56.1%","31444","58.5%"
"Dwarven Hammer","R","U","77867","98.2%","56.1%","14119","54.6%"
"Reidane, God of the Worthy","W","R","20371","98.5%","56.0%","3512","58.7%"
"Demon Bolt","R","C","170803","99.1%","56.0%","39261","56.9%"
"Maja, Bretagard Protector","WG","U","37281","94.6%","56.0%","6969","56.2%"
"Fearless Pup","R","C","83553","89.3%","56.0%","19163","57.6%"
"Frost Bite","R","C","129310","97.3%","55.9%","27739","56.8%"
"Skemfar Elderhall","","U","39864","93.1%","55.9%","8012","57.1%"
"Snakeskin Veil","G","C","80755","91.5%","55.9%","13998","56.2%"
"Burning-Rune Demon","B","M","9379","97.8%","55.9%","1486","61.0%"
"Codespell Cleric","W","C","62786","84.9%","55.9%","13948","56.0%"
"Binding the Old Gods","BG","U","57937","98.1%","55.9%","11040","57.7%"
"Squash","R","C","133338","96.1%","55.9%","29790","56.3%"
"Valor of the Worthy","W","C","35108","68.4%","55.9%","6931","56.1%"
"Fearless Liberator","R","U","55316","97.9%","55.8%","11453","55.3%"
"Cyclone Summoner","U","R","19765","97.8%","55.8%","3098","58.0%"
"Bound in Gold","W","C","125656","97.9%","55.8%","27337","54.5%"
"Axgard Cavalry","R","C","129584","94.7%","55.8%","30653","56.3%"
"Goldmaw Champion","W","C","75084","87.0%","55.8%","15732","54.4%"
"Masked Vandal","G","C","147435","97.6%","55.8%","29772","54.4%"
"Toski, Bearer of Secrets","G","R","20416","98.7%","55.7%","3554","58.5%"
"Tuskeri Firewalker","R","C","134541","95.4%","55.7%","31640","54.9%"
"Struggle for Skemfar","G","C","141429","98.3%","55.7%","30803","55.6%"
"Old-Growth Troll","G","R","17576","97.6%","55.6%","2908","58.1%"
"King Harald's Revenge","G","C","27101","59.2%","55.6%","4603","53.7%"
"Alrund's Epiphany","U","M","8858","98.1%","55.5%","1433","56.5%"
"Frenzied Raider","R","U","43970","94.8%","55.5%","9053","56.4%"
