"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Skysovereign, Consul Flagship","","M","3911","99.9%","61.5%","674","73.1%"
"Aethersphere Harvester","","R","8752","99.9%","59.6%","1604","68.7%"
"Angel of Invention","W","M","3355","87.3%","59.5%","575","64.7%"
"Noxious Gearhulk","B","M","3305","86.2%","59.4%","504","65.1%"
"Maverick Thopterist","UR","U","16797","73.8%","59.0%","3228","63.3%"
"Aether Chaser","R","C","58941","88.1%","58.8%","14703","63.5%"
"Quicksmith Rebel","R","R","8784","90.7%","58.8%","1523","64.0%"
"Fumigate","W","R","5903","77.8%","58.8%","1005","61.9%"
"Kari Zev, Skyship Raider","R","R","6305","86.3%","58.7%","1046","62.9%"
"Heart of Kiran","","M","3605","96.9%","58.7%","677","67.1%"
"Herald of Anguish","B","M","3417","86.9%","58.6%","553","64.9%"
"Demon of Dark Schemes","B","M","3252","84.1%","58.3%","518","64.5%"
"Verdurous Gearhulk","G","M","3448","86.9%","58.3%","570","64.2%"
"Skyship Stalker","R","R","7249","87.9%","58.3%","1249","60.7%"
"Inventor's Apprentice","R","U","10272","66.8%","58.3%","1960","61.0%"
"Harnessed Lightning","R","U","20291","91.2%","58.2%","3785","60.4%"
"Pia Nalaar","R","R","7093","88.2%","58.2%","1242","60.7%"
"Voltaic Brawler","RG","U","11284","63.8%","58.2%","2262","62.8%"
"Hungry Flames","R","U","18910","89.9%","58.2%","3422","57.8%"
"Inventor's Goggles","","C","54380","73.8%","58.1%","11303","62.0%"
"Ornamental Courage","G","C","6418","14.1%","58.1%","1023","58.0%"
"Chandra, Torch of Defiance","R","M","3572","91.7%","58.1%","590","59.3%"
"Self-Assembler","","C","23290","41.6%","58.0%","5711","56.1%"
"Welding Sparks","R","C","59537","88.5%","58.0%","13483","57.8%"
"Fairgrounds Warden","W","U","15346","86.5%","57.9%","2905","61.4%"
"Nissa, Vital Force","G","M","3139","84.4%","57.9%","503","65.6%"
"Depala, Pilot Exemplar","WR","R","4858","66.9%","57.9%","807","63.3%"
"Chandra's Pyrohelix","R","C","44417","74.6%","57.9%","9133","57.9%"
"Ridgescale Tusker","G","U","19779","90.4%","57.9%","3510","61.3%"
"Confiscation Coup","U","R","7864","87.9%","57.8%","1317","59.6%"
"Longtusk Cub","G","U","18998","91.3%","57.8%","3810","65.6%"
"Whirler Virtuoso","UR","U","18105","80.3%","57.8%","3594","63.7%"
"Bomat Bazaar Barge","","U","18613","90.0%","57.7%","3204","59.9%"
"Arborback Stomper","G","U","17160","86.3%","57.7%","2996","58.6%"
"Night Market Lookout","B","C","14681","33.7%","57.6%","3540","62.5%"
"Freejam Regent","R","R","7566","90.5%","57.5%","1231","58.2%"
"Bomat Courier","","R","4404","71.8%","57.4%","764","62.6%"
"Veteran Motorist","WR","U","9973","61.5%","57.4%","1993","58.7%"
"Chandra's Revolution","R","C","45763","75.6%","57.4%","8897","56.8%"
"Unlicensed Disintegration","BR","U","12613","68.4%","57.4%","2354","61.3%"
"Sweatworks Brawler","R","C","45889","73.8%","57.4%","10029","56.2%"
"Aether Swooper","U","C","51971","84.2%","57.3%","12668","62.3%"
"Fireforger's Puzzleknot","","C","18745","35.2%","57.3%","3534","56.2%"
"Invigorated Rampage","R","U","7472","45.8%","57.3%","1135","57.7%"
"Bristling Hydra","G","R","7261","90.0%","57.3%","1300","61.9%"
"Blossoming Defense","G","U","12826","77.9%","57.3%","2147","58.8%"
"Built to Smash","R","C","20079","39.2%","57.2%","3543","56.9%"
"Aerial Responder","W","U","14560","86.9%","57.2%","2650","62.3%"
"Untethered Express","","U","22436","99.2%","57.2%","4078","60.2%"
"Renegade Wheelsmith","WR","U","10486","61.5%","57.1%","2135","57.8%"
"Rogue Refiner","UG","U","14371","74.3%","57.1%","2889","61.2%"
"Quicksmith Genius","R","U","12059","68.8%","57.0%","2153","56.1%"
"Scrapper Champion","R","U","18743","88.4%","57.0%","3436","58.0%"
"Cultivator's Caravan","","R","7174","95.9%","57.0%","1253","59.9%"
"Spireside Infiltrator","R","C","24918","52.6%","56.9%","5204","55.0%"
"Pacification Array","","U","21298","94.8%","56.9%","4001","57.5%"
"Glimmer of Genius","U","U","14767","79.9%","56.9%","2654","55.7%"
"Combustible Gearhulk","R","M","3503","88.6%","56.8%","562","58.2%"
"Skywhaler's Shot","W","U","15328","85.8%","56.8%","2779","58.2%"
"Rishkar, Peema Renegade","G","R","6526","88.1%","56.7%","1171","63.5%"
"Weldfast Monitor","","C","34515","62.9%","56.7%","7101","54.5%"
"Oviya Pashiri, Sage Lifecrafter","G","R","6515","87.9%","56.7%","1147","63.1%"
"Furious Reprisal","R","U","14663","74.3%","56.7%","2590","56.0%"
"Ajani Unyielding","WG","M","2923","84.8%","56.7%","466",""
"Outland Boar","RG","U","9460","57.0%","56.7%","1817","56.1%"
"Servant of the Conduit","G","U","17195","90.0%","56.7%","3416","60.4%"
"Metallic Mimic","","R","7470","97.1%","56.7%","1393","60.2%"
"Kujar Seedsculptor","G","C","42916","81.8%","56.6%","9776","58.2%"
"Cataclysmic Gearhulk","W","M","2694","80.2%","56.6%","407",""
"Weldfast Engineer","BR","U","8920","52.6%","56.6%","1736","57.5%"
"Gifted Aetherborn","B","U","13665","87.6%","56.6%","2599","60.8%"
"Aetherstorm Roc","W","R","6309","86.9%","56.5%","1074","58.1%"
"Peema Outrider","G","C","48894","86.0%","56.5%","10367","58.1%"
"Sky Skiff","","C","48894","83.7%","56.5%","9684","56.8%"
"Maulfist Revolutionary","G","U","15342","88.8%","56.5%","2945","57.4%"
"Thriving Rhino","G","C","50826","88.8%","56.4%","12002","59.4%"
"Rishkar's Expertise","G","R","6819","86.5%","56.4%","1072","56.3%"
"Narnam Renegade","G","U","13211","83.1%","56.3%","2436","58.7%"
"Dawnfeather Eagle","W","C","40476","77.9%","56.3%","7858","55.8%"
"Leave in the Dust","U","C","26410","47.1%","56.3%","4736","55.1%"
"Metallic Rebuke","U","C","17408","37.8%","56.3%","3198","56.8%"
"Highspire Infusion","G","C","22479","47.0%","56.3%","3973","57.5%"
"Rush of Vitality","B","C","10043","23.9%","56.3%","1683","55.6%"
"Skyship Plunderer","U","U","16084","80.8%","56.3%","3136","58.5%"
"Glint-Sleeve Artisan","W","C","42216","81.6%","56.2%","9771","57.1%"
"Audacious Infiltrator","W","C","26019","57.1%","56.2%","5633","57.8%"
"Thopter Arrest","W","U","15538","86.5%","56.2%","2814","57.0%"
"Filigree Familiar","","U","16764","96.5%","56.1%","3165","56.3%"
"Cloudblazer","WU","U","14721","73.4%","56.1%","2653","57.9%"
"Aethertorch Renegade","R","U","13168","76.3%","56.1%","2444","58.0%"
"Gonti, Lord of Luxury","B","R","5885","85.3%","56.1%","1041","59.3%"
"Glint-Sleeve Siphoner","B","R","5973","84.7%","56.1%","1088","61.3%"
"Visionary Augmenter","W","U","14650","83.4%","56.1%","2588","54.0%"
"Salivating Gremlins","R","C","26038","52.4%","56.0%","5272","55.3%"
"Minister of Inquiries","U","U","6942","46.6%","56.0%","1423","57.4%"
"Aether Poisoner","B","C","39047","83.3%","56.0%","8717","58.9%"
"Aether Meltdown","U","U","13388","73.0%","56.0%","2449","54.4%"
"Greenbelt Rampager","G","R","5567","85.8%","56.0%","977","59.7%"
"Torrential Gearhulk","U","M","2954","80.8%","56.0%","469",""
"Appetite for the Unnatural","G","C","20839","44.5%","56.0%","3451","54.1%"
