"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Wingmate Roc","W","M","5548","95.9%","58.4%","991","64.3%"
"Siege Rhino","WBG","R","10022","89.3%","58.0%","1700","61.8%"
"Anafenza, the Foremost","WBG","M","4695","84.0%","57.8%","831","64.6%"
"High Sentinels of Arashin","W","R","11793","97.1%","57.4%","2055","63.0%"
"Chief of the Edge","WB","U","26997","91.4%","57.4%","4621","62.9%"
"Murderous Cut","B","U","30035","95.9%","57.1%","4994","57.4%"
"Abzan Ascendancy","WBG","R","10654","88.5%","57.0%","1830","59.3%"
"Seeker of the Way","W","U","28935","94.7%","56.9%","5256","63.1%"
"Zurgo Helmsmasher","WBR","M","4742","87.9%","56.8%","796","59.4%"
"Mardu Hordechief","W","C","89486","94.2%","56.8%","15632","59.4%"
"Chief of the Scale","WB","U","28073","90.2%","56.7%","4915","61.1%"
"Suspension Field","W","U","28626","95.9%","56.6%","4863","57.0%"
"Bellowing Saddlebrute","B","U","28525","92.7%","56.5%","4697","57.3%"
"Mardu Heart-Piercer","R","U","30150","93.3%","56.4%","4994","59.2%"
"Abzan Charm","WBG","U","25296","87.7%","56.4%","4239","56.9%"
"Arc Lightning","R","U","29439","94.2%","56.4%","4990","58.2%"
"Sorin, Solemn Visitor","WB","M","5166","96.1%","56.4%","885","59.2%"
"Mardu Skullhunter","B","C","71766","90.5%","56.4%","12644","57.8%"
"Dead Drop","B","U","24413","82.3%","56.4%","3805","55.9%"
"Armament Corps","WBG","U","25428","86.3%","56.4%","4066","57.9%"
"Herald of Anafenza","W","R","11434","94.6%","56.4%","2032","63.5%"
"Mardu Charm","WBR","U","20801","81.8%","56.3%","3461","57.4%"
"Ashcloud Phoenix","R","M","5140","95.2%","56.3%","899","63.2%"
"Butcher of the Horde","WBR","R","10117","88.9%","56.3%","1728","60.6%"
"Bloodsoaked Champion","B","R","8793","87.7%","56.3%","1572","62.8%"
"Feat of Resistance","W","C","89496","94.1%","56.3%","14593","56.6%"
"Rakshasa Deathdealer","BG","R","9848","89.6%","56.2%","1724","62.3%"
"Ruthless Ripper","B","U","26350","93.5%","56.2%","4653","58.9%"
"Ponyback Brigade","WBR","C","61989","79.6%","56.1%","10857","55.7%"
"Mantis Rider","WUR","R","8445","83.0%","56.1%","1509","62.8%"
"Icefeather Aven","UG","U","26951","89.9%","56.1%","4780","57.8%"
"Sagu Mauler","UG","R","10389","93.0%","56.0%","1818","62.6%"
"Abzan Guide","WBG","C","67921","84.3%","56.0%","11880","56.0%"
"Mardu Hateblade","W","C","58972","81.9%","56.0%","10129","56.9%"
"Raiders' Spoils","B","U","21543","76.3%","55.9%","3574","57.0%"
"Duneblast","WBG","R","11642","89.9%","55.8%","1923","55.4%"
"Heir of the Wilds","G","U","26108","92.7%","55.7%","4669","61.2%"
"Rush of Battle","W","C","45627","59.7%","55.7%","6734","54.0%"
"Abzan Falconer","W","U","27172","94.3%","55.7%","4828","58.0%"
"Alabaster Kirin","W","C","60353","84.7%","55.6%","10056","55.6%"
"Hooded Hydra","G","M","5408","93.7%","55.6%","981","56.9%"
"Ainok Bond-Kin","W","C","68206","93.7%","55.6%","12100","57.8%"
"Blossoming Sands","","C","68233","83.0%","55.6%","12639","57.1%"
"Scoured Barrens","","C","77077","92.5%","55.6%","14603","57.5%"
"Debilitating Injury","B","C","80080","94.0%","55.6%","14146","55.4%"
"Utter End","WB","R","9302","92.8%","55.6%","1478","57.3%"
"Thousand Winds","U","R","10859","93.3%","55.5%","1841","57.1%"
"Master of Pearls","W","R","11031","94.6%","55.5%","1960","55.1%"
"Kin-Tree Invocation","BG","U","21988","84.7%","55.5%","3608","57.4%"
"Sultai Scavenger","B","C","64752","86.0%","55.5%","10280","54.2%"
"Ghostfire Blade","","R","13395","96.6%","55.4%","2411","59.4%"
"Bear's Companion","URG","U","19869","76.8%","55.4%","3223","57.9%"
"Mardu Warshrieker","R","C","55247","72.9%","55.4%","9013","56.2%"
"Bitter Revelation","B","C","50451","66.0%","55.3%","8397","54.2%"
"Sultai Flayer","G","U","23122","89.5%","55.3%","3856","56.4%"
"Jungle Hollow","","C","72691","90.4%","55.3%","13444","56.3%"
"War-Name Aspirant","R","U","21528","87.8%","55.2%","3850","57.0%"
"Rakshasa's Secret","B","C","51096","64.5%","55.2%","8605","56.0%"
"Horde Ambusher","R","U","23393","85.3%","55.2%","4167","56.9%"
"Crater's Claws","R","R","10694","95.8%","55.2%","1726","56.9%"
"Temur Charger","G","U","26200","88.5%","55.2%","4653","58.4%"
"Wind-Scarred Crag","","C","69834","88.2%","55.1%","13008","57.4%"
"Bloodfell Caves","","C","62788","78.7%","55.1%","11361","57.2%"
"Watcher of the Roost","W","U","25412","93.2%","55.1%","4578","55.8%"
"Leaping Master","R","C","47174","69.5%","55.1%","8377","56.7%"
"Krumar Bond-Kin","B","C","55011","72.3%","55.0%","9608","53.6%"
"Necropolis Fiend","B","R","10092","92.2%","55.0%","1640","53.4%"
"Savage Knuckleblade","URG","R","8473","80.8%","55.0%","1419","62.6%"
"Sarkhan, the Dragonspeaker","R","M","5138","92.8%","55.0%","858","57.2%"
"Grim Haruspex","B","R","10148","95.8%","54.9%","1768","56.2%"
"Pine Walker","G","U","26797","94.0%","54.9%","4627","55.2%"
"Crackling Doom","WBR","R","8118","80.3%","54.9%","1404","56.1%"
"Timely Hordemate","W","U","21787","85.5%","54.9%","3493","53.2%"
"Throttle","B","C","54007","85.6%","54.9%","8517","52.6%"
"Become Immense","G","U","18146","68.0%","54.8%","2736","54.4%"
"Sandsteppe Citadel","","U","30151","94.4%","54.8%","5614","58.0%"
"Hordeling Outburst","R","U","20217","80.9%","54.8%","3493","56.3%"
"Woolly Loxodon","G","C","76106","92.6%","54.8%","13322","54.5%"
"End Hostilities","W","R","9880","88.5%","54.8%","1615","57.8%"
"Disowned Ancestor","B","C","55731","86.7%","54.8%","9836","56.8%"
"Highspire Mantis","WR","U","19893","89.4%","54.7%","3299","55.9%"
"Defiant Strike","W","C","34915","54.3%","54.7%","5638","54.5%"
"Mardu Ascendancy","WBR","R","6964","75.2%","54.7%","1081","57.4%"
"Ivorytusk Fortress","WBG","R","7956","82.0%","54.7%","1351","57.5%"
"Abzan Battle Priest","W","U","21327","90.3%","54.7%","3553","53.8%"
"Jeskai Charm","WUR","U","19903","78.8%","54.7%","3282","55.3%"
"War Behemoth","W","C","32147","44.6%","54.7%","5468","53.4%"
"Unyielding Krumar","B","C","37407","60.1%","54.7%","5904","52.9%"
"Mardu Roughrider","WBR","U","15890","73.8%","54.6%","2508","53.7%"
"Sultai Soothsayer","UBG","U","20745","75.1%","54.6%","3372","55.9%"
"Awaken the Bear","G","C","30902","44.2%","54.6%","4806","53.4%"
"Kill Shot","W","C","42277","82.3%","54.6%","7007","54.3%"
"Surrak Dragonclaw","URG","M","4199","82.5%","54.6%","681","61.4%"
"Master the Way","UR","U","25558","85.2%","54.5%","4149","54.7%"
"Nomad Outpost","","U","29280","94.9%","54.5%","5439","57.5%"
"Rattleclaw Mystic","G","R","9902","93.2%","54.4%","1798","62.7%"
"Savage Punch","G","C","63200","90.2%","54.4%","10431","53.6%"
"Take Up Arms","W","U","20136","78.1%","54.4%","3068","52.5%"
"Sage-Eye Harrier","W","C","42064","57.7%","54.4%","7197","51.3%"
"Alpine Grizzly","G","C","49947","70.6%","54.4%","8667","55.5%"
"Opulent Palace","","U","28037","92.8%","54.4%","5360","56.6%"
"Burn Away","R","U","23088","90.7%","54.3%","3722","54.8%"
"Hooting Mandrills","G","C","45572","75.8%","54.3%","7208","53.3%"
"Smite the Monstrous","W","C","36562","68.1%","54.2%","5839","52.7%"
"Sidisi, Brood Tyrant","UBG","M","4073","79.3%","54.2%","715","60.8%"
"Mystic Monastery","","U","28457","92.9%","54.2%","5372","56.5%"
"Roar of Challenge","G","U","9027","43.0%","54.1%","1375","51.9%"
"Windswept Heath","","R","5568","77.6%","54.1%","1015","53.1%"
"Sultai Charm","UBG","U","17624","77.0%","54.0%","2854","52.5%"
"Monastery Swiftspear","R","U","15168","79.9%","54.0%","2703","57.8%"
"Dragonscale Boon","G","C","29034","49.5%","53.9%","4455","53.4%"
"Jeskai Student","W","C","47057","76.1%","53.9%","8306","54.8%"
"Thornwood Falls","","C","66237","86.6%","53.9%","12339","55.4%"
"Rite of the Serpent","B","C","39433","60.0%","53.8%","5955","51.5%"
"Valley Dasher","R","C","31621","54.1%","53.8%","5630","55.6%"
"Tranquil Cove","","C","59687","76.4%","53.8%","10966","55.4%"
"Abomination of Gudul","UBG","C","50166","71.9%","53.8%","8783","53.4%"
"Jeering Instigator","R","R","8834","93.6%","53.8%","1559","54.3%"
"See the Unwritten","G","M","2135","65.7%","53.7%","322",""
"Highland Game","G","C","45203","66.4%","53.7%","7987","54.5%"
"Ride Down","WR","U","18198","83.3%","53.7%","2765","55.0%"
"Swiftwater Cliffs","","C","65118","86.0%","53.7%","12020","56.2%"
"Sage of the Inward Eye","WUR","R","7686","80.8%","53.7%","1286","53.4%"
"Icy Blast","U","R","9646","89.8%","53.7%","1540","52.5%"
"Smoke Teller","G","C","36794","52.0%","53.7%","6403","54.7%"
"Jeskai Elder","U","U","19766","83.6%","53.6%","3567","59.0%"
"Kheru Spellsnatcher","U","R","10158","91.7%","53.6%","1752","55.1%"
"Rugged Highlands","","C","54140","72.6%","53.5%","10029","55.7%"
"Salt Road Patrol","W","C","27853","49.2%","53.5%","4613","51.9%"
"Bloodstained Mire","","R","5648","74.7%","53.5%","1023","53.5%"
"Archers' Parapet","G","C","44955","71.1%","53.5%","7794","53.6%"
"Efreet Weaponmaster","WUR","C","48457","67.5%","53.5%","8252","52.9%"
"Snowhorn Rider","URG","C","48657","72.1%","53.5%","8425","54.0%"
"Mer-Ek Nightblade","B","U","16901","87.1%","53.5%","2832","51.3%"
"Tuskguard Captain","G","U","20925","91.2%","53.5%","3634","53.6%"
"Summit Prowler","R","C","22749","35.4%","53.4%","3625","54.4%"
"Dismal Backwater","","C","56828","74.7%","53.4%","10207","54.2%"
"Trumpet Blast","R","C","22399","36.2%","53.4%","3229","50.1%"
"Force Away","U","C","59268","81.4%","53.4%","10014","51.8%"
"Warden of the Eye","WUR","U","18880","72.7%","53.4%","3065","50.0%"
"Trail of Mystery","G","R","9918","85.1%","53.4%","1707","61.0%"
"Arrow Storm","R","C","53090","79.5%","53.4%","8211","51.9%"
"Tusked Colossodon","G","C","10978","20.0%","53.3%","1680","53.4%"
"Canyon Lurkers","R","C","30010","43.0%","53.3%","5036","52.8%"
"Mystic of the Hidden Way","U","C","54709","85.3%","53.3%","9617","52.7%"
"Bring Low","R","C","47296","77.6%","53.2%","7549","52.9%"
"Swarm of Bloodflies","B","U","9935","68.4%","53.2%","1586","52.2%"
"Ankle Shanker","WBR","R","8128","83.0%","53.1%","1401","50.3%"
"Kheru Bloodsucker","B","U","10561","66.3%","53.1%","1744","51.7%"
