"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Orcish Bowmasters","B","R","47982","93.0%","62.0%","8717","72.7%"
"Andúril, Flame of the West","","M","23942","99.6%","60.7%","4291","70.9%"
"Horn of Gondor","","R","47888","97.1%","60.1%","8907","67.2%"
"Witch-king of Angmar","B","M","22437","94.3%","59.3%","3844","67.7%"
"Éomer of the Riddermark","R","U","149600","92.1%","58.9%","24669","62.6%"
"Fear, Fire, Foes!","R","U","160042","93.6%","58.8%","27579","61.1%"
"Rally at the Hornburg","R","C","454837","89.4%","58.8%","81590","61.5%"
"Nazgûl","B","U","135764","92.5%","58.8%","24169","62.9%"
"Grishnákh, Brash Instigator","R","U","137618","89.6%","58.6%","24064","60.9%"
"The Torment of Gollum","B","C","400047","84.7%","58.3%","67297","60.2%"
"Dunland Crebain","B","C","414717","92.6%","58.3%","73690","60.7%"
"Voracious Fell Beast","B","U","137179","90.4%","58.2%","21565","59.5%"
"Gollum's Bite","B","U","140718","91.1%","58.2%","24952","59.8%"
"Ranger's Firebrand","R","U","140702","91.9%","58.2%","24750","59.4%"
"Rangers of Ithilien","U","R","44239","88.3%","58.1%","7399","62.8%"
"Palantír of Orthanc","","M","23431","97.9%","58.1%","4335","67.0%"
"Claim the Precious","B","C","369796","92.7%","58.1%","62626","59.0%"
"Saruman's Trickery","U","U","145152","85.4%","58.0%","24332","61.7%"
"Mauhúr, Uruk-hai Captain","BR","U","97157","77.7%","58.0%","17050","62.3%"
"Shelob's Ambush","B","C","250685","64.2%","58.0%","39782","57.7%"
"Book of Mazarbul","R","U","118748","87.2%","58.0%","20803","60.2%"
"Foray of Orcs","R","U","144608","90.2%","57.9%","24601","58.8%"
"Gollum, Patient Plotter","B","U","135519","91.8%","57.8%","24827","60.6%"
"Arwen, Mortal Queen","WG","M","15950","79.3%","57.6%","2827","66.4%"
"Uruk-hai Berserker","B","C","358379","89.9%","57.6%","62769","58.1%"
"Easterling Vanguard","B","C","344836","90.8%","57.5%","61707","58.5%"
"Relentless Rohirrim","R","C","308339","76.3%","57.5%","50301","57.4%"
"Gothmog, Morgul Lieutenant","B","U","119511","91.9%","57.4%","20062","59.2%"
"Mordor Muster","B","C","361262","90.1%","57.4%","65317","58.6%"
"Bitter Downfall","B","U","133614","93.0%","57.3%","22201","56.9%"
"Quarrel's End","R","C","312471","73.3%","57.3%","54329","57.1%"
"Smite the Deathless","R","C","370962","92.6%","57.3%","64925","57.9%"
"Shadow Summoning","WB","U","91105","64.0%","57.2%","15972","61.4%"
"Call of the Ring","B","R","42782","91.7%","57.2%","7639","64.0%"
"Sam's Desperate Rescue","B","C","284505","72.5%","57.1%","45563","54.6%"
"Improvised Club","R","C","325816","82.9%","57.1%","52564","54.6%"
"Haunt of the Dead Marshes","B","C","261614","75.7%","57.0%","47001","58.2%"
"Troll of Khazad-dûm","B","C","326252","88.5%","56.9%","57140","56.5%"
"Éowyn, Fearless Knight","WR","R","36298","80.0%","56.9%","6116","60.5%"
"Faramir, Prince of Ithilien","WU","R","42726","86.2%","56.8%","7207","66.0%"
"March from the Black Gate","B","U","109666","89.7%","56.8%","19922","62.8%"
"Warbeast of Gorgoroth","R","C","176624","54.7%","56.8%","27289","56.6%"
"Rohirrim Lancer","R","C","309009","80.4%","56.7%","54915","58.3%"
"Birthday Escape","U","C","371852","85.2%","56.7%","66253","57.9%"
"Gandalf's Sanction","UR","U","134116","78.5%","56.7%","22017","53.0%"
"Battle-Scarred Goblin","R","C","235901","70.2%","56.7%","42092","57.6%"
"Horses of the Bruinen","U","U","124990","79.4%","56.6%","19776","56.7%"
"Bilbo, Retired Burglar","UR","U","121933","77.5%","56.6%","21116","60.6%"
"Haradrim Spearmaster","R","C","200110","63.7%","56.5%","34233","56.3%"
"There and Back Again","R","R","39838","88.9%","56.5%","6660","58.8%"
"Moria Marauder","R","R","36137","83.6%","56.4%","6240","59.5%"
"Éomer, Marshal of Rohan","R","R","32883","86.6%","56.4%","5440","57.0%"
"Scroll of Isildur","U","R","39523","82.2%","56.4%","6845","57.8%"
"Pelargir Survivor","U","C","346489","78.3%","56.3%","61766","58.5%"
"Deceive the Messenger","U","C","274384","66.0%","56.3%","47247","56.1%"
"Spiteful Banditry","R","M","19410","85.4%","56.3%","3248","57.2%"
"Sauron's Ransom","UB","R","29990","62.4%","56.2%","5078","57.0%"
"The Bath Song","U","U","131956","82.4%","56.2%","22222","57.1%"
"Goblin Fireleaper","R","U","99075","81.7%","56.2%","17739","55.2%"
"Glorious Gale","U","C","332949","81.9%","56.1%","58240","57.5%"
"Théoden, King of Rohan","WR","U","77168","67.5%","56.1%","13228","58.9%"
"War of the Last Alliance","W","R","22245","65.4%","56.1%","3555","59.0%"
"Fiery Inscription","R","U","110299","78.5%","56.1%","19330","56.3%"
"Breaking of the Fellowship","R","C","189930","60.4%","56.1%","30973","54.6%"
"Lash of the Balrog","B","C","291031","87.2%","56.1%","47061","53.8%"
"The Mouth of Sauron","UB","U","113455","75.5%","56.0%","18158","55.8%"
"Radagast the Brown","G","M","14798","77.6%","56.0%","2543","61.4%"
"Oliphaunt","R","C","262421","77.8%","56.0%","45468","54.9%"
"Boromir, Warden of the Tower","W","R","32208","85.3%","56.0%","5622","60.1%"
"Isolation at Orthanc","U","C","259494","62.3%","55.9%","41968","53.8%"
"Cirith Ungol Patrol","B","C","192592","58.3%","55.9%","29619","54.1%"
"Barad-dûr","","R","29958","85.9%","55.9%","5470","56.3%"
"Lórien Revealed","U","C","340886","81.8%","55.9%","60799","55.4%"
"Frodo, Sauron's Bane","W","R","27110","78.3%","55.9%","4874","62.8%"
"Denethor, Ruling Steward","WB","U","92231","75.1%","55.9%","15671","56.9%"
"Protector of Gondor","W","C","229121","70.7%","55.9%","37603","56.2%"
"Soothing of Sméagol","U","C","294379","76.8%","55.9%","50300","54.9%"
"Erkenbrand, Lord of Westfold","R","U","84777","74.4%","55.8%","13928","54.9%"
"Reprieve","W","U","84989","71.2%","55.8%","15056","57.9%"
"Flame of Anor","UR","R","36939","74.4%","55.8%","6293","57.7%"
"Merry, Esquire of Rohan","WR","R","19836","58.5%","55.6%","3582","60.1%"
"Errand-Rider of Gondor","W","C","276415","83.7%","55.6%","48290","55.9%"
"The Black Breath","B","C","112086","34.2%","55.5%","18250","54.1%"
"Dreadful as the Storm","U","C","144152","39.1%","55.4%","22776","53.4%"
"Oath of the Grey Host","B","U","89423","76.3%","55.4%","14962","55.5%"
"Erebor Flamesmith","R","C","238823","69.2%","55.4%","42353","55.3%"
"Flowering of the White Tree","W","R","32547","85.7%","55.4%","5531","59.2%"
"Snarling Warg","B","C","85243","31.4%","55.3%","13723","54.8%"
"Shadowfax, Lord of Horses","WR","U","64316","58.5%","55.3%","10286","56.7%"
"Glóin, Dwarf Emissary","R","R","27241","76.3%","55.3%","4654","55.4%"
"Sauron, the Necromancer","B","R","34970","89.9%","55.2%","5723","54.7%"
"Swarming of Moria","R","C","231848","70.5%","55.2%","40542","55.1%"
"Nasty End","B","C","196886","60.7%","55.2%","32014","52.3%"
"Sauron, the Dark Lord","UBR","M","19316","88.1%","55.2%","3192","59.2%"
"Rosie Cotton of South Lane","W","U","88204","85.7%","55.2%","15353","55.9%"
"Morgul-Knife Wound","B","C","88787","36.3%","55.1%","14870","53.9%"
"Samwise the Stouthearted","W","U","100398","86.5%","55.1%","17803","56.2%"
"Orcish Medicine","B","C","106975","39.7%","55.1%","17307","53.2%"
"Delighted Halfling","G","R","25694","78.3%","55.1%","4660","64.6%"
"Uglúk of the White Hand","BR","U","50123","60.2%","55.1%","8142","53.5%"
"Shire Shirriff","W","U","84763","81.2%","55.1%","14669","54.3%"
"The Balrog, Durin's Bane","BR","R","32132","81.3%","55.0%","4886","55.5%"
"Hithlain Knots","U","C","212318","62.3%","55.0%","36656","52.9%"
"Mount Doom","","M","6628","47.0%","55.0%","1215","53.1%"
"Old Man Willow","BG","U","81724","69.3%","55.0%","13616","56.6%"
"Shagrat, Loot Bearer","BR","R","8708","29.4%","55.0%","1454","54.3%"
"Frodo Baggins","WG","U","72861","69.2%","55.0%","12764","63.1%"
"Mines of Moria","","R","19922","56.9%","54.9%","3597","56.5%"
"Bill the Pony","W","U","89911","77.3%","54.9%","14972","55.8%"
"Westfold Rider","W","C","189361","67.9%","54.9%","33706","55.0%"
"Escape from Orthanc","W","C","57479","20.0%","54.8%","8635","53.6%"
"Gimli's Fury","R","C","46877","16.1%","54.8%","6989","53.2%"
"Olog-hai Crusher","R","C","68645","24.1%","54.8%","10840","53.4%"
"East-Mark Cavalier","W","C","155986","57.7%","54.7%","27789","55.2%"
"Éowyn, Lady of Rohan","W","U","78216","85.3%","54.7%","13701","55.7%"
"Gandalf, Friend of the Shire","U","U","110556","87.3%","54.7%","18529","54.8%"
"Eastfarthing Farmer","W","C","125631","49.8%","54.7%","21372","55.0%"
"Gríma Wormtongue","B","U","78085","78.8%","54.7%","13374","53.7%"
"Lost to Legend","W","U","61276","53.0%","54.7%","9785","52.7%"
"Eagles of the North","W","C","213732","72.4%","54.6%","37285","53.4%"
"The Battle of Bywater","W","R","22103","70.1%","54.5%","3798","54.4%"
"Hobbit's Sting","W","C","181949","69.9%","54.5%","28882","53.3%"
"Grond, the Gatebreaker","B","U","52261","53.3%","54.5%","8288","53.4%"
"Gorbag of Minas Morgul","B","U","66349","71.9%","54.5%","11877","54.0%"
"Lobelia Sackville-Baggins","B","R","28656","84.3%","54.4%","4993","53.4%"
"Gimli, Counter of Kills","R","U","48304","58.6%","54.4%","7866","53.6%"
"Stern Scolding","U","U","99249","71.1%","54.4%","17434","56.0%"
"Phial of Galadriel","","R","32877","89.3%","54.4%","6052","55.2%"
"Esquire of the King","W","C","102685","38.8%","54.3%","17736","54.5%"
"Dúnedain Blade","W","C","57325","22.7%","54.3%","9203","52.5%"
"Cast into the Fire","R","C","58649","19.4%","54.3%","9825","52.2%"
"Arwen's Gift","U","C","185951","56.8%","54.2%","30610","52.5%"
"Stalwarts of Osgiliath","W","C","102916","39.5%","54.2%","15665","52.8%"
"Minas Tirith","","R","24958","76.7%","54.1%","4307","54.4%"
"Enraged Huorn","G","C","145094","55.0%","54.1%","22863","53.4%"
"Mirkwood Bats","B","C","140182","60.8%","54.0%","22901","51.7%"
"Samwise Gamgee","WG","R","22410","70.1%","54.0%","3907","57.6%"
"Took Reaper","W","C","161482","59.6%","54.0%","28846","53.1%"
"Mirrormere Guardian","G","C","120216","48.0%","54.0%","21099","54.3%"
"Goldberry, River-Daughter","U","R","21361","54.3%","53.9%","3612","56.3%"
"Generous Ent","G","C","193102","70.5%","53.9%","34200","53.4%"
"The One Ring","","M","14588","86.0%","53.9%","2520","52.7%"
"Landroval, Horizon Witness","W","U","61603","72.6%","53.9%","9407","53.0%"
"King of the Oathbreakers","WB","R","30339","77.4%","53.8%","4952","55.0%"
