"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Sunfall","W","R","3644","86.9%","61.3%","635","67.7%"
"Marshal of Zhalfir","WU","U","9979","68.5%","61.3%","1753","64.7%"
"Ragavan, Nimble Pilferer","R","M","856","79.8%","60.5%","160",""
"Invasion of New Phyrexia","WU","M","1892","88.3%","59.9%","325",""
"Zephyr Singer","U","R","4504","91.7%","59.7%","714","65.0%"
"Chrome Host Seedshark","U","R","4298","96.4%","59.7%","788","65.7%"
"Invasion of Fiora","B","R","3862","92.3%","59.5%","656","63.0%"
"Captive Weird","U","U","19614","90.0%","59.4%","3521","62.5%"
"Preening Champion","U","C","30546","93.4%","59.3%","5563","61.8%"
"Ephara's Dispersal","U","C","29750","90.0%","59.1%","5039","58.0%"
"Hidetsugu and Kairi","UB","R","3971","85.7%","59.0%","663","62.3%"
"Invasion of Innistrad","B","M","1783","90.1%","58.9%","302",""
"Skyclave Aerialist","U","U","17156","91.9%","58.8%","3084","60.9%"
"Norn's Inquisitor","W","U","10196","83.3%","58.8%","1940","65.9%"
"Artistic Refusal","U","U","17188","84.7%","58.6%","2710","56.9%"
"Raff, Weatherlight Stalwart","WU","U","6027","58.2%","58.6%","962","57.2%"
"Rona, Herald of Invasion","U","R","4118","91.6%","58.5%","735","64.5%"
"Errant and Giada","WU","R","1915","60.5%","58.4%","342",""
"Halo Forager","UB","U","16474","82.6%","58.4%","2805","55.7%"
"Hoarding Broodlord","B","R","4184","93.0%","58.4%","647","55.2%"
"Archangel Elspeth","W","M","1253","82.3%","58.3%","204",""
"Faerie Mastermind","U","R","4287","87.9%","58.3%","774","63.6%"
"Temporal Cleansing","U","C","20952","73.9%","58.2%","3318","56.6%"
"Aerial Boost","W","C","10413","55.9%","58.2%","1597","57.1%"
"Assimilate Essence","U","C","16853","66.3%","58.1%","2912","61.1%"
"Swordsworn Cavalier","W","C","13169","70.8%","58.1%","2315","60.0%"
"Eyes of Gitaxias","U","C","23338","78.5%","58.1%","4116","57.4%"
"Vorinclex","G","M","1266","84.8%","58.1%","194",""
"Etali, Primal Conqueror","R","R","3169","85.6%","58.0%","525","57.0%"
"Knight of the New Coalition","W","C","10188","68.1%","58.0%","1629","58.5%"
"Invasion of Amonkhet","UB","U","15860","85.2%","58.0%","2637","60.5%"
"Lurrus of the Dream-Den","WB","R","2108","84.9%","58.0%","380",""
"Elesh Norn, Grand Cenobite","W","M","1004","86.4%","58.0%","158",""
"Protocol Knight","U","C","9759","50.5%","58.0%","1526","55.8%"
"Xerex Strobe-Knight","U","U","15329","90.8%","57.9%","2655","60.1%"
"Tetsuko Umezawa, Fugitive","U","U","10337","79.6%","57.9%","1779","57.4%"
"Baral, Chief of Compliance","U","R","1701","74.9%","57.8%","307",""
"Zhalfirin Lancer","W","U","7478","69.4%","57.8%","1304","56.1%"
"Knight-Errant of Eos","W","R","2566","81.4%","57.8%","391",""
"Inga Rune-Eyes","U","U","8137","71.9%","57.7%","1338","56.7%"
"Brudiclad, Telchor Engineer","UR","R","2020","74.0%","57.7%","322",""
"Breach the Multiverse","B","R","4214","91.8%","57.7%","680","60.3%"
"Scorn-Blade Berserker","B","U","13334","83.3%","57.7%","2396","57.6%"
"Saiba Cryptomancer","U","C","20301","76.8%","57.7%","3347","58.8%"
