"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Dennick, Pious Apprentice","WU","R","24311","68.5%","60.1%","4443","67.7%"
"The Meathook Massacre","B","M","14986","86.7%","59.9%","2630","65.4%"
"Brutal Cathar","W","R","29156","87.9%","59.7%","5296","64.8%"
"Devoted Grafkeeper","WU","U","56988","58.5%","59.4%","12701","62.4%"
"Adeline, Resplendent Cathar","W","R","27527","86.9%","59.3%","4982","66.8%"
"Grafted Identity","U","R","35742","90.2%","59.3%","6181","61.4%"
"Skaab Wrangler","U","U","118455","84.5%","59.0%","24297","60.6%"
"Overwhelmed Archivist","U","U","105049","89.8%","58.9%","20950","62.4%"
"Bladestitched Skaab","UB","U","70016","75.5%","58.7%","15014","62.1%"
"Ambitious Farmhand","W","U","79877","87.1%","58.6%","16238","61.7%"
"Suspicious Stowaway","U","R","33866","89.9%","58.5%","6102","66.8%"
"Graveyard Trespasser","B","R","27922","87.2%","58.5%","5091","62.6%"
"Lunarch Veteran","W","C","171962","75.4%","58.4%","43648","62.8%"
"Organ Hoarder","U","C","272815","87.3%","58.4%","71644","60.4%"
"Revenge of the Drowned","U","C","255940","82.8%","58.4%","61090","58.2%"
"Blessed Defiance","W","C","87802","38.4%","58.3%","16915","58.1%"
"Spectral Adversary","U","M","15517","86.7%","58.3%","2706","59.3%"
"Shipwreck Sifters","U","C","113627","47.4%","58.3%","33960","61.7%"
"Falcon Abomination","U","C","219691","86.8%","58.1%","55441","60.1%"
"Liesa, Forgotten Archangel","WB","R","26216","80.7%","58.1%","4459","64.2%"
"Consuming Blob","G","M","13083","82.5%","58.1%","2220","64.4%"
"Flip the Switch","U","C","192371","70.1%","58.1%","43499","58.9%"
"Intrepid Adversary","W","M","12475","82.4%","58.1%","2230","57.3%"
"Startle","U","C","198179","70.3%","58.0%","44658","58.0%"
"Larder Zombie","U","C","141101","49.4%","58.0%","29325","60.1%"
"Sludge Monster","U","R","34327","90.7%","58.0%","5739","60.4%"
"Nebelgast Intruder","U","U","100963","88.4%","58.0%","20034","58.8%"
"Faithful Mending","WU","U","28294","36.0%","58.0%","5298","57.2%"
"Vanquish the Horde","W","R","23317","73.9%","58.0%","4007","59.0%"
"Enduring Angel","W","M","12720","82.6%","57.9%","2120","59.3%"
"Baithook Angler","U","C","235674","82.9%","57.9%","60186","58.6%"
"Ecstatic Awakener","B","C","206941","81.1%","57.9%","52245","62.5%"
"Malevolent Hermit","U","R","31316","87.9%","57.9%","5697","59.6%"
"Wrenn and Seven","G","M","11847","80.9%","57.9%","2051","63.5%"
"Foul Play","B","U","84432","86.6%","57.8%","16308","60.3%"
"Gavony Dawnguard","W","U","76199","87.3%","57.8%","15013","60.6%"
"Covetous Castaway","U","U","96944","88.2%","57.6%","19647","57.1%"
"Sigarda, Champion of Light","WG","M","11466","74.7%","57.5%","1938","62.6%"
"Morbid Opportunist","B","U","94027","90.1%","57.5%","18351","61.3%"
"Briarbridge Tracker","G","R","23779","80.7%","57.5%","4394","63.1%"
"Memory Deluge","U","R","26654","82.7%","57.5%","4469","56.4%"
"Borrowed Time","W","U","73413","87.1%","57.5%","13859","56.9%"
"Join the Dance","WG","U","31945","43.2%","57.4%","6859","59.7%"
"Search Party Captain","W","C","174275","78.4%","57.4%","42590","58.0%"
"Chaplain of Alms","W","U","67895","84.6%","57.4%","13463","58.9%"
"Katilda, Dawnhart Prime","WG","R","18908","67.0%","57.4%","3446","63.3%"
"Sungold Sentinel","W","R","26469","85.2%","57.3%","4802","61.0%"
"Diregraf Horde","B","C","220578","84.5%","57.3%","50013","57.8%"
"Dawnhart Wardens","WG","U","39926","56.4%","57.3%","8586","59.7%"
"Tovolar's Huntmaster","G","R","27053","85.8%","57.3%","4575","62.9%"
"Duelcraft Trainer","W","U","75210","86.3%","57.3%","14141","59.3%"
"Poppet Stitcher","U","M","15419","87.4%","57.3%","2711","60.0%"
"Tainted Adversary","B","M","13151","86.3%","57.3%","2367","59.9%"
"Rise of the Ants","G","U","76392","76.1%","57.3%","14180","59.3%"
"Fleshtaker","WB","U","47783","57.9%","57.1%","10651","60.2%"
"Siege Zombie","B","C","202833","82.0%","57.1%","50304","57.4%"
"Gavony Trapper","W","C","161956","69.5%","57.1%","33911","57.2%"
"Crawl from the Cellar","B","C","164343","66.0%","57.0%","29397","55.5%"
"Mourning Patrol","W","C","155589","73.2%","56.9%","36282","55.9%"
"Fading Hope","U","U","64658","70.0%","56.8%","11701","55.3%"
"Jerren, Corrupted Bishop","B","M","13341","84.9%","56.8%","2367","60.0%"
"Champion of the Perished","B","R","20585","73.4%","56.8%","3755","63.9%"
"Gavony Silversmith","W","C","155769","77.6%","56.8%","34622","57.0%"
"Ludevic, Necrogenius","UB","R","22357","68.7%","56.7%","3954","59.1%"
"Moonveil Regent","R","M","13690","84.6%","56.7%","2448","62.1%"
"Eaten Alive","B","C","201160","86.3%","56.7%","43422","55.3%"
"Consider","U","C","132619","52.8%","56.7%","30170","56.3%"
"Olivia's Midnight Ambush","B","C","194303","87.1%","56.6%","44380","56.6%"
