"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Aurelia's Vindicator","W","M","27210","97.3%","60.5%","4732","67.2%"
"Smuggler's Copter","","R","5283","99.4%","59.1%","972","67.5%"
"Agrus Kos, Spirit of Justice","WR","M","23923","89.9%","58.3%","4129","65.1%"
"Novice Inspector","W","C","352040","91.8%","58.1%","63831","62.7%"
"Enlisted Wurm","WG","U","10040","81.3%","57.6%","1586","61.3%"
"Cryptic Coat","U","R","55224","94.0%","57.6%","9874","64.0%"
"Neighborhood Guardian","W","U","133574","91.4%","57.6%","24135","61.6%"
"Dog Walker","WR","C","348106","91.5%","57.6%","62498","58.3%"
"Inside Source","W","C","336119","92.0%","57.6%","59290","58.6%"
"Fuss // Bother","WUR","U","126896","87.5%","57.5%","19702","57.2%"
"Hide in Plain Sight","G","R","54610","90.8%","57.5%","9408","64.0%"
"Lightning Helix","WR","U","96524","80.8%","57.5%","16128","57.8%"
"Case of the Gateway Express","W","U","118488","89.9%","57.5%","19770","57.9%"
"Tolsimir, Midnight's Light","WG","R","47318","84.8%","57.4%","7907","63.8%"
"Torch the Witness","R","U","125620","91.4%","57.4%","21480","59.3%"
"Person of Interest","R","C","273122","81.7%","57.3%","45417","59.1%"
"Makeshift Binding","W","C","314522","93.0%","57.3%","53348","57.4%"
"A Killer Among Us","G","U","141940","84.6%","57.3%","23140","59.7%"
"Wojek Investigator","W","R","51138","94.2%","57.3%","9080","61.7%"
"Tireless Tracker","G","M","4435","93.5%","57.2%","805","60.1%"
"Steamcore Scholar","U","R","48832","90.1%","57.2%","8602","61.5%"
"Warleader's Call","WR","R","45320","86.4%","57.2%","7962","61.7%"
"Izoni, Center of the Web","BG","R","52082","91.7%","57.1%","8626","61.9%"
"Doppelgang","UG","R","56968","84.8%","57.1%","9167","58.2%"
"Lamplight Phoenix","R","R","45811","89.9%","57.1%","7660","59.5%"
"Reckless Detective","R","U","129858","88.2%","57.1%","23722","62.9%"
"Ezrim, Agency Chief","WU","R","42733","82.3%","57.1%","7103","62.8%"
"Perimeter Enforcer","W","U","112057","90.9%","57.1%","20290","60.6%"
"Pyrotechnic Performer","R","R","48255","92.7%","56.9%","8786","58.7%"
"Aurelia, the Law Above","WR","R","48131","91.0%","56.8%","8207","58.5%"
"On the Job","W","C","200473","61.9%","56.8%","30030","55.0%"
"Ranger-Captain of Eos","W","M","3132","75.7%","56.8%","499",""
"Auspicious Arrival","W","C","260641","77.2%","56.7%","41767","55.3%"
"Buried in the Garden","WG","U","119076","82.0%","56.7%","19792","59.2%"
"Flourishing Bloom-Kin","G","U","118219","89.3%","56.6%","21139","57.6%"
"Gleaming Geardrake","UR","U","85601","70.2%","56.5%","14926","61.1%"
"Vein Ripper","B","M","19877","85.0%","56.5%","3283","61.7%"
"Unyielding Gatekeeper","W","R","47697","92.2%","56.5%","8534","57.7%"
"Museum Nightwatch","W","C","245681","82.2%","56.4%","41929","55.9%"
"Leonin Relic-Warder","W","U","7723","80.8%","56.4%","1271","54.9%"
"Sumala Sentry","WG","U","87524","71.9%","56.4%","15326","58.4%"
"Tenth District Hero","W","R","48444","93.1%","56.3%","8756","60.1%"
"Seasoned Consultant","W","C","264992","86.3%","56.3%","46896","56.8%"
"Marketwatch Phantom","W","C","300852","92.4%","56.3%","54225","57.7%"
"Trostani, Three Whispers","WG","M","22344","86.6%","56.3%","3928","60.0%"
"Kellan, Inquisitive Prodigy","UG","R","43838","83.1%","56.3%","7441","62.8%"
"Offender at Large","R","C","183131","61.8%","56.3%","30379","55.3%"
"Felonious Rage","R","C","124457","46.1%","56.2%","19596","56.4%"
"Private Eye","WU","U","90123","77.3%","56.2%","15433","59.3%"
"Karlov Watchdog","W","U","90932","83.5%","56.2%","14758","55.9%"
"Repulsive Mutation","UG","U","95376","67.4%","56.2%","15300","57.4%"
"Krenko, Baron of Tin Street","R","R","45529","90.2%","56.2%","8047","59.5%"
"Crashing Footfalls","G","M","3940","87.2%","56.1%","664","72.9%"
"Shock","R","C","281282","88.9%","56.1%","49149","56.6%"
"Red Herring","R","C","257470","84.0%","56.1%","46529","56.9%"
"Meddling Youths","WR","U","72663","67.7%","56.1%","11197","54.6%"
"Sharp-Eyed Rookie","G","R","48859","91.2%","56.0%","8904","62.1%"
"Ill-Timed Explosion","UR","R","42743","74.9%","56.0%","7402","59.3%"
"The Chase Is On","R","C","160721","53.9%","56.0%","25346","54.8%"
"Axebane Ferox","G","R","45482","90.0%","56.0%","7767","59.6%"
"Maverick Thopterist","UR","U","8040","69.8%","55.9%","1316","58.4%"
"Proft's Eidetic Memory","U","R","43632","84.5%","55.9%","7602","58.7%"
"Haazda Vigilante","W","C","165041","60.2%","55.9%","25307","55.3%"
"Get a Leg Up","G","U","91246","65.7%","55.9%","14410","55.7%"
"Frantic Scapegoat","R","U","78461","72.7%","55.9%","13759","58.1%"
"Greenbelt Radical","G","U","109360","88.0%","55.8%","18583","55.5%"
"Galvanize","R","C","266219","89.8%","55.8%","46099","55.4%"
"Granite Witness","WU","C","264556","85.1%","55.8%","45866","54.5%"
"Fugitive Codebreaker","R","R","43090","89.6%","55.8%","7585","56.1%"
"Vannifar, Evolved Enigma","UG","M","23128","88.5%","55.7%","4033","63.1%"
"Case of the Burning Masks","R","U","95814","84.3%","55.7%","16058","54.5%"
"Exit Specialist","U","U","113939","89.9%","55.7%","20067","54.8%"
"Loxodon Eavesdropper","G","C","285897","83.2%","55.7%","47766","55.7%"
"Escape Tunnel","","C","329434","93.8%","55.7%","60872","57.2%"
"Archdruid's Charm","G","R","33994","73.9%","55.6%","5459","55.3%"
"Teysa, Opulent Oligarch","WB","R","43025","85.4%","55.6%","7383","62.4%"
"Nervous Gardener","G","C","306841","90.7%","55.6%","56011","56.7%"
"Glint Weaver","G","U","108926","80.6%","55.6%","16634","54.2%"
"Hard-Hitting Question","G","U","111473","87.7%","55.5%","18383","55.6%"
"Bite Down on Crime","G","C","267442","83.3%","55.5%","42876","54.4%"
"Incinerator of the Guilty","R","M","23341","92.1%","55.5%","3879","56.6%"
"Vengeful Creeper","G","C","204629","70.7%","55.5%","34427","54.2%"
"Intrude on the Mind","U","M","23945","88.2%","55.4%","3927","56.8%"
"Gadget Technician","UR","C","250634","76.8%","55.4%","43255","55.0%"
"Hard Evidence","U","C","9547","79.3%","55.4%","1708","58.5%"
"Fanatical Strength","G","C","172599","55.1%","55.4%","27270","54.2%"
"Tunnel Tipster","G","C","277332","90.3%","55.3%","50134","58.7%"
"Detective's Satchel","UR","U","85487","68.7%","55.3%","14149","56.2%"
"Krovod Haunch","W","U","57501","54.6%","55.3%","9608","52.3%"
"Vengeful Tracker","R","U","85190","83.6%","55.3%","15145","55.2%"
"Reasonable Doubt","U","C","137639","48.7%","55.3%","24097","57.6%"
"Projektor Inspector","U","C","262804","81.3%","55.2%","45967","56.4%"
"Goblin Maskmaker","R","C","97137","40.9%","55.2%","17123","58.8%"
"No More Lies","WU","U","45158","46.5%","55.2%","7662","57.7%"
