"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Marshal of Zhalfir","WU","U","165005","71.6%","59.3%","29078","64.2%"
"Sunfall","W","R","55717","88.5%","58.9%","9537","65.2%"
"Zephyr Singer","U","R","64034","91.0%","58.8%","10970","64.8%"
"Chrome Host Seedshark","U","R","63981","94.1%","58.7%","11540","66.8%"
"Elesh Norn, Grand Cenobite","W","M","16936","91.2%","58.6%","2752","64.5%"
"Preening Champion","U","C","488968","92.8%","58.3%","87276","61.8%"
"Boon-Bringer Valkyrie","W","R","53679","89.7%","58.1%","9004","63.1%"
"Norn's Inquisitor","W","U","172652","85.4%","57.8%","31732","63.6%"
"Sheoldred","B","M","26501","91.7%","57.7%","4379","61.9%"
"Captive Weird","U","U","265640","88.7%","57.7%","47453","61.2%"
"Hidetsugu and Kairi","UB","R","58831","83.2%","57.7%","9697","60.9%"
"Invasion of New Phyrexia","WU","M","28468","89.9%","57.7%","4772","61.2%"
"Ephara's Dispersal","U","C","483209","88.4%","57.6%","81960","57.1%"
"Breach the Multiverse","B","R","62767","90.3%","57.5%","10100","59.6%"
"Faerie Mastermind","U","R","62363","90.5%","57.5%","11378","61.9%"
"Artistic Refusal","U","U","242240","81.4%","57.5%","37424","57.6%"
"Invasion of Amonkhet","UB","U","206294","81.9%","57.4%","35211","61.4%"
"Vorinclex","G","M","24014","86.6%","57.4%","4127","62.4%"
"Skyclave Aerialist","U","U","245220","91.5%","57.2%","44086","59.3%"
"Swordsworn Cavalier","W","C","265359","72.6%","57.2%","48163","59.4%"
"Aerial Boost","W","C","225493","59.6%","57.2%","34987","57.2%"
"Glissa, Herald of Predation","BG","R","57607","90.6%","57.1%","9662","62.2%"
"Yorion, Sky Nomad","WU","R","29246","67.2%","57.1%","4755","59.1%"
"Eyes of Gitaxias","U","C","374027","75.5%","57.1%","64886","57.0%"
"Chandra, Hope's Beacon","R","M","24112","85.5%","57.0%","3986","61.5%"
"Atris, Oracle of Half-Truths","UB","R","40231","82.1%","57.0%","6700","58.9%"
"Protocol Knight","U","C","192936","53.6%","56.9%","30620","55.6%"
"Temporal Cleansing","U","C","381984","77.0%","56.9%","60817","55.5%"
"Halo Forager","UB","U","217463","78.6%","56.8%","35888","55.3%"
"Saiba Cryptomancer","U","C","335425","73.5%","56.7%","55861","56.2%"
"Tetsuko Umezawa, Fugitive","U","U","156344","79.8%","56.7%","27896","56.9%"
"Archangel Elspeth","W","M","23284","86.7%","56.7%","3972","60.9%"
"Invasion of Innistrad","B","M","27134","90.3%","56.6%","4497","60.7%"
"Assimilate Essence","U","C","276457","63.4%","56.6%","47293","57.9%"
"Xerex Strobe-Knight","U","U","226522","91.0%","56.6%","39698","57.9%"
"Knight of the New Coalition","W","C","207630","66.7%","56.6%","33982","57.3%"
"Pile On","B","R","56206","91.3%","56.5%","9413","58.7%"
"Grimgrin, Corpse-Born","UB","M","17444","84.0%","56.5%","2838","56.4%"
"Etali, Primal Conqueror","R","R","52499","86.8%","56.5%","8351","60.0%"
"Raff, Weatherlight Stalwart","WU","U","102039","59.5%","56.4%","17522","56.4%"
"Glistening Dawn","G","R","52934","87.9%","56.3%","8866","59.7%"
"Invasion of Segovia","U","R","57210","86.4%","56.3%","10215","59.2%"
"Lurrus of the Dream-Den","WB","R","33161","83.1%","56.2%","5590","56.3%"
"Sheoldred, Whispering One","B","M","16353","92.1%","56.2%","2667","56.3%"
"Meeting of Minds","U","C","333675","76.8%","56.2%","55060","55.1%"
"Sword of Once and Future","","M","27925","95.7%","56.2%","4733","57.7%"
"Invasion of Tarkir","R","M","22845","83.0%","56.2%","4127","61.2%"
"Omen Hawker","U","U","135336","51.1%","56.1%","23360","58.8%"
"Bola Slinger","W","C","204677","67.5%","56.1%","32708","56.1%"
"Angelic Intervention","W","C","243282","73.8%","56.1%","38281","56.1%"
"Inga Rune-Eyes","U","U","120358","69.5%","56.1%","20151","55.4%"
"Invasion of Fiora","B","R","56061","90.4%","56.1%","9443","58.8%"
"Borborygmos and Fblthp","URG","M","22277","72.1%","56.1%","3698","61.1%"
"Scorn-Blade Berserker","B","U","197952","81.8%","56.1%","34603","56.6%"
"Hoarding Broodlord","B","R","56736","88.6%","56.1%","8936","58.1%"
"Rona, Herald of Invasion","U","R","60176","91.4%","56.1%","10804","60.2%"
"Sigiled Sentinel","W","C","247002","81.2%","56.1%","42793","56.3%"
"Ancient Imperiosaur","G","R","48276","86.6%","56.0%","7876","58.8%"
"Guardian of Ghirapur","W","R","44496","85.6%","56.0%","7852","57.3%"
"Voldaren Thrillseeker","R","R","46985","84.0%","56.0%","8147","57.8%"
"Baral, Chief of Compliance","U","R","25997","71.5%","56.0%","4649","56.5%"
"Zhalfirin Lancer","W","U","131442","71.9%","55.9%","22881","56.5%"
"Polukranos Reborn","G","R","43638","85.3%","55.9%","7415","59.0%"
"Deadly Derision","B","C","362297","91.2%","55.8%","60383","56.9%"
"Errant and Giada","WU","R","32470","62.4%","55.8%","5655","56.9%"
"Streetwise Negotiator","G","U","188204","85.7%","55.8%","33973","58.8%"
"Doomskar Warrior","G","R","47726","86.9%","55.8%","7988","60.7%"
"Gyruda, Doom of Depths","UB","R","35981","85.6%","55.8%","5711","56.8%"
"Invasion of Ixalan","G","R","43428","83.9%","55.7%","7870","60.6%"
"Blightreaper Thallid","B","U","213738","89.1%","55.7%","38498","58.7%"
"Keruga, the Macrosage","UG","R","30590","85.2%","55.7%","4893","53.6%"
"Ichor Drinker","B","C","305434","77.7%","55.7%","53320","58.2%"
"Ragavan, Nimble Pilferer","R","M","12937","83.4%","55.6%","2435","68.3%"
"Nezumi Informant","B","C","357605","85.1%","55.6%","63941","57.0%"
"Invasion of Xerex","WU","U","86988","53.7%","55.6%","13697","54.7%"
"Final Flourish","B","C","380226","90.2%","55.5%","66662","55.9%"
"Fearless Skald","R","U","124472","69.9%","55.4%","19345","56.7%"
"Transcendent Message","U","R","45091","63.3%","55.4%","6979","53.0%"
"Herbology Instructor","G","U","172170","86.4%","55.4%","30824","55.3%"
"Volcanic Spite","R","C","305593","86.3%","55.4%","54080","57.4%"
"Dismal Backwater","","C","208127","75.1%","55.4%","38333","57.2%"
"Elvish Vatkeeper","BG","U","140291","71.4%","55.3%","23968","58.1%"
"Tarkir Duneshaper","W","C","163909","52.4%","55.3%","29091","57.4%"
"Reyav, Master Smith","WR","U","40063","32.1%","55.3%","6893","59.6%"
"Astral Wingspan","U","U","110774","53.1%","55.3%","16647","53.9%"
"Ral's Reinforcements","R","C","246968","67.9%","55.3%","44259","57.3%"
"Marauding Dreadship","R","C","184317","50.0%","55.3%","31325","55.4%"
"Collective Nightmare","B","U","201114","90.0%","55.3%","34452","56.4%"
"Invasion of Mercadia","R","U","136773","78.0%","55.3%","24884","57.3%"
"Judith, the Scourge Diva","BR","R","22744","68.1%","55.2%","3886","58.7%"
"Anafenza, Kin-Tree Spirit","W","R","24106","85.7%","55.2%","4251","58.8%"
"Tandem Takedown","G","U","160347","86.4%","55.2%","25429","55.3%"
"Unseal the Necropolis","B","C","269746","65.5%","55.1%","42765","52.4%"
"Jin-Gitaxias","U","M","23467","85.6%","55.1%","3902","55.3%"
"Bloated Processor","B","R","52714","88.6%","55.1%","9265","57.7%"
"Furnace Reins","R","U","87133","47.3%","55.1%","14130","56.6%"
"Oracle of Tragedy","U","U","162850","72.8%","55.1%","29080","54.5%"
"Mirror-Shield Hoplite","WR","U","67805","43.7%","55.1%","11934","58.2%"
"See Double","U","R","60874","86.9%","55.1%","9714","53.4%"
"Zhalfirin Shapecraft","U","C","121195","32.2%","55.1%","19350","53.9%"
"Tangled Skyline","G","U","158078","74.1%","55.1%","25158","54.1%"
"Halo Hopper","","C","85411","24.3%","55.1%","14367","55.2%"
"Sandstalker Moloch","G","U","132398","73.6%","55.1%","22559","56.1%"
"Arachnoid Adaptation","G","C","108015","34.1%","55.0%","16499","54.6%"
"Botanical Brawler","WG","U","97898","65.3%","55.0%","17225","59.6%"
"Merciless Repurposing","B","U","176761","82.7%","55.0%","27211","54.2%"
"Kroxa, Titan of Death's Hunger","BR","M","10563","68.8%","55.0%","1797","56.9%"
"Dusk Legion Duelist","W","R","36397","80.4%","54.9%","6761","58.9%"
"Elesh Norn","W","M","23146","87.1%","54.9%","3919","56.4%"
"Grafted Butcher","B","R","47572","86.7%","54.9%","8571","58.0%"
"Wicked Slumber","U","U","106939","53.8%","54.9%","16426","52.4%"
"Monastery Mentor","W","M","23359","87.0%","54.9%","4140","57.2%"
"Zurgo and Ojutai","WUR","M","18032","65.8%","54.9%","2897","57.3%"
"Converter Beast","G","C","227495","66.1%","54.9%","37655","53.9%"
"Seal from Existence","W","U","134241","86.7%","54.9%","22084","53.2%"
"Overgrown Pest","G","C","288475","83.5%","54.8%","51522","55.2%"
"Wary Thespian","G","C","269239","77.9%","54.8%","48220","56.5%"
"Order of the Mirror","U","C","297934","73.2%","54.8%","52958","53.8%"
"Invasion of Gobakhan","W","R","36016","81.2%","54.8%","6246","60.2%"
"Ozolith, the Shattered Spire","G","R","45327","87.1%","54.8%","8336","58.0%"
"Enduring Bondwarden","W","C","116703","46.0%","54.8%","20284","55.3%"
"Tranquil Cove","","C","154846","64.3%","54.8%","28540","57.2%"
"Archpriest of Shadows","B","R","52573","90.0%","54.8%","8790","56.3%"
"Invasion of Eldraine","B","U","121010","73.8%","54.8%","19964","54.8%"
"Kor Halberd","W","C","86247","31.5%","54.7%","14275","55.4%"
"Cosmic Hunger","G","C","263085","85.7%","54.7%","42981","54.1%"
"Khenra Spellspear","R","U","162009","85.3%","54.7%","29433","57.7%"
"Seed of Hope","G","C","78337","23.8%","54.7%","13657","54.7%"
"Progenitor Exarch","W","R","46793","86.9%","54.6%","7973","56.1%"
"Captain Lannery Storm","R","R","25304","83.7%","54.6%","4483","57.5%"
"Halo-Charged Skaab","U","C","134315","33.7%","54.6%","20384","51.5%"
"Invasion of Azgol","BR","U","88386","58.4%","54.6%","15245","57.9%"
"Imoti, Celebrant of Bounty","UG","U","106401","60.8%","54.6%","17075","55.8%"
"Nahiri's Warcrafting","R","R","41926","82.9%","54.6%","7039","54.6%"
"Realmbreaker's Grasp","W","C","222406","86.3%","54.5%","37515","52.4%"
"Stoke the Flames","R","U","161920","86.2%","54.5%","26265","53.8%"
"Knight-Errant of Eos","W","R","41186","83.4%","54.5%","6717","55.2%"
"Umori, the Collector","BG","R","28184","86.8%","54.5%","4631","56.4%"
"Aurelia, the Warleader","WR","M","8246","63.3%","54.5%","1270","55.4%"
"Brudiclad, Telchor Engineer","UR","R","29570","74.5%","54.5%","4674","54.9%"
"Golden-Scale Aeronaut","W","C","91254","35.6%","54.4%","13515","53.3%"
"Sunder the Gateway","W","C","121397","46.8%","54.4%","20812","53.4%"
"Rampaging Raptor","R","R","41641","83.2%","54.4%","7010","56.5%"
"Kwende, Pride of Femeref","W","U","33403","34.8%","54.4%","5268","52.4%"
"Tidal Terror","U","C","217860","58.0%","54.4%","36151","52.2%"
"Kenrith, the Returned King","W","M","15604","92.7%","54.4%","2595","54.5%"
"Fynn, the Fangbearer","G","U","97686","82.6%","54.4%","17351","56.9%"
"Kogla and Yidaro","RG","R","35845","69.1%","54.4%","5801","58.4%"
"Hangar Scrounger","R","C","148781","50.3%","54.4%","25522","54.0%"
