"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Jugan Defends the Temple","G","M","27138","91.1%","59.8%","4857","71.5%"
"Fable of the Mirror-Breaker","R","R","57836","91.2%","59.5%","10215","71.5%"
"Farewell","W","R","44124","82.4%","59.4%","7406","64.0%"
"Inventive Iteration","U","R","59245","91.0%","59.3%","9889","64.9%"
"Life of Toshiro Umezawa","B","U","253928","90.9%","58.9%","45350","64.3%"
"The Wandering Emperor","W","M","23724","89.0%","58.8%","4071","65.8%"
"Okiba Reckoner Raid","B","C","505425","87.4%","58.6%","90701","63.9%"
"Tatsunari, Toad Rider","B","R","55387","92.6%","58.6%","9708","66.5%"
"Silver-Fur Master","UB","U","103028","71.8%","58.5%","18087","60.9%"
"Kappa Tech-Wrecker","G","U","179934","90.2%","58.4%","32482","65.1%"
"Reckoner Bankbuster","","R","55323","98.6%","58.3%","10315","64.2%"
"Biting-Palm Ninja","B","R","52566","90.5%","58.2%","9140","63.7%"
"Blossom Prancer","G","U","177190","91.2%","58.1%","29491","61.4%"
"Oni-Cult Anvil","BR","U","117673","70.6%","58.1%","20406","60.6%"
"Junji, the Midnight Sky","B","M","24766","91.6%","58.0%","4160","61.6%"
"Kumano Faces Kakkazan","R","U","159783","78.3%","57.9%","28157","66.6%"
"Teachings of the Kirin","G","R","47615","84.1%","57.9%","8503","66.3%"
"Circuit Mender","","U","184166","98.1%","57.8%","33168","60.9%"
"Clawing Torment","B","C","199623","55.1%","57.8%","33288","56.9%"
"Virus Beetle","B","C","438651","88.4%","57.8%","78536","61.0%"
"Kami of Transience","G","R","49472","90.7%","57.8%","8952","66.2%"
"Suit Up","U","C","213349","50.4%","57.8%","35099","56.5%"
"Behold the Unspeakable","U","U","232470","88.1%","57.7%","38579","59.5%"
"Moon-Circuit Hacker","U","C","352689","83.3%","57.7%","62533","59.1%"
"Invoke the Ancients","G","R","50489","86.8%","57.6%","8428","63.4%"
"Boseiju Reaches Skyward","G","U","224160","90.9%","57.6%","38422","62.0%"
"Network Disruptor","U","C","346629","79.2%","57.5%","60998","60.6%"
"Kaito Shizuki","UB","M","20436","80.9%","57.4%","3544","63.3%"
"Surgehacker Mech","","R","50905","90.8%","57.4%","8543","60.3%"
"Experimental Synthesizer","R","C","271584","69.5%","57.4%","47073","56.0%"
"The Reality Chip","U","R","56035","90.8%","57.3%","9926","60.6%"
"The Restoration of Eiganjo","W","R","46656","88.9%","57.3%","8345","64.5%"
"Ao, the Dawn Sky","W","M","23577","89.0%","57.3%","4022","62.5%"
"Dockside Chef","B","U","128622","80.3%","57.3%","22943","60.3%"
"Sokenzan Smelter","R","U","115374","74.9%","57.3%","20314","59.2%"
"Gravelighter","B","U","126716","85.7%","57.2%","21783","57.0%"
"Kura, the Boundless Sky","G","M","23725","88.2%","57.2%","3978","61.1%"
"Tameshi, Reality Architect","U","R","55128","85.9%","57.2%","9419","59.2%"
"Spirited Companion","W","C","353357","86.7%","57.2%","63937","60.4%"
"Shigeki, Jukai Visionary","G","R","53324","88.0%","57.2%","9686","60.7%"
"The Modern Age","U","C","413587","80.5%","57.2%","74431","59.7%"
"Searchlight Companion","","C","349431","80.6%","57.2%","61572","56.9%"
"Nezumi Prowler","B","U","137494","89.7%","57.1%","24106","56.6%"
"Twisted Embrace","B","C","352840","89.6%","57.1%","57848","56.4%"
"Roadside Reliquary","","U","106327","71.2%","57.0%","17846","57.0%"
"Blade of the Oni","B","M","24490","89.0%","57.0%","4536","59.6%"
"Imperial Oath","W","C","399375","77.3%","57.0%","63772","57.1%"
"Twinshot Sniper","R","U","143539","86.9%","57.0%","24505","59.7%"
"Mukotai Ambusher","B","C","288775","79.8%","57.0%","48338","56.4%"
"Moonsnare Specialist","U","C","345896","82.7%","57.0%","57673","55.8%"
"Jukai Naturalist","WG","U","109766","79.0%","57.0%","19315","62.4%"
"Generous Visitor","G","U","144066","90.1%","56.9%","25640","63.6%"
"Soul Transfer","B","R","48822","88.8%","56.9%","8212","55.8%"
"The Long Reach of Night","B","U","204928","86.8%","56.8%","34478","58.0%"
"Kairi, the Swirling Sky","U","M","24245","87.5%","56.8%","4015","59.9%"
"High-Speed Hoverbike","","U","130771","87.0%","56.8%","22920","56.0%"
"Kami of Terrible Secrets","B","C","280383","63.8%","56.8%","45897","55.2%"
"Azusa's Many Journeys","G","U","178310","84.3%","56.8%","31885","61.3%"
"Patchwork Automaton","","U","120189","87.2%","56.7%","22156","63.8%"
"Towashi Songshaper","R","C","253125","69.2%","56.7%","44794","57.9%"
"Rabbit Battery","R","U","119576","84.9%","56.6%","21104","59.8%"
"Touch the Spirit Realm","W","U","125443","89.4%","56.6%","21541","56.8%"
"Prosperous Thief","U","U","121449","83.6%","56.6%","21071","58.7%"
"Inkrise Infiltrator","B","C","223637","68.2%","56.6%","39669","56.0%"
"Dokuchi Shadow-Walker","B","C","186171","57.0%","56.6%","29549","55.2%"
"Voltage Surge","R","C","264971","79.2%","56.5%","45634","56.8%"
"Michiko's Reign of Truth","W","U","186376","88.9%","56.5%","31958","57.2%"
"Assassin's Ink","B","U","129981","89.7%","56.5%","21711","55.9%"
"Lethal Exploit","B","C","271051","76.8%","56.5%","46439","55.5%"
"Banishing Slash","W","U","109495","84.0%","56.5%","18094","57.0%"
"Kami's Flare","R","C","270324","85.2%","56.4%","46306","56.7%"
"Simian Sling","R","C","249625","72.0%","56.4%","43889","56.8%"
"Kyodai, Soul of Kamigawa","W","R","46851","89.7%","56.4%","8082","58.7%"
"Mindlink Mech","U","R","44223","85.1%","56.4%","7681","58.5%"
"Invoke Despair","B","R","35401","70.8%","56.4%","5746","56.7%"
"Thundering Raiju","R","R","39172","82.8%","56.4%","6768","61.6%"
"Commune with Spirits","G","C","229738","56.1%","56.4%","41058","55.5%"
"Tamiyo's Safekeeping","G","C","174905","50.0%","56.4%","27792","56.7%"
"Fang of Shigeki","G","C","348638","88.8%","56.3%","62097","58.1%"
"Master's Rebuke","G","C","305267","85.1%","56.3%","49973","55.0%"
"March of Wretched Sorrow","B","R","49463","89.1%","56.3%","8270","56.0%"
"Spinning Wheel Kick","G","U","133808","82.3%","56.2%","20751","54.0%"
"Tribute to Horobi","B","R","48340","87.5%","56.2%","8768","62.6%"
"Weaver of Harmony","G","R","47192","90.4%","56.2%","8408","59.1%"
"Dismal Backwater","","C","108276","66.8%","56.2%","19706","57.8%"
"Iron Apprentice","","C","210929","65.7%","56.2%","38334","57.7%"
"Jukai Preserver","G","C","318011","84.6%","56.2%","53307","55.6%"
"Satoru Umezawa","UB","R","34078","72.2%","56.2%","5863","57.3%"
"Takenuma, Abandoned Mire","","R","40755","83.0%","56.1%","7053","55.5%"
"Leech Gauntlet","B","U","117094","84.8%","56.1%","20876","57.5%"
"Atsushi, the Blazing Sky","R","M","19346","81.2%","56.0%","3415","60.6%"
"Spring-Leaf Avenger","G","R","49179","89.3%","56.0%","8188","58.0%"
"Unstoppable Ogre","R","C","176325","54.9%","56.0%","29732","54.0%"
"Blossoming Sands","","C","111629","71.4%","55.9%","20700","58.2%"
"Bamboo Grove Archer","G","C","279126","75.7%","55.9%","49458","56.5%"
"Enthusiastic Mechanaut","UR","U","68755","49.8%","55.9%","11822","61.0%"
"Season of Renewal","G","C","310162","71.9%","55.9%","49271","52.1%"
"Seismic Wave","R","U","91581","73.4%","55.8%","15371","54.6%"
"Return to Action","B","C","73440","22.6%","55.8%","11506","53.4%"
"Mukotai Soulripper","B","R","32133","77.3%","55.8%","5577","58.5%"
"Lion Sash","W","R","41366","85.7%","55.8%","7461","55.7%"
"Harmonious Emergence","G","C","197473","53.0%","55.7%","32021","54.7%"
"Era of Enlightenment","W","C","295749","80.2%","55.7%","53241","56.7%"
"Fade into Antiquity","G","C","327328","79.7%","55.7%","54860","53.9%"
"Gloomshrieker","BG","U","146002","77.9%","55.7%","24514","54.3%"
"Nezumi Bladeblesser","B","C","167379","55.6%","55.7%","28404","54.7%"
"Kotose, the Silent Spider","UB","R","42644","78.8%","55.7%","6931","55.3%"
"Sokenzan, Crucible of Defiance","","R","29525","71.8%","55.6%","5189","55.7%"
"Invoke the Winds","U","R","37033","70.8%","55.6%","5971","54.2%"
"Ninja's Kunai","","C","256443","67.2%","55.6%","43790","53.9%"
"Tales of Master Seshiro","G","C","338292","85.3%","55.6%","54074","55.1%"
"Thousand-Faced Shadow","U","R","37497","80.4%","55.6%","6546","57.1%"
"Tranquil Cove","","C","94408","60.3%","55.6%","17084","57.1%"
"Colossal Skyturtle","UG","U","138527","79.5%","55.6%","22504","54.0%"
"Thornwood Falls","","C","104287","61.3%","55.5%","19092","57.9%"
"The Fall of Lord Konda","W","U","133484","79.0%","55.5%","22120","55.3%"
"Jungle Hollow","","C","109849","63.3%","55.5%","20330","57.7%"
"Golden-Tail Disciple","W","C","216745","72.0%","55.5%","37769","55.5%"
"Bloodfell Caves","","C","79224","53.8%","55.5%","14205","56.3%"
"You Are Already Dead","B","C","101652","34.4%","55.5%","16029","54.0%"
"Uncharted Haven","","C","414037","89.7%","55.5%","75958","56.1%"
"Otawara, Soaring City","","R","38579","80.5%","55.5%","6719","55.1%"
"Geothermal Kami","G","C","317504","75.1%","55.5%","52214","53.2%"
"March of Otherworldly Light","W","R","39944","86.1%","55.4%","6631","55.4%"
"Tamiyo's Compleation","U","C","275844","80.2%","55.4%","44799","53.0%"
"Goro-Goro, Disciple of Ryusei","R","R","37356","83.8%","55.4%","6672","58.1%"
"Boseiju, Who Endures","","R","42253","83.3%","55.4%","7498","54.2%"
"Ironhoof Boar","R","C","189798","61.1%","55.4%","30022","53.8%"
"Bearer of Memory","G","C","188760","58.7%","55.4%","32322","53.3%"
"Selfless Samurai","W","U","100804","83.2%","55.4%","17831","57.9%"
"Brute Suit","","C","109943","36.7%","55.3%","18365","55.2%"
"Eiganjo, Seat of the Empire","","R","36249","83.2%","55.3%","6567","54.8%"
"Papercraft Decoy","","C","214571","57.6%","55.3%","38863","54.4%"
"Ogre-Head Helm","R","R","39339","83.8%","55.2%","6857","56.5%"
"Lizard Blades","R","R","37904","85.7%","55.2%","6741","56.9%"
"Eater of Virtue","","R","47313","95.6%","55.2%","8366","56.4%"
"Akki Ember-Keeper","R","C","107302","37.7%","55.1%","19067","54.2%"
"Kami of Restless Shadows","B","C","53479","18.2%","55.0%","8128","52.3%"
"Scoured Barrens","","C","98295","62.2%","55.0%","17734","56.2%"
"The Kami War","WUBRG","M","18659","63.3%","55.0%","3083","59.3%"
"Shrine Steward","","C","136114","34.7%","55.0%","21477","53.2%"
"Bronzeplate Boar","R","U","87897","77.6%","55.0%","15094","53.7%"
"Jukai Trainee","G","C","188180","56.4%","55.0%","33580","56.3%"
"Prodigy's Prototype","WU","U","59249","51.0%","54.9%","9879","58.8%"
"Hidetsugu, Devouring Chaos","B","R","45876","87.8%","54.9%","7667","54.6%"
"Intercessor's Arrest","W","C","257605","88.0%","54.9%","43389","52.7%"
"Planar Incision","U","C","48315","15.8%","54.9%","7479","52.0%"
"Dokuchi Silencer","B","U","79973","73.3%","54.8%","13971","53.9%"
"Containment Construct","","U","119938","66.9%","54.8%","21515","54.1%"
"Cloudsteel Kirin","W","R","39939","87.5%","54.8%","7014","54.1%"
"Careful Cultivation","G","C","184193","55.2%","54.8%","32151","54.0%"
"Moonfolk Puzzlemaker","U","C","197355","63.5%","54.8%","34255","53.3%"
"Kaito's Pursuit","B","C","25066","8.9%","54.7%","4121","52.4%"
"Greater Tanuki","G","C","302298","86.8%","54.7%","51463","52.1%"
"Ambitious Assault","R","C","40110","14.1%","54.7%","6085","52.1%"
"Brilliant Restoration","W","R","27711","62.6%","54.7%","4187","52.6%"
"Sunblade Samurai","W","C","267920","81.9%","54.7%","46361","52.8%"
"Repel the Vile","W","C","155362","60.9%","54.7%","25032","53.2%"
"Skyswimmer Koi","U","C","184875","59.0%","54.6%","30400","53.6%"
"Scrap Welder","R","R","23860","57.9%","54.6%","4004","52.8%"
"Reinforced Ronin","R","U","80305","74.2%","54.6%","14084","53.9%"
"Nashi, Moon Sage's Scion","B","M","19617","85.8%","54.5%","3387","54.9%"
"Flame Discharge","R","U","91222","80.4%","54.5%","15347","53.4%"
"Favor of Jukai","G","C","43636","15.2%","54.5%","6749","53.7%"
"Gift of Wrath","R","C","30366","11.8%","54.5%","4752","53.5%"
"Tezzeret, Betrayer of Flesh","U","M","17757","78.3%","54.4%","3033","56.1%"
