"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Migloz, Maze Crusher","RG","R","42737","85.4%","59.4%","7559","67.4%"
"Cinderslash Ravager","RG","U","134886","81.9%","58.7%","21701","61.5%"
"Bladehold War-Whip","WR","U","121820","74.6%","58.5%","21206","64.0%"
"Nissa, Ascended Animist","G","M","17650","86.2%","58.4%","2927","65.0%"
"Chimney Rabble","R","C","390227","79.0%","58.3%","64236","59.8%"
"Rebel Salvo","R","U","155497","92.7%","58.2%","26409","59.6%"
"The Eternal Wanderer","W","R","38465","89.7%","58.2%","6467","63.0%"
"Annex Sentry","W","U","121151","90.9%","58.1%","21665","62.9%"
"Dragonwing Glider","R","R","46522","91.0%","58.1%","7656","60.8%"
"Barbed Batterfist","R","C","426495","86.2%","58.1%","77404","59.9%"
"Furnace Punisher","R","U","134519","82.7%","58.0%","23424","59.0%"
"Urabrask's Forge","R","R","44960","92.8%","58.0%","8107","66.2%"
"White Sun's Twilight","W","R","37700","89.0%","57.7%","6150","62.0%"
"Lukka, Bound to Ruin","RG","M","18529","87.1%","57.7%","3099","61.9%"
"Hexgold Slash","R","C","418338","91.6%","57.6%","73395","59.0%"
"Evolving Adaptive","G","U","125967","89.0%","57.6%","23013","64.8%"
"Axiom Engraver","R","C","385298","82.1%","57.6%","70267","58.6%"
"Elesh Norn, Mother of Machines","W","M","18387","89.4%","57.5%","3012","62.4%"
"Koth, Fire of Resistance","R","R","40173","88.9%","57.4%","6843","59.9%"
"Contagious Vorrac","G","C","352231","88.9%","57.4%","63487","60.3%"
"Hexgold Halberd","R","U","147457","90.7%","57.3%","26920","59.7%"
"Furnace Strider","R","C","341812","78.2%","57.3%","53103","57.0%"
"Cankerbloom","G","U","117254","88.9%","57.2%","21463","60.1%"
"Hexgold Hoverwings","W","U","124869","84.4%","57.1%","20691","58.7%"
"Sheoldred, the Apocalypse","B","M","9501","84.8%","57.1%","1634","66.2%"
"Ossification","W","U","115811","89.6%","57.1%","20079","58.6%"
"Swooping Lookout","W","U","82666","72.1%","57.1%","14841","61.2%"
"Hazardous Blast","R","C","214887","53.9%","57.0%","31835","55.2%"
"Urabrask, Heretic Praetor","R","M","11552","90.0%","57.0%","1895","61.5%"
"Exuberant Fuseling","R","U","114943","80.2%","57.0%","20451","59.0%"
"Cacophony Scamp","R","U","94411","67.4%","57.0%","16370","58.7%"
"Bladed Ambassador","W","U","113662","82.8%","57.0%","20741","59.1%"
"Blazing Crescendo","R","C","252981","64.0%","56.9%","40530","56.2%"
"Crawling Chorus","W","C","283101","83.2%","56.8%","51548","61.9%"
"Armored Scrapgorger","G","U","121572","88.8%","56.8%","22378","63.1%"
