"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Mass Manipulation","U","R","549","91.5%","61.9%","102",""
"Commence the Endgame","U","R","517","91.0%","61.9%","86",""
"Murmuring Mystic","U","U","1339","91.5%","61.3%","247",""
"Bladebrand","B","C","624","32.3%","60.9%","98",""
"Ethereal Absolution","WB","R","579","95.9%","60.8%","108",""
"Status // Statue","BG","U","1038","81.2%","60.7%","174",""
"Tyrant's Scorn","UB","U","1066","92.9%","60.5%","184",""
"Goblin Cratermaker","R","U","1147","86.7%","60.5%","224",""
"Aven Eternal","U","C","3492","97.2%","60.5%","718","63.0%"
"Nightveil Predator","UB","U","759","77.1%","60.3%","122",""
"Vizier of the Scorpion","B","U","1011","88.1%","60.3%","195",""
"Warrant // Warden","WU","R","575","86.5%","60.2%","93",""
"Tamiyo's Epiphany","U","C","3205","85.3%","60.1%","548","58.6%"
"Kraul Harpooner","G","U","938","83.0%","60.0%","182",""
"Jace's Triumph","U","U","805","63.3%","60.0%","144",""
"Tibalt, Rakish Instigator","R","U","1044","92.2%","60.0%","177",""
"Enter the God-Eternals","UB","R","564","95.1%","59.9%","92",""
"Elite Guardmage","WU","U","1140","88.4%","59.7%","207",""
"Ornery Goblin","R","C","1974","70.0%","59.7%","389",""
"Jaya's Greeting","R","C","3448","94.9%","59.7%","672","62.4%"
"Honor the God-Pharaoh","R","C","2202","67.9%","59.7%","422",""
"Golgari Locket","","C","543","24.5%","59.7%","107",""
"Raging Kronch","R","C","2358","80.3%","59.5%","483",""
"Pteramander","U","U","1019","94.8%","59.5%","169",""
"Boros Challenger","WR","U","780","67.6%","59.4%","155",""
"Citywatch Sphinx","U","U","976","87.4%","59.3%","149",""
"Eternal Skylord","U","U","1250","94.3%","59.2%","223",""
"Wojek Bodyguard","R","C","2093","74.9%","59.2%","395",""
"Crackling Drake","UR","U","882","75.9%","59.2%","140",""
"Law-Rune Enforcer","W","C","2356","85.6%","59.2%","471",""
"Bleeding Edge","B","U","1116","91.3%","59.1%","205",""
