"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Merfolk Mistbinder","UG","U","4595","81.6%","61.0%","839","67.3%"
"Profane Procession","WB","R","1885","88.2%","61.0%","339",""
"Champion of Dusk","B","R","2146","91.2%","59.8%","334",""
"Dire Fleet Poisoner","B","R","1742","86.7%","59.6%","307",""
"Ravenous Chupacabra","B","U","5949","90.8%","59.6%","1016","64.8%"
"Legion Lieutenant","WB","U","5485","88.7%","59.3%","977","65.4%"
"Tetzimoc, Primal Death","B","R","1878","90.9%","59.2%","349",""
"Skymarcher Aspirant","W","U","5932","89.1%","59.0%","1090","64.6%"
"Hadana's Climb","UG","R","1395","85.5%","58.9%","262",""
"Forerunner of the Heralds","G","U","4266","80.0%","58.8%","700","59.9%"
"Bishop of Binding","W","R","1799","89.1%","58.7%","346",""
"Legion Conquistador","W","C","11173","64.3%","58.7%","1855","55.6%"
"Twilight Prophet","B","M","914","91.9%","58.6%","145",""
"Warkite Marauder","U","R","1804","88.8%","58.6%","335",""
"Sadistic Skymarcher","B","U","5142","88.7%","58.3%","962","59.4%"
"Jade Bearer","G","C","8417","65.0%","58.2%","1396","58.7%"
"Squire's Devotion","W","C","14328","83.9%","58.1%","2444","59.1%"
"Arch of Orazca","","R","1749","91.1%","58.0%","306",""
"Dusk Legion Zealot","B","C","16828","90.4%","58.0%","3053","59.3%"
"Crashing Tide","U","C","15439","78.7%","58.0%","2539","58.0%"
"Forerunner of the Legion","W","U","4607","83.1%","58.0%","824","57.8%"
"Mist-Cloaked Herald","U","C","12228","82.2%","57.9%","2233","62.7%"
"Kumena, Tyrant of Orazca","UG","M","644","78.1%","57.8%","110",""
"Silvergill Adept","U","U","4483","77.8%","57.8%","803","62.4%"
"Resplendent Griffin","WU","U","3385","59.5%","57.7%","584","58.6%"
"Moment of Craving","B","C","16787","89.4%","57.7%","2881","57.8%"
"Moment of Triumph","W","C","10463","67.1%","57.6%","1645","58.1%"
"Rekindling Phoenix","R","M","773","81.7%","57.6%","126",""
"Tendershoot Dryad","G","R","1906","93.1%","57.5%","345",""
"Kitesail Corsair","U","C","16607","86.6%","57.4%","3027","59.5%"
"Forsaken Sanctuary","","U","4079","74.3%","57.4%","728","59.6%"
"Famished Paladin","W","U","4915","81.4%","57.4%","842","61.0%"
"Exultant Skymarcher","W","C","14207","87.6%","57.3%","2426","56.5%"
"The Immortal Sun","","M","782","100.0%","57.3%","134",""
"Deadeye Rig-Hauler","U","C","13814","74.4%","57.3%","2192","58.0%"
"Martyr of Dusk","W","C","15732","89.1%","57.2%","2797","59.2%"
"Reaver Ambush","B","U","5271","88.1%","57.2%","892","54.3%"
"Arterial Flow","B","U","2864","60.7%","57.2%","457",""
"Waterknot","U","C","13205","81.0%","57.1%","2125","56.6%"
"Golden Demise","B","U","4146","74.3%","57.0%","686","56.6%"
"Oathsworn Vampire","B","U","4273","79.6%","57.0%","751","59.8%"
"Sanguine Glorifier","W","C","10379","71.0%","57.0%","1688","57.8%"
"Impale","B","C","13882","87.9%","56.9%","2199","55.4%"
"Swift Warden","G","U","4639","82.4%","56.9%","779","60.3%"
"Daring Buccaneer","R","U","2953","67.0%","56.8%","551","60.6%"
"Snubhorn Sentry","W","C","11510","70.0%","56.6%","2019","56.5%"
"Spire Winder","U","C","10821","63.2%","56.6%","1816","55.5%"
"Storm Fleet Sprinter","UR","U","2690","58.2%","56.6%","484",""
"Dusk Charger","B","C","8033","49.9%","56.5%","1326","59.7%"
"Jungleborn Pioneer","G","C","13575","81.8%","56.4%","2339","57.5%"
"Recover","B","C","8158","55.0%","56.4%","1303","54.7%"
"Luminous Bonds","W","C","14358","89.6%","56.4%","2396","53.7%"
"Giltgrove Stalker","G","C","10458","73.4%","56.4%","1904","55.9%"
"Expel from Orazca","U","U","4623","78.0%","56.3%","722","58.2%"
"Pride of Conquerors","W","U","3207","63.5%","56.3%","490",""
"Negate","U","C","1403","13.5%","56.1%","224",""
"Secrets of the Golden City","U","C","10204","62.5%","56.0%","1679","54.3%"
"Paladin of Atonement","W","R","1230","83.7%","55.9%","202",""
"Tilonalli's Summoner","R","R","880","67.1%","55.9%","151",""
"Vona's Hunger","B","R","1313","79.7%","55.9%","207",""
"Radiant Destiny","W","R","1356","84.7%","55.9%","226",""
"Jadecraft Artisan","G","C","5579","44.9%","55.8%","886","51.2%"
"Elenda, the Dusk Rose","WB","M","637","79.5%","55.7%","111",""
"Dire Fleet Daredevil","R","R","1293","78.7%","55.6%","222",""
"Vampire Revenant","B","C","6592","49.3%","55.5%","1085","54.2%"
"Deeproot Elite","G","R","1297","79.4%","55.5%","250",""
"Voracious Vampire","B","C","8769","62.7%","55.5%","1481","52.9%"
"Jungle Creeper","BG","U","1337","26.3%","55.5%","246",""
"Evolving Wilds","","C","13668","88.9%","55.5%","2516","57.1%"
"Angrath, the Flame-Chained","BR","M","783","87.4%","55.4%","140",""
"Aquatic Incursion","U","U","2045","49.6%","55.4%","335",""
"Sailor of Means","U","C","12455","68.7%","55.3%","2144","54.3%"
"Riverwise Augur","U","U","2962","65.5%","55.3%","484",""
"Etali, Primal Storm","R","R","1397","80.6%","55.3%","263",""
"Slippery Scoundrel","U","U","4061","74.3%","55.2%","668","54.6%"
"Golden Guardian","","R","1281","83.7%","55.2%","202",""
"Sun Sentinel","W","C","7061","50.4%","55.2%","1213","57.2%"
"Storm Fleet Swashbuckler","R","U","3883","78.2%","55.2%","683","55.1%"
"Swaggering Corsair","R","C","6773","54.0%","55.2%","1100","54.0%"
"Curious Obsession","U","U","4428","85.3%","55.1%","738","56.9%"
"Baffling End","W","U","5044","86.5%","55.1%","865","57.5%"
"Siren Reaver","U","U","5099","86.2%","55.1%","888","55.3%"
"Thrashing Brontodon","G","U","3777","81.6%","55.0%","671","59.6%"
"Everdawn Champion","W","U","2697","67.3%","54.9%","428",""
