"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Archangel Avacyn","W","M","10442","89.6%","60.8%","1806","68.9%"
"Fiend Hunter","W","U","2576","90.7%","60.7%","420",""
"Lingering Souls","W","U","15848","84.2%","58.9%","2805","65.5%"
"Blazing Torch","","C","3035","45.1%","58.9%","530","60.9%"
"Thraben Inspector","W","C","126415","89.3%","58.6%","22954","63.4%"
"Devil's Play","R","R","5246","88.3%","58.5%","902","58.8%"
"Gisela, the Broken Blade","W","M","10151","88.2%","58.5%","1768","63.7%"
"Stromkirk Captain","BR","U","11909","73.0%","58.4%","2098","61.4%"
"Town Gossipmonger","W","U","40461","82.2%","58.3%","7067","62.9%"
"Courageous Outrider","W","U","36264","81.8%","58.3%","6172","59.1%"
"Drogskol Captain","WU","U","11528","73.9%","58.3%","2105","62.2%"
"Heron's Grace Champion","WG","R","11055","81.3%","58.3%","1898","62.5%"
"Avacyn's Pilgrim","G","C","5407","80.7%","58.2%","975","64.2%"
"Lone Rider","W","U","36866","87.4%","58.1%","6762","61.8%"
"Selfless Spirit","W","R","11786","86.4%","58.1%","2075","62.5%"
"Topplegeist","W","U","34908","80.3%","58.0%","6152","60.1%"
"Bygone Bishop","W","R","12404","91.2%","58.0%","2163","60.8%"
"Bonds of Faith","W","C","5605","81.7%","57.9%","972","56.4%"
"Sever the Bloodline","B","U","14527","84.5%","57.9%","2437","61.9%"
"Nearheath Chaplain","W","U","40943","88.9%","57.8%","6907","59.1%"
"Faith Unbroken","W","U","40122","87.4%","57.8%","6571","58.6%"
"Doomed Traveler","W","C","19794","81.2%","57.8%","3525","60.5%"
"Strength of Arms","W","C","46037","40.9%","57.7%","7286","58.3%"
"Mist Raven","U","C","6484","83.5%","57.7%","1103","60.7%"
"Lunarch Mantle","W","C","38924","37.1%","57.7%","6144","57.6%"
"Apothecary Geist","W","C","64293","59.2%","57.5%","10655","56.2%"
"Guardian of Pilgrims","W","C","78692","69.0%","57.5%","13957","57.3%"
"Dauntless Cathar","W","C","103023","84.6%","57.5%","18049","57.4%"
"Evolving Wilds","","C","5838","88.9%","57.5%","1118","57.1%"
"Odric, Lunarch Marshal","W","R","10696","87.0%","57.3%","1765","57.2%"
"Spectral Shepherd","W","U","23218","61.2%","57.3%","4069","56.4%"
"Spell Queller","WU","R","8334","66.0%","57.3%","1468","63.0%"
"Thalia, Heretic Cathar","W","R","10960","87.2%","57.2%","1943","60.8%"
"Vampiric Fury","R","C","13895","35.4%","57.2%","2088","56.0%"
"Bloodhall Priest","BR","R","8852","74.1%","57.1%","1483","61.0%"
"Gryff's Boon","W","U","31192","77.6%","57.1%","5076","56.2%"
"Collective Effort","W","R","10980","86.4%","57.1%","1722","55.3%"
"Sigarda, Heron's Grace","WG","M","5360","83.7%","57.1%","897","60.2%"
"Indulgent Aristocrat","B","U","23577","64.8%","57.0%","4218","60.9%"
"Tireless Tracker","G","R","11893","89.6%","57.0%","2179","62.7%"
"Blessed Alliance","W","U","24518","72.5%","56.9%","4076","54.7%"
"Thalia's Lancers","W","R","9603","77.2%","56.9%","1514","59.1%"
"Veteran Cathar","G","U","32930","74.4%","56.9%","5817","57.1%"
"Nebelgast Herald","U","U","32160","77.2%","56.9%","5603","59.4%"
