"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"A-Syndicate Infiltrator","UB","U","894","84.5%","64.2%","149",""
"A-Deal Gone Bad","B","C","2280","80.6%","63.8%","358",""
"A-Queza, Augur of Agonies","WUB","U","870","81.2%","63.8%","167",""
"A-Glamorous Outlaw","UBR","C","2368","74.0%","62.9%","424",""
"A-Shattered Seraph","WUB","C","1444","56.5%","62.2%","248",""
"A-Revel Ruiner","B","C","842","42.2%","61.6%","154",""
"A-Celestial Regulator","WU","C","2015","74.2%","61.3%","359",""
"A-Spara's Adjudicators","WUG","C","2976","76.3%","60.9%","512","58.8%"
"A-Glittermonger","G","C","563","42.1%","60.7%","95",""
"A-Ominous Parcel","","C","1322","52.5%","60.7%","275",""
"Sanctuary Warden","W","M","20209","94.4%","60.6%","3324","67.1%"
"A-Civil Servant","WG","C","2502","81.4%","60.6%","410",""
"All-Seeing Arbiter","U","M","21308","94.0%","60.2%","3661","65.7%"
"A-Buy Your Silence","W","C","905","49.0%","60.1%","144",""
"A-Metropolis Angel","WU","U","756","82.8%","59.8%","119",""
"Disciplined Duelist","WUG","U","124306","85.1%","59.4%","21357","64.2%"
"A-Psionic Snoop","U","C","540","25.2%","59.1%","84",""
"Inspiring Overseer","W","C","396265","95.2%","58.9%","71298","62.0%"
"A-Exhibition Magician","R","C","1510","76.6%","58.6%","259",""
"Mage's Attendant","W","U","118314","91.4%","58.5%","20802","61.5%"
"A-Forge Boss","BR","U","520","69.1%","58.5%","89",""
"Lagrella, the Magpie","WUG","U","118080","83.9%","58.4%","19761","59.5%"
"Psychic Pickpocket","U","U","144669","93.7%","58.3%","23717","59.9%"
"Raffine's Informant","W","C","412706","92.6%","58.2%","74928","61.4%"
"Elspeth Resplendent","W","M","18741","93.6%","58.1%","3137","62.2%"
"A-Warm Welcome","G","C","855","44.1%","58.1%","127",""
"A-Speakeasy Server","W","C","1132","50.4%","58.1%","193",""
"Out of the Way","U","U","142547","88.9%","58.1%","23523","58.3%"
"Hostile Takeover","UBR","R","41299","84.0%","58.1%","6964","62.0%"
"Raffine, Scheming Seer","WUB","M","16025","84.8%","58.1%","2749","67.7%"
"Citizen's Crowbar","W","U","129902","92.4%","58.1%","22977","60.7%"
"Exotic Pets","WU","U","117457","88.7%","57.9%","20009","59.2%"
"Mysterious Limousine","W","R","40443","90.2%","57.9%","6506","60.7%"
"Brokers Hideout","","C","354735","92.0%","57.9%","65864","60.1%"
"Gathering Throng","W","C","252855","61.9%","57.9%","42202","55.6%"
"Falco Spara, Pactweaver","WUG","M","16445","85.1%","57.8%","2831","59.7%"
"Rigo, Streetwise Mentor","WUG","R","34803","87.5%","57.8%","5940","61.0%"
"Reservoir Kraken","U","R","39749","93.8%","57.7%","6882","63.7%"
"A-Celebrity Fencer","W","C","875","67.9%","57.7%","144",""
"Brokers Charm","WUG","U","90567","78.9%","57.7%","14936","57.2%"
"Titan of Industry","G","M","16367","87.0%","57.7%","2597","64.2%"
"Sleep with the Fishes","U","U","124166","89.6%","57.7%","20332","57.9%"
"Brokers Ascendancy","WUG","R","39661","91.9%","57.5%","6806","64.4%"
"Corpse Appraiser","UBR","U","98444","73.1%","57.5%","16513","60.9%"
"Make Disappear","U","C","254347","64.7%","57.5%","43858","59.3%"
"Civil Servant","WG","C","304480","87.3%","57.5%","53088","60.9%"
"Jewel Thief","G","C","298526","91.4%","57.4%","53725","62.0%"
"Run Out of Town","U","C","251697","61.6%","57.4%","40489","55.5%"
"Rabble Rousing","W","R","41304","95.3%","57.4%","6984","60.6%"
"Faerie Vandal","U","U","123590","90.9%","57.4%","22473","60.9%"
"Workshop Warchief","G","R","35243","91.7%","57.3%","5770","59.9%"
"Illuminator Virtuoso","W","U","113070","89.2%","57.3%","20435","61.2%"
"Spara's Adjudicators","WUG","C","268752","77.4%","57.3%","47389","55.5%"
"Giada, Font of Hope","W","R","36590","91.2%","57.2%","6665","64.3%"
"Majestic Metamorphosis","U","C","290958","69.5%","57.2%","47239","55.6%"
"Celestial Regulator","WU","C","295313","89.6%","57.2%","50701","56.3%"
"Skybridge Towers","","C","321511","90.8%","57.2%","59116","59.3%"
"Extraction Specialist","W","R","36514","90.6%","57.2%","6249","59.0%"
"Ledger Shredder","U","R","38203","93.1%","57.2%","7105","60.7%"
"Knockout Blow","W","U","105325","91.1%","57.2%","17661","56.5%"
"Maestros Diabolist","UBR","R","29627","76.4%","57.1%","5001","63.6%"
"Backup Agent","W","C","339025","91.3%","57.0%","59831","56.9%"
"A-Midnight Assassin","B","C","682","53.0%","56.9%","119",""
"Wingshield Agent","U","U","107073","89.1%","56.9%","18578","58.5%"
"Fight Rigging","G","R","38050","94.0%","56.8%","6721","63.1%"
"For the Family","G","C","165727","53.9%","56.8%","26273","56.3%"
"Botanical Plaza","","C","288904","89.1%","56.8%","53553","59.1%"
"Obscura Storefront","","C","314381","89.2%","56.8%","57625","59.0%"
"Echo Inspector","U","C","336491","92.6%","56.7%","57252","56.7%"
"Revelation of Power","W","C","154369","48.2%","56.7%","24378","54.6%"
"Night Clubber","B","U","120065","90.9%","56.7%","21254","58.6%"
"Darling of the Masses","WG","U","93072","91.0%","56.7%","15847","59.0%"
"Luxurious Libation","G","U","102598","86.1%","56.7%","16364","56.3%"
"Swooping Protector","W","U","105005","89.9%","56.7%","17379","56.6%"
"Spara's Headquarters","","R","32783","89.8%","56.6%","6143","58.3%"
"Hypnotic Grifter","U","U","105489","85.5%","56.6%","18824","58.8%"
"Sky Crier","W","C","290072","86.7%","56.6%","52266","57.0%"
"Dapper Shieldmate","W","C","175061","59.6%","56.5%","28464","56.1%"
"A-Sewer Crocodile","U","C","583","25.4%","56.4%","104",""
"Fleetfoot Dancer","WRG","R","25249","79.9%","56.4%","4232","62.7%"
"Endless Detour","WUG","R","19844","60.7%","56.4%","3152","55.5%"
"Elegant Entourage","G","U","93319","90.2%","56.3%","15591","57.6%"
"Cleanup Crew","G","U","93387","86.4%","56.3%","14431","57.1%"
"Hold for Ransom","W","C","249906","87.3%","56.3%","42228","54.7%"
"Shakedown Heavy","B","R","35345","92.3%","56.2%","6396","63.9%"
"Grisly Sigil","B","U","102519","78.6%","56.2%","17385","56.3%"
"Warm Welcome","G","C","141408","49.2%","56.2%","24060","55.6%"
"Slip Out the Back","U","U","52478","53.9%","56.1%","8385","55.3%"
"Expendable Lackey","U","C","272945","77.2%","56.1%","46924","55.9%"
"Cabaretti Courtyard","","C","250782","84.8%","56.0%","46013","58.0%"
"Gala Greeters","G","R","31402","90.4%","56.0%","5837","62.5%"
"Riveteers Decoy","G","U","94598","85.5%","56.0%","16770","56.2%"
"Undercover Operative","U","R","36442","89.6%","56.0%","6072","54.3%"
"A-Riveteers Initiate","R","C","901","56.4%","55.9%","167",""
"Soul of Emancipation","WUG","R","32377","82.6%","55.9%","5006","55.7%"
"Disdainful Stroke","U","C","92007","32.5%","55.8%","14862","55.5%"
"Girder Goons","B","C","340037","87.3%","55.8%","56413","56.4%"
"Rooftop Nuisance","U","C","255077","71.0%","55.8%","42254","52.2%"
"Voice of the Vermin","G","U","87088","87.6%","55.8%","14403","57.1%"
"A-Rakish Revelers","WRG","C","873","43.2%","55.8%","175",""
"Ceremonial Groundbreaker","WG","U","77968","74.7%","55.8%","12970","53.7%"
"Park Heights Pegasus","WG","R","25815","83.4%","55.7%","4448","56.2%"
"Obscura Interceptor","WUB","R","25548","72.6%","55.7%","4129","58.5%"
"Bouncer's Beatdown","G","U","91278","88.0%","55.7%","14942","54.6%"
"Caldaia Strongarm","G","C","203084","77.6%","55.7%","33006","55.2%"
"Raffine's Guidance","W","C","64557","24.5%","55.7%","10280","54.5%"
"Jetmir, Nexus of Revels","WRG","M","13322","79.5%","55.6%","2246","56.5%"
"Ob Nixilis, the Adversary","BR","M","15823","87.7%","55.6%","2721","59.5%"
"Quick-Draw Dagger","","C","205823","59.6%","55.6%","33432","54.3%"
"Professional Face-Breaker","R","R","31160","91.1%","55.6%","5518","61.8%"
"Toluz, Clever Conductor","WUB","R","33963","88.4%","55.6%","5904","57.6%"
"Maestros Theater","","C","267244","83.4%","55.5%","49311","57.5%"
"Refuse to Yield","W","U","24565","29.8%","55.5%","3862","54.6%"
"Tenacious Underdog","B","R","32632","89.7%","55.5%","5854","61.1%"
"Metropolis Angel","WU","U","85206","88.3%","55.5%","14037","54.6%"
"Maestros Charm","UBR","U","70656","69.8%","55.5%","11744","55.2%"
"Civic Gardener","G","C","168198","65.4%","55.4%","29889","56.1%"
"Speakeasy Server","W","C","200344","72.7%","55.4%","31350","52.7%"
"Ziatora, the Incinerator","BRG","M","14188","81.9%","55.4%","2351","58.6%"
"Boon of Safety","W","C","90468","36.7%","55.4%","14320","54.2%"
"Snooping Newsie","UB","C","225426","70.2%","55.4%","38879","56.7%"
"Queza, Augur of Agonies","WUB","U","74325","75.0%","55.3%","12510","57.4%"
"Raffine's Silencer","B","U","105607","88.7%","55.3%","18711","57.1%"
"Ballroom Brawlers","W","U","81231","83.5%","55.3%","12790","54.7%"
"A-Masked Bandits","BRG","C","939","48.2%","55.3%","175",""
"Brokers Initiate","W","C","93845","40.5%","55.3%","16320","54.9%"
"Sanguine Spy","B","R","34005","91.0%","55.2%","6023","56.9%"
"Fake Your Own Death","B","C","183235","58.8%","55.2%","29374","55.0%"
"Waterfront District","","C","256035","81.1%","55.1%","47117","57.0%"
"Nimble Larcenist","WUB","U","55910","63.2%","55.1%","9459","57.6%"
"Topiary Stomper","G","R","23691","80.7%","55.1%","4045","59.2%"
"A Little Chat","U","U","71832","64.2%","55.0%","12643","53.6%"
"Brokers Veteran","U","C","209029","71.9%","55.0%","36896","54.9%"
"Aven Heartstabber","UB","R","26411","79.7%","55.0%","4642","56.4%"
"Prizefight","G","C","163386","76.4%","55.0%","26308","53.4%"
"Courier's Briefcase","G","U","74993","73.6%","54.9%","13625","54.7%"
"Raffine's Tower","","R","29016","89.7%","54.9%","5514","56.7%"
"Corrupt Court Official","B","C","284152","85.6%","54.8%","50530","56.0%"
"Dusk Mangler","B","U","83557","80.4%","54.8%","12576","54.5%"
"Attended Socialite","G","C","113697","47.8%","54.8%","19953","54.8%"
"Urabrask, Heretic Praetor","R","M","15044","86.9%","54.7%","2563","58.5%"
"Riveteers Requisitioner","R","U","83981","89.9%","54.7%","15121","58.2%"
"Murder","B","C","230660","91.4%","54.6%","38377","54.0%"
