"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Killian, Ink Duelist","WB","U","99364","83.8%","59.2%","20990","65.3%"
"Shadrix Silverquill","WB","M","18269","88.3%","59.2%","3106","65.6%"
"Humiliate","WB","U","88510","75.0%","59.1%","17370","62.5%"
"Blot Out the Sky","WB","M","20222","90.5%","59.0%","3343","64.7%"
"Sparring Regimen","W","R","41435","93.5%","59.0%","7553","67.8%"
"Closing Statement","WB","U","103374","84.0%","58.9%","20281","61.4%"
"Silverquill Silencer","WB","R","27696","76.3%","58.8%","5036","61.3%"
"Elite Spellbinder","W","R","36101","87.2%","58.7%","6473","67.1%"
"Professor of Symbology","W","U","124036","88.1%","58.7%","26123","64.7%"
"Sedgemoor Witch","B","R","37799","92.6%","58.7%","6823","65.2%"
"Poet's Quill","B","R","42974","92.3%","58.7%","7726","64.7%"
"Mavinda, Students' Advocate","W","M","17755","86.0%","58.6%","3236","63.2%"
"Silverquill Command","WB","R","35102","84.6%","58.3%","6020","59.1%"
"Silverquill Apprentice","WB","U","83662","76.4%","58.3%","17585","59.3%"
"Leonin Lightscribe","W","R","37692","89.4%","58.0%","6783","64.3%"
"Eyetwitch","B","U","97907","87.8%","58.0%","19644","62.3%"
"Multiple Choice","U","R","44269","92.8%","57.9%","7799","64.0%"
"Shaile, Dean of Radiance","W","R","36205","92.4%","57.8%","6654","64.7%"
"Swords to Plowshares","W","R","27112","90.3%","57.8%","4672","60.3%"
"Tempted by the Oriq","U","R","48130","88.6%","57.8%","8243","61.2%"
"Thunderous Orator","W","U","99844","89.0%","57.6%","20850","60.8%"
"Combat Professor","W","C","224161","88.0%","57.4%","53180","59.1%"
"Shadewing Laureate","WB","U","67741","80.0%","57.4%","13809","57.1%"
"Gods Willing","W","R","18168","78.3%","57.4%","2977","58.1%"
"Mizzix's Mastery","R","M","13830","85.0%","57.4%","2295","59.4%"
"Owlin Shieldmage","WB","C","144403","63.0%","57.4%","30123","56.4%"
"Quandrix Command","UG","R","35257","84.4%","57.4%","6224","60.5%"
"Lorehold Command","WR","R","41326","86.6%","57.4%","7046","63.0%"
"Flunk","B","U","116102","89.4%","57.3%","22929","58.4%"
"Guiding Voice","W","C","218029","76.5%","57.3%","51175","58.5%"
"Gnarled Professor","G","R","35761","91.0%","57.3%","6195","62.5%"
"Eager First-Year","W","C","181150","73.0%","57.2%","44730","58.9%"
"Professor Onyx","B","M","17220","88.1%","57.2%","2815","59.2%"
"Mana Tithe","W","R","11480","53.3%","57.1%","2041","61.7%"
"Electrolyze","UR","R","26665","85.2%","57.1%","4631","61.3%"
"Manifestation Sage","UG","R","28665","80.0%","57.1%","5137","63.2%"
"Doom Blade","B","R","24103","90.6%","57.1%","4225","58.3%"
"Magma Opus","UR","M","21297","88.8%","57.0%","3448","61.2%"
"Eliminate","B","U","100517","91.0%","57.0%","18017","57.4%"
"Pilgrim of the Ages","W","C","183148","76.1%","56.9%","41237","58.0%"
"Lash of Malice","B","C","210696","82.1%","56.9%","45930","58.1%"
"Silverquill Campus","","C","180921","74.2%","56.9%","42112","59.0%"
"Selfless Glyphweaver","W","R","30028","83.9%","56.9%","5140","55.8%"
"Study Break","W","C","207489","70.7%","56.9%","46436","54.8%"
"Quandrix Cultivator","UG","U","93578","83.7%","56.8%","18993","62.1%"
"Day of Judgment","W","M","8650","74.9%","56.7%","1575","58.5%"
"Shineshadow Snarl","","R","16722","65.7%","56.6%","3105","58.6%"
"Silverquill Pledgemage","WB","C","201282","83.9%","56.6%","47389","56.2%"
"Dramatic Finale","WB","R","33214","85.4%","56.6%","5869","58.8%"
"Baleful Mastery","B","R","35377","89.9%","56.6%","6074","56.2%"
"Arrogant Poet","B","C","161946","66.9%","56.5%","39611","56.1%"
"Hunt for Specimens","B","C","212210","80.5%","56.5%","51213","58.2%"
"Igneous Inspiration","R","U","127660","91.3%","56.5%","25389","60.5%"
"Hall of Oracles","","R","45257","98.1%","56.5%","8176","59.1%"
"Leech Fanatic","B","C","173227","80.4%","56.4%","39298","58.4%"
"Demonic Tutor","B","M","7505","73.4%","56.4%","1265","57.0%"
"Draconic Intervention","R","R","32722","77.6%","56.4%","5571","58.5%"
"Vanishing Verse","WB","R","24708","79.0%","56.4%","4266","55.3%"
"Harmonize","G","R","22982","87.5%","56.3%","3875","57.4%"
"Umbral Juke","B","U","87867","87.4%","56.3%","16786","56.5%"
"Dragonsguard Elite","G","R","33804","89.6%","56.3%","6087","63.2%"
"Valentin, Dean of the Vein","B","R","31947","89.3%","56.3%","5633","60.4%"
"Beaming Defiance","W","C","104369","47.4%","56.3%","18585","55.1%"
"Compulsive Research","U","R","25361","85.3%","56.2%","4479","56.4%"
"Blade Historian","WR","R","25632","78.1%","56.2%","4583","60.1%"
"Rise of Extus","WB","C","271237","84.7%","56.2%","54126","55.8%"
"Despark","WB","R","14673","72.0%","56.2%","2412","54.3%"
"Callous Bloodmage","B","R","28429","87.2%","56.2%","5018","56.4%"
"Crux of Fate","B","M","9674","79.0%","56.2%","1667","59.3%"
"Extus, Oriq Overlord","WB","M","16114","83.7%","56.2%","2740","56.8%"
"Spiteful Squad","WB","C","91274","49.0%","56.2%","18670","54.9%"
"Professor's Warning","B","C","95315","46.0%","56.1%","16983","55.6%"
"Velomachus Lorehold","WR","M","18021","88.2%","56.1%","2948","61.8%"
"Defiant Strike","W","U","46191","52.9%","56.1%","7856","53.7%"
"Mage Hunters' Onslaught","B","C","194073","86.7%","56.1%","41221","54.6%"
"Lightning Helix","WR","R","19377","78.1%","56.1%","3307","59.3%"
"Memory Lapse","U","R","19369","69.4%","56.0%","3386","58.4%"
"Lightning Bolt","R","R","25752","90.2%","55.9%","4518","59.4%"
"Specter of the Fens","B","C","162700","75.1%","55.9%","31847","53.6%"
"Quandrix Apprentice","UG","U","98137","83.5%","55.9%","20330","60.4%"
"Augmenter Pugilist","G","R","32214","88.4%","55.9%","5566","55.9%"
"Devouring Tendrils","G","U","99063","88.2%","55.9%","18462","56.3%"
"Divide by Zero","U","U","128972","89.1%","55.8%","25473","56.8%"
"Sign in Blood","B","R","14972","77.3%","55.8%","2599","55.0%"
"Dream Strix","U","R","42472","91.2%","55.8%","7748","58.9%"
"Emergent Sequence","G","U","104576","87.0%","55.7%","21720","62.1%"
"Professor of Zoomancy","G","C","182866","84.2%","55.7%","40309","58.6%"
"Clever Lumimancer","W","U","36763","49.0%","55.7%","7629","57.0%"
"Harness Infinity","BG","M","7801","51.7%","55.6%","1180","55.3%"
"Crackle with Power","R","M","19682","86.6%","55.5%","3179","54.9%"
"Wandering Archaic","","R","37673","97.6%","55.5%","6257","57.9%"
"Stonerise Spirit","W","C","121827","57.8%","55.5%","25917","54.5%"
"Bookwurm","G","U","106524","89.5%","55.5%","18322","54.2%"
"Brackish Trudge","B","U","62429","74.9%","55.5%","12126","56.8%"
"Pillardrop Rescuer","W","C","141775","61.3%","55.4%","25956","52.1%"
"Needlethorn Drake","UG","C","151431","73.2%","55.4%","36709","55.7%"
"Bury in Books","U","C","282971","84.8%","55.4%","67793","55.4%"
"Codie, Vociferous Codex","","R","34925","60.7%","55.4%","6794","59.9%"
"Access Tunnel","","U","54903","52.9%","55.4%","8959","54.2%"
"Decisive Denial","UG","U","78115","78.1%","55.3%","14864","54.1%"
"Galazeth Prismari","UR","M","16450","82.7%","55.3%","2871","60.7%"
"Divine Gambit","W","U","37360","34.0%","55.3%","5988","53.6%"
"Expressive Iteration","UR","U","85672","73.7%","55.3%","17291","56.4%"
"Retriever Phoenix","R","R","38137","89.2%","55.2%","6792","57.8%"
"Star Pupil","W","C","80837","44.8%","55.2%","18997","55.8%"
"Unwilling Ingredient","B","C","127839","59.4%","55.1%","27497","57.0%"
"Mage Duel","G","C","211803","85.4%","55.1%","47362","55.0%"
"Snakeskin Veil","G","U","62124","73.7%","55.1%","10324","55.5%"
"Scurrid Colony","G","C","181419","79.2%","55.1%","41739","55.5%"
"Master Symmetrist","G","U","87825","87.7%","55.1%","16477","56.3%"
"Essence Infusion","B","C","79785","43.5%","55.0%","15000","55.3%"
"Strict Proctor","W","R","16001","63.3%","55.0%","2890","55.9%"
"Tanazir Quandrix","UG","M","16419","85.1%","55.0%","2776","55.3%"
"Cultivate","G","U","92575","85.8%","55.0%","17479","59.0%"
"Blue Sun's Zenith","U","M","11488","81.1%","55.0%","1872","53.6%"
"Show of Confidence","W","U","42551","51.2%","54.9%","7245","53.8%"
"Body of Research","UG","M","11481","74.5%","54.9%","1821","56.1%"
"Reflective Golem","","U","65486","62.1%","54.9%","12785","54.1%"
"Shock","R","U","95860","88.3%","54.9%","17492","56.9%"
"Plargg, Dean of Chaos","R","R","34010","91.4%","54.9%","6206","57.3%"
"Agonizing Remorse","B","U","47936","57.7%","54.9%","8502","54.2%"
"Radiant Scrollwielder","WR","R","33442","81.9%","54.9%","5879","55.7%"
"Mage Hunter","B","U","52177","70.6%","54.8%","9358","54.7%"
"Eureka Moment","UG","C","165859","69.7%","54.8%","36818","54.6%"
"Field Trip","G","C","212430","80.9%","54.8%","49086","56.7%"
"Counterspell","U","R","20383","85.4%","54.8%","3527","56.1%"
"Witherbloom Pledgemage","BG","C","174912","82.2%","54.8%","33773","54.7%"
"Fortifying Draught","G","U","37181","44.8%","54.7%","6607","55.9%"
"Test of Talents","U","U","70052","57.7%","54.7%","12386","53.4%"
"Mila, Crafty Companion","W","M","13988","80.2%","54.7%","2362","54.3%"
"Negate","U","U","71420","65.9%","54.7%","12046","54.6%"
"Village Rites","B","U","34793","46.6%","54.6%","5745","53.2%"
"Zimone, Quandrix Prodigy","UG","U","78969","80.4%","54.6%","15204","54.4%"
"Heated Debate","R","C","241976","89.5%","54.6%","57576","55.5%"
"Conspiracy Theorist","R","R","32388","84.8%","54.6%","6026","59.7%"
"Abundant Harvest","G","R","11633","63.2%","54.6%","2059","54.6%"
"Quandrix Campus","","C","189208","77.3%","54.6%","45444","57.4%"
"Opt","U","U","69800","73.1%","54.6%","12752","54.7%"
"Exhilarating Elocution","WB","C","44663","23.1%","54.6%","7595","50.4%"
"Putrefy","BG","R","17979","79.3%","54.6%","3034","55.9%"
"Duress","B","U","23681","31.4%","54.6%","4117","54.7%"
"Lorehold Campus","","C","163669","64.9%","54.6%","38436","56.5%"
"Aether Helix","UG","U","70526","64.5%","54.5%","12219","51.9%"
"Prismari Command","UR","R","30911","81.7%","54.5%","5540","56.2%"
"The Biblioplex","","R","19949","56.0%","54.5%","3423","54.0%"
"Mortality Spear","BG","U","73100","80.5%","54.5%","14187","55.1%"
"Pop Quiz","U","C","229280","76.5%","54.5%","49645","54.2%"
"Time Warp","U","M","10790","86.8%","54.5%","1841","54.6%"
"Arcane Subtraction","U","C","219708","68.7%","54.5%","46552","52.8%"
"Hofri Ghostforge","WR","M","16118","82.9%","54.5%","2685","56.3%"
"Witherbloom Apprentice","BG","U","61314","78.3%","54.4%","12997","57.9%"
"Biomathematician","UG","C","94185","55.0%","54.3%","25777","54.9%"
"Overgrown Arch","G","U","89114","84.2%","54.3%","17929","55.6%"
"Curate","U","C","119335","44.9%","54.3%","24958","54.6%"
"Returned Pastcaller","WR","U","78921","74.0%","54.3%","14335","52.4%"
"Go Blank","B","U","27343","35.4%","54.3%","4791","54.4%"
"Witherbloom Campus","","C","140067","67.0%","54.3%","33136","56.3%"
"Venerable Warsinger","WR","R","24256","75.4%","54.3%","4431","57.0%"
"Lorehold Pledgemage","WR","C","149844","71.5%","54.2%","33746","53.4%"
"Snow Day","U","U","90354","72.9%","54.2%","14860","52.3%"
"Cram Session","BG","C","154538","61.8%","54.2%","33573","52.8%"
"Expel","W","C","112614","64.1%","54.2%","23145","52.6%"
"Frost Trickster","U","C","186044","85.2%","54.1%","44388","53.2%"
"Crushing Disappointment","B","C","66673","33.0%","54.1%","11614","50.6%"
"Efreet Flamepainter","R","R","35890","89.3%","54.1%","6335","55.6%"
"Prismari Campus","","C","206843","77.4%","54.0%","50184","56.1%"
"Kelpie Guide","U","U","92292","83.0%","54.0%","17998","54.1%"
"Quandrix Pledgemage","UG","C","208085","91.2%","54.0%","47774","54.7%"
"Vineglimmer Snarl","","R","17297","66.4%","54.0%","3334","56.9%"
"Rip Apart","WR","U","64356","72.8%","54.0%","13235","54.0%"
"Creative Outburst","UR","U","82073","75.3%","54.0%","15471","52.4%"
"Leyline Invocation","G","C","168027","74.0%","53.9%","33107","52.6%"
"Tenured Inkcaster","B","U","46890","66.0%","53.9%","8266","53.5%"
"Academic Dispute","R","U","95723","64.4%","53.9%","18442","52.4%"
"Mentor's Guidance","U","U","73659","68.1%","53.9%","13643","54.5%"
"Prismari Apprentice","UR","U","73549","72.5%","53.9%","15784","58.0%"
"Inkling Summoning","WB","C","10878","2.9%","53.9%","2138","52.1%"
"Growth Spiral","UG","R","15450","75.7%","53.8%","2698","54.9%"
"Kianne, Dean of Substance","G","R","33272","89.6%","53.8%","5997","53.1%"
"Elemental Masterpiece","UR","C","191073","71.5%","53.8%","40787","52.7%"
"Tezzeret's Gambit","U","R","22885","89.2%","53.8%","3985","52.5%"
"Rowan, Scholar of Sparks","R","M","16513","89.1%","53.8%","2881","54.3%"
"Maelstrom Muse","UR","U","82134","79.0%","53.7%","16696","55.1%"
"Defend the Campus","W","C","68980","36.1%","53.7%","11694","51.2%"
"Archmage Emeritus","U","R","36609","90.7%","53.7%","6153","54.2%"
"Make Your Mark","WR","C","68842","32.8%","53.7%","12502","53.8%"
"Practical Research","UR","U","80592","67.8%","53.7%","14191","52.6%"
