"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Dream Trawler","WU","R","2478","84.9%","63.2%","447",""
"Polukranos, Unchained","BG","M","1067","88.7%","63.0%","162",""
"Archon of Sun's Grace","W","R","2451","90.1%","60.2%","438",""
"Ashiok, Nightmare Muse","UB","M","1122","90.0%","60.2%","198",""
"Kiora Bests the Sea God","U","M","1265","91.8%","60.1%","216",""
"The Akroan War","R","R","2369","87.2%","58.9%","431",""
"The First Iroan Games","G","R","2109","86.8%","58.8%","356",""
"Aphemia, the Cacophony","B","R","2310","90.4%","58.6%","374",""
"Tymaret Calls the Dead","B","R","2718","86.9%","58.6%","522","64.9%"
"Threnody Singer","U","U","5404","82.7%","58.3%","992","61.8%"
"Pharika's Spawn","B","U","7426","92.8%","58.2%","1290","60.9%"
"Mire Triton","B","U","6769","89.8%","58.2%","1207","60.4%"
"Temple of Enlightenment","","R","1564","70.1%","58.1%","300",""
"Woe Strider","B","R","2656","90.9%","58.1%","467",""
"Chainweb Aracnir","G","U","4232","78.9%","58.0%","742","58.1%"
"Elspeth's Nightmare","B","U","6206","89.4%","58.0%","1085","65.9%"
"Staggering Insight","WU","U","4418","70.5%","57.9%","748","61.2%"
"Klothys, God of Destiny","RG","M","807","81.2%","57.9%","132",""
"Heliod's Pilgrim","W","C","14977","80.3%","57.9%","2613","59.5%"
"The Birth of Meletis","W","U","3735","75.5%","57.9%","685","59.6%"
"Mire's Grasp","B","C","18359","90.9%","57.8%","3368","58.8%"
"Gravebreaker Lamia","B","R","2780","90.5%","57.8%","450",""
"Venomous Hierophant","B","C","17165","82.6%","57.6%","2949","56.3%"
"Hateful Eidolon","B","U","5149","80.4%","57.6%","917","60.7%"
"Acolyte of Affliction","BG","U","5323","72.4%","57.5%","870","57.4%"
"Drag to the Underworld","B","U","5631","88.6%","57.5%","904","59.6%"
"Shadowspear","","R","2282","99.7%","57.4%","421",""
"Deny the Divine","U","C","11292","63.1%","57.4%","1909","57.5%"
"Banishing Light","W","U","4716","88.1%","57.3%","808","60.3%"
"Slaughter-Priest of Mogis","BR","U","3578","63.4%","57.3%","657","57.1%"
"Funeral Rites","B","C","6514","41.5%","57.2%","1205","57.8%"
"Relentless Pursuit","G","C","5342","36.9%","57.2%","855","55.9%"
"Omen of the Sun","W","C","13186","83.9%","57.2%","2369","58.0%"
"Iroas's Blessing","R","C","15722","83.7%","57.2%","2642","59.0%"
"Arasta of the Endless Web","G","R","1841","85.5%","57.1%","302",""
"Dreadful Apathy","W","C","15334","87.3%","57.0%","2593","55.2%"
"Nessian Hornbeetle","G","U","4457","89.7%","56.9%","809","59.1%"
"Anax, Hardened in the Forge","R","U","4901","85.9%","56.8%","833","60.3%"
"Elspeth, Sun's Nemesis","W","M","966","89.0%","56.8%","163",""
"Temple of Deceit","","R","1517","63.7%","56.8%","245",""
"Warbriar Blessing","G","C","13581","84.7%","56.8%","2320","57.7%"
"Uro, Titan of Nature's Wrath","UG","M","720","76.2%","56.8%","116",""
"Lampad of Death's Vigil","B","C","15962","83.3%","56.8%","2848","56.3%"
"Alirios, Enraptured","U","U","5253","82.1%","56.7%","936","58.0%"
"Elspeth Conquers Death","W","R","2101","86.5%","56.7%","336",""
"Nightmare Shepherd","B","R","2248","88.8%","56.7%","370",""
"Alseid of Life's Bounty","W","U","4970","87.6%","56.7%","852","58.7%"
"Tymaret, Chosen from Death","B","U","6150","89.8%","56.7%","1058","56.9%"
"Nessian Wanderer","G","U","4255","84.1%","56.6%","749","57.9%"
"Pheres-Band Brawler","G","U","4730","82.8%","56.6%","752","58.9%"
"Archon of Falling Stars","W","U","4351","79.5%","56.6%","693","52.4%"
"Commanding Presence","W","U","4549","85.7%","56.6%","752","55.2%"
"Voracious Typhon","G","C","13522","85.2%","56.6%","2303","57.9%"
"Leonin of the Lost Pride","W","C","10997","69.8%","56.6%","1931","60.0%"
"Final Death","B","C","16214","86.7%","56.6%","2635","55.6%"
"Kroxa, Titan of Death's Hunger","BR","M","782","70.8%","56.5%","138",""
"Mantle of the Wolf","G","R","1862","87.7%","56.5%","299",""
"Blight-Breath Catoblepas","B","C","14776","79.5%","56.5%","2346","55.4%"
"Heliod's Intervention","W","R","1537","78.8%","56.5%","267",""
"Thryx, the Sudden Storm","U","R","2029","82.8%","56.4%","387",""
"Rise to Glory","WB","U","3478","53.5%","56.4%","567","55.0%"
"Soulreaper of Mogis","B","C","13390","76.4%","56.4%","2285","55.5%"
"Omen of the Sea","U","C","14410","83.8%","56.3%","2522","56.0%"
"Riptide Turtle","U","C","6122","41.1%","56.3%","1039","54.3%"
"Nylea, Keen-Eyed","G","M","751","80.7%","56.3%","128",""
"Ox of Agonas","R","M","837","81.5%","56.3%","131",""
"Careless Celebrant","R","U","5051","85.1%","56.3%","927","60.0%"
"Mogis's Favor","B","C","11649","68.5%","56.2%","1922","57.2%"
"Daybreak Chimera","W","C","10732","77.3%","56.2%","1794","54.3%"
"Loathsome Chimera","G","C","13384","78.6%","56.2%","2377","56.0%"
"Ilysian Caryatid","G","C","10327","83.3%","56.2%","1838","62.0%"
"Thassa, Deep-Dwelling","U","M","968","81.5%","56.2%","156",""
"Heliod, Sun-Crowned","W","M","1066","89.6%","56.2%","182",""
"Nadir Kraken","U","R","2112","80.5%","56.2%","368",""
"Fateful End","R","U","5146","83.5%","56.1%","888","57.1%"
"Reverent Hoplite","W","U","3625","67.9%","56.1%","609","54.2%"
"Heroes of the Revel","R","U","3453","66.9%","56.0%","511","57.1%"
"Temple of Malice","","R","1542","64.8%","56.0%","260",""
"Medomai's Prophecy","U","U","3955","70.3%","56.0%","663","59.1%"
"Setessan Champion","G","R","2053","89.5%","56.0%","393",""
"Rage-Scarred Berserker","B","C","7148","48.9%","56.0%","1095","54.5%"
"Thirst for Meaning","U","C","9295","61.1%","56.0%","1571","58.3%"
"Entrancing Lyre","","U","7164","90.9%","56.0%","1240","54.1%"
"Erebos's Intervention","B","R","2302","88.8%","56.0%","398",""
"Nyx Herald","G","U","4357","87.0%","55.9%","737","58.6%"
"Kunoros, Hound of Athreos","WB","R","1204","62.3%","55.9%","218",""
"Daxos, Blessed by the Sun","W","U","4014","85.9%","55.8%","692","59.1%"
"Skola Grovedancer","G","C","10059","67.1%","55.8%","1749","55.2%"
"Whirlwind Denial","U","U","1798","36.1%","55.8%","296",""
"Tectonic Giant","R","R","2040","84.7%","55.7%","361",""
"Haktos the Unscarred","WR","R","1143","55.6%","55.7%","183",""
"Omen of the Dead","B","C","12887","73.5%","55.7%","2139","53.0%"
"Pious Wayfarer","W","C","12419","73.6%","55.7%","2122","59.6%"
"The Binding of the Titans","G","U","2454","56.1%","55.7%","388",""
"Transcendent Envoy","W","C","10501","79.2%","55.7%","1853","54.8%"
"Atris, Oracle of Half-Truths","UB","R","1759","65.3%","55.7%","303",""
"Underworld Charger","B","C","9834","67.5%","55.6%","1749","56.1%"
"Karametra's Blessing","W","C","7637","58.8%","55.6%","1202","55.8%"
