"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Volatile Arsonist","R","M","16148","87.4%","59.4%","2718","63.1%"
"Wedding Announcement","W","R","34811","89.7%","59.2%","6350","71.8%"
"Katilda, Dawnhart Martyr","W","R","30666","85.3%","59.2%","5474","66.6%"
"Henrika Domnathi","B","M","15875","87.3%","58.8%","2791","66.3%"
"Toxrill, the Corrosive","B","M","17337","92.0%","58.8%","2894","64.5%"
"Anje, Maid of Dishonor","BR","R","31873","83.9%","58.6%","5561","63.9%"
"Bloodtithe Harvester","BR","U","70500","70.6%","58.6%","15768","66.3%"
"Stensia Uprising","R","R","33791","85.3%","58.5%","5855","61.7%"
"Halana and Alena, Partners","RG","R","33958","87.2%","58.5%","5909","69.4%"
"Dreamshackle Geist","U","R","33285","85.9%","58.4%","6025","64.4%"
"Dreadfeast Demon","B","R","35465","91.4%","58.3%","5980","64.4%"
"Cemetery Desecrator","B","M","16936","87.8%","58.0%","2749","62.5%"
"Vampires' Vengeance","R","U","59191","62.2%","58.0%","11523","59.0%"
"Alluring Suitor","R","U","101844","87.0%","58.0%","20472","61.4%"
"Welcoming Vampire","W","R","31367","88.6%","57.9%","5715","66.3%"
"Faithbound Judge","W","M","14656","84.1%","57.9%","2650","63.8%"
"Bloodvial Purveyor","B","R","31524","88.4%","57.7%","5457","64.3%"
"Voldaren Bloodcaster","B","R","30208","86.8%","57.7%","5676","63.6%"
"Avabruck Caretaker","G","M","15615","88.5%","57.7%","2705","64.1%"
"Voltaic Visionary","R","U","100643","84.9%","57.6%","20907","62.6%"
"Sorin the Mirthless","B","M","15132","87.0%","57.6%","2617","65.6%"
"Brine Comber","WU","U","54717","57.6%","57.6%","12723","61.1%"
"Manaform Hellkite","R","M","15187","85.5%","57.5%","2520","61.6%"
"Ill-Tempered Loner","R","R","32775","88.7%","57.5%","5678","60.8%"
"Rending Flame","R","U","99699","89.2%","57.5%","19421","58.1%"
"Hullbreaker Horror","U","R","33443","88.1%","57.4%","5514","60.4%"
"Lunar Rejection","U","U","100750","77.5%","57.4%","19982","57.1%"
"Wandering Mind","UR","U","45926","44.8%","57.4%","10777","59.8%"
"Wedding Invitation","","C","87463","33.7%","57.3%","18432","56.1%"
"Flame-Blessed Bolt","R","C","237390","84.5%","57.1%","58929","59.4%"
"Concealing Curtains","B","R","30844","84.2%","57.1%","5604","64.9%"
"Abrade","R","C","228421","87.1%","56.9%","56202","58.5%"
"Parasitic Grasp","B","U","93747","86.4%","56.9%","18479","59.0%"
"Falkenrath Celebrants","R","C","219722","77.1%","56.8%","48157","56.7%"
"Diver Skaab","U","U","95869","78.2%","56.8%","17815","57.8%"
"Biolume Egg","U","U","74420","67.1%","56.8%","16111","61.3%"
"Voldaren Epicure","R","C","161444","64.6%","56.8%","40645","58.5%"
"Markov Retribution","R","U","48998","55.3%","56.8%","8903","54.8%"
"Overcharged Amalgam","U","R","31091","85.8%","56.7%","5230","58.0%"
"Stormchaser Drake","U","U","86263","81.4%","56.6%","18959","60.2%"
"Valorous Stance","W","U","80221","84.2%","56.6%","14678","56.6%"
"Edgar, Charmed Groom","WB","R","28265","81.0%","56.5%","4908","63.3%"
"Olivia's Attendants","R","R","32666","87.9%","56.5%","5362","57.6%"
"Creepy Puppeteer","R","R","30268","84.9%","56.5%","5215","59.2%"
"Jacob Hauken, Inspector","U","M","15330","78.1%","56.5%","2653","62.6%"
"Nurturing Presence","W","C","76760","36.4%","56.4%","17865","55.9%"
"Traveling Minister","W","C","198422","74.4%","56.4%","54626","61.1%"
"Ballista Watcher","R","U","93797","85.5%","56.3%","17615","55.8%"
"Lantern Bearer","U","C","207209","77.2%","56.3%","56605","59.4%"
"Cemetery Illuminator","U","M","14676","81.3%","56.3%","2528","56.4%"
"Angelic Quartermaster","W","U","77491","84.5%","56.3%","13820","57.6%"
"Ancestral Anger","R","C","58610","26.4%","56.3%","20966","54.8%"
"Geistlight Snare","U","U","34481","39.3%","56.3%","6387","56.9%"
"Mirrorhall Mimic","U","R","33875","86.2%","56.3%","5913","56.6%"
"Thirst for Discovery","U","U","85282","78.4%","56.2%","16458","56.5%"
"Kessig Flamebreather","R","C","122165","52.5%","56.2%","36089","57.4%"
"Circle of Confinement","W","U","79445","83.9%","56.1%","15539","57.1%"
"Kindly Ancestor","W","C","168751","77.8%","56.1%","40728","57.7%"
"Glorious Sunrise","G","R","28735","84.5%","56.1%","4837","59.6%"
"Fleeting Spirit","W","U","70073","80.0%","56.1%","14269","58.2%"
"By Invitation Only","W","R","28179","78.2%","56.1%","4760","56.2%"
"Fell Stinger","B","U","86504","86.9%","56.1%","16829","58.2%"
"Pointed Discussion","B","C","125774","52.3%","56.1%","24292","55.3%"
"Packsong Pup","G","U","64520","77.7%","56.0%","14010","60.6%"
"Reckless Impulse","R","C","174944","61.5%","56.0%","39029","53.4%"
"Lantern Flare","W","R","28086","79.3%","56.0%","4718","54.8%"
"Scattered Thoughts","U","C","152372","53.0%","56.0%","29285","55.3%"
"Fierce Retribution","W","C","162823","80.6%","56.0%","36841","54.7%"
"Sanguine Statuette","R","U","39007","45.5%","56.0%","8050","54.9%"
"Blood Petal Celebrant","R","C","175827","77.5%","55.9%","44262","56.8%"
"Twinblade Geist","W","U","74639","85.9%","55.9%","15140","58.7%"
"Sigarda's Imprisonment","W","C","170606","80.9%","55.9%","39544","54.4%"
"Geralf, Visionary Stitcher","U","R","32697","86.4%","55.9%","5828","58.8%"
"Heron of Hope","W","C","155580","71.1%","55.9%","35193","55.1%"
"Falkenrath Forebear","B","R","28940","85.8%","55.9%","5388","59.8%"
"Kessig Wolfrider","R","R","25116","80.5%","55.9%","4447","57.7%"
"Hero's Downfall","B","U","81913","88.6%","55.8%","15103","55.3%"
"Dollhouse of Horrors","","R","37106","91.4%","55.8%","6021","54.3%"
"Howlpack Piper","G","R","25831","81.2%","55.8%","4545","59.6%"
"Hopeful Initiate","W","R","19367","74.4%","55.8%","3565","59.6%"
"Fearful Villager","R","C","137321","62.4%","55.8%","31480","55.0%"
"Bleed Dry","B","C","218693","86.4%","55.8%","50222","55.6%"
"Diregraf Scavenger","B","C","204762","80.0%","55.8%","46267","54.0%"
"Belligerent Guest","R","C","135103","65.6%","55.8%","30961","55.5%"
"Infestation Expert","G","U","66121","80.0%","55.7%","11961","57.3%"
"Cemetery Gatekeeper","R","M","11757","79.3%","55.7%","2033","56.7%"
"Bloodcrazed Socialite","B","C","153866","71.9%","55.7%","34372","56.7%"
"Voice of the Blessed","W","R","22938","78.9%","55.7%","4075","56.3%"
"Cemetery Prowler","G","M","12343","78.8%","55.7%","2163","57.1%"
"Voldaren Estate","","R","14923","55.3%","55.7%","2701","53.8%"
"Drogskol Infantry","W","C","180336","81.3%","55.6%","46384","56.4%"
"Markov Purifier","WB","U","47144","62.0%","55.6%","10158","58.4%"
"Ulvenwald Oddity","G","R","27181","83.1%","55.5%","4571","58.3%"
"Panicked Bystander","W","U","65168","76.7%","55.5%","13516","56.8%"
"Hungry Ridgewolf","R","C","120693","57.4%","55.5%","34458","56.6%"
"Evolving Wilds","","C","250243","91.1%","55.4%","54376","57.3%"
"Chill of the Grave","U","C","151102","57.0%","55.3%","35014","53.1%"
"Gluttonous Guest","B","C","174893","75.5%","55.3%","42207","54.8%"
"Cemetery Protector","W","M","13000","81.2%","55.3%","2160","58.1%"
"Dorothea, Vengeful Victim","WU","R","18579","64.7%","55.3%","3377","56.1%"
"Ragged Recluse","B","C","154915","65.5%","55.3%","38050","55.6%"
"Syphon Essence","U","C","103079","40.8%","55.3%","20690","55.1%"
"Cruel Witness","U","C","154779","65.0%","55.3%","33600","55.1%"
"Runebound Wolf","R","U","56728","68.3%","55.3%","11981","55.5%"
"Olivia, Crimson Bride","BR","M","14103","85.0%","55.3%","2286","54.0%"
"Restless Bloodseeker","B","U","70379","81.7%","55.3%","14195","56.3%"
"Undead Butler","B","U","71963","78.8%","55.2%","14190","56.6%"
"Undying Malice","B","C","98143","45.8%","55.2%","16725","54.4%"
"Cradle of Safety","U","C","97367","40.2%","55.2%","17924","53.6%"
"Syncopate","U","C","136190","53.9%","55.2%","28759","56.4%"
"Whispering Wizard","U","U","70176","74.1%","55.2%","13549","55.6%"
"Hallowed Haunting","W","M","5743","45.2%","55.2%","950","58.6%"
"Reclusive Taxidermist","G","U","74107","85.2%","55.2%","15729","59.1%"
"Dominating Vampire","R","R","20167","72.4%","55.2%","3416","53.1%"
"Headless Rider","B","R","26615","82.1%","55.2%","4888","57.9%"
"Child of the Pack","RG","U","58433","71.7%","55.1%","11655","55.7%"
"Bramble Wurm","G","U","75323","79.3%","55.1%","13025","55.6%"
"Blood Hypnotist","R","U","49623","62.0%","55.1%","9683","56.1%"
"Markov Waltzer","WR","U","36832","48.6%","55.1%","8022","57.3%"
"Dormant Grove","G","U","71325","82.5%","55.1%","13228","57.2%"
"Alchemist's Retrieval","U","C","93783","39.8%","55.0%","17662","53.4%"
"Skull Skaab","UB","U","49282","60.1%","55.0%","11287","57.6%"
"Resistance Squad","W","U","56711","72.2%","55.0%","11504","56.2%"
"Stormcarved Coast","","R","9373","35.8%","55.0%","1768","55.8%"
"Eruth, Tormented Prophet","UR","R","18438","53.4%","55.0%","3279","57.3%"
"Wolf Strike","G","C","168365","79.6%","55.0%","40923","53.6%"
"Ascendant Packleader","G","R","20959","79.3%","55.0%","3864","58.9%"
"Necroduality","U","M","8761","57.2%","54.9%","1540","63.4%"
"Hookhand Mariner","G","C","151861","74.6%","54.9%","35624","55.3%"
"Sure Strike","R","C","101335","46.5%","54.9%","18686","53.2%"
"Flourishing Hunter","G","C","152487","67.6%","54.9%","31808","54.7%"
"Wretched Throng","U","C","64123","32.3%","54.8%","25576","55.0%"
"Mischievous Catgeist","U","U","56674","73.8%","54.8%","11306","56.1%"
"Blood Fountain","B","C","168844","64.7%","54.8%","31247","51.9%"
"Courier Bat","B","C","126543","61.2%","54.8%","28347","52.9%"
"Grisly Ritual","B","C","146518","64.9%","54.8%","25567","52.6%"
"Gift of Fangs","B","C","142956","70.2%","54.8%","30029","53.3%"
"Heron-Blessed Geist","W","C","103480","52.2%","54.7%","19114","53.5%"
"Spore Crawler","G","C","143856","71.8%","54.7%","36241","55.4%"
"Weaver of Blossoms","G","C","158090","80.8%","54.7%","40202","56.8%"
"Bloody Betrayal","R","C","29223","15.2%","54.7%","5290","52.5%"
"Desperate Farmer","B","C","162602","77.3%","54.7%","36272","54.1%"
"Massive Might","G","C","106484","48.1%","54.7%","20986","53.4%"
"Stitched Assistant","U","C","139054","60.3%","54.7%","33823","53.1%"
"Sporeback Wolf","G","C","128792","65.5%","54.6%","32048","55.2%"
"Rot-Tide Gargantua","B","C","125485","62.2%","54.6%","23979","54.0%"
"Foreboding Statue","","U","71338","81.4%","54.6%","14047","55.8%"
"Steelclad Spirit","U","C","78421","34.2%","54.6%","17993","53.9%"
"Hiveheart Shaman","G","R","28321","82.3%","54.5%","5042","57.5%"
"Sundown Pass","","R","8849","38.7%","54.5%","1662","57.9%"
"Doomed Dissenter","B","C","134950","65.6%","54.5%","32305","55.8%"
"Savior of Ollenbock","W","M","12455","80.8%","54.5%","2168","57.9%"
"Wolfkin Outcast","G","U","57103","75.8%","54.5%","10508","54.1%"
"Snarling Wolf","G","C","78525","43.9%","54.5%","17667","56.7%"
"Inspired Idea","U","R","21977","66.6%","54.4%","3730","51.8%"
"Repository Skaab","U","C","121788","50.2%","54.4%","24499","51.2%"
"Oakshade Stalker","G","U","49841","74.9%","54.3%","9715","54.8%"
"Binding Geist","U","C","113920","50.2%","54.2%","25591","53.3%"
"Adamant Will","W","C","88114","45.8%","54.2%","15599","52.7%"
"Cobbled Lancer","U","U","52387","58.5%","54.1%","9240","53.2%"
"Mindleech Ghoul","B","C","105473","51.9%","54.0%","23858","52.6%"
"Old Rutstein","BG","R","14753","51.5%","54.0%","2673","60.7%"
"Lacerate Flesh","R","C","120230","57.2%","54.0%","22120","51.2%"
"Witch's Web","G","C","70385","37.0%","54.0%","12464","53.2%"
"Edgar's Awakening","B","U","41299","53.5%","54.0%","6690","50.5%"
"Odric, Blood-Cursed","WR","R","6314","31.8%","54.0%","1073","54.9%"
"Archghoul of Thraben","B","U","48194","63.0%","53.9%","10158","53.4%"
"Vilespawn Spider","UG","U","26391","31.6%","53.9%","6598","59.1%"
"Howling Moon","G","R","11874","58.5%","53.9%","2064","55.9%"
"Innocent Traveler","B","U","45283","72.6%","53.9%","7977","54.9%"
"Lambholt Raconteur","R","U","52462","66.4%","53.9%","9922","52.5%"
"Torens, Fist of the Angels","WG","R","20837","72.7%","53.8%","3845","58.4%"
"Serpentine Ambush","U","C","19151","10.0%","53.7%","3559","53.4%"
"Wedding Security","B","U","48043","69.6%","53.7%","8421","52.3%"
"Shattered Sanctum","","R","9971","44.3%","53.7%","1921","54.7%"
"Magma Pummeler","R","U","44230","60.4%","53.7%","7756","51.0%"
"Parish-Blade Trainee","W","C","102579","61.8%","53.7%","24856","54.9%"
"Gryff Rider","W","C","111608","68.1%","53.7%","25919","52.5%"
"Apprentice Sharpshooter","G","C","109295","60.6%","53.6%","24644","53.5%"
"Persistent Specimen","B","C","81681","42.6%","53.6%","16458","53.7%"
"Selhoff Entomber","U","C","62658","26.8%","53.5%","13638","54.2%"
"Vampire Slayer","W","C","60855","31.4%","53.5%","13241","53.8%"
"Catapult Fodder","B","U","45769","60.3%","53.4%","9706","53.6%"
"Sigardian Paladin","WG","U","31827","51.2%","53.4%","6579","55.1%"
"Dawnhart Disciple","G","C","95133","49.8%","53.4%","24766","54.1%"
"Spiked Ripsaw","G","U","37689","44.9%","53.4%","6219","50.6%"
"Graf Reaver","B","R","10085","48.3%","53.4%","1794","56.1%"
"Honeymoon Hearse","R","U","14602","20.8%","53.4%","2480","52.2%"
"Dawnhart Geist","W","U","21187","30.9%","53.4%","4117","51.4%"
"Nebelgast Beguiler","W","C","31196","16.5%","53.4%","5185","52.7%"
"Piercing Light","W","C","69727","40.1%","53.3%","13703","52.3%"
"Toxic Scorpion","G","C","95115","53.4%","53.3%","21519","52.2%"
"Gutter Skulker","U","U","54691","67.4%","53.3%","9962","52.2%"
"Distracting Geist","W","U","51777","73.0%","53.3%","9767","51.2%"
"Chandra, Dressed to Kill","R","M","7869","63.8%","53.3%","1348","52.4%"
"Daybreak Combatants","R","C","51370","27.0%","53.3%","10871","50.6%"
"Rural Recruit","G","C","56819","32.0%","53.2%","11728","53.0%"
"Sawblade Slinger","G","U","38763","55.3%","53.2%","6842","52.3%"
"Lightning Wolf","R","C","40295","21.5%","53.2%","7377","51.0%"
"Ancient Lumberknot","BG","U","29730","41.6%","53.2%","6514","54.6%"
"Path of Peril","B","R","16073","63.7%","53.2%","2731","50.8%"
"Cultivator Colossus","G","M","6818","60.9%","53.2%","1013","51.5%"
"Militia Rallier","W","C","72468","38.9%","53.1%","15355","51.7%"
"Deathcap Glade","","R","7786","35.3%","53.1%","1432","54.4%"
"Pyre Spawn","R","C","37231","19.1%","53.1%","6111","51.6%"
"Ceremonial Knife","","C","124576","45.1%","53.1%","21921","49.0%"
"Thalia, Guardian of Thraben","W","R","16330","70.1%","53.1%","2916","55.9%"
"Investigator's Journal","","R","17704","69.9%","53.1%","3026","51.1%"
"Skulking Killer","B","U","13226","23.2%","52.9%","2247","52.2%"
"Into the Night","R","U","2094","2.9%","52.9%","312",""
"Gryffwing Cavalry","W","U","48836","75.4%","52.8%","8718","50.1%"
"Hamlet Vanguard","G","R","16599","69.4%","52.7%","2847","53.5%"
"Witness the Future","U","U","19605","23.0%","52.7%","3480","48.4%"
"Skywarp Skaab","U","C","69008","32.9%","52.7%","12293","50.4%"
"Lantern of the Lost","","U","2512","3.3%","52.6%","434",""
"Screaming Swarm","U","U","55635","64.4%","52.6%","9026","49.1%"
"Dig Up","G","R","9951","41.4%","52.5%","1811","52.4%"
"Fear of Death","U","C","37462","18.2%","52.5%","7861","50.2%"
"Estwald Shieldbasher","W","C","73447","45.6%","52.5%","14196","50.7%"
"Blood Servitor","","C","24145","11.4%","52.3%","4735","50.6%"
"Weary Prisoner","R","C","32648","19.3%","52.2%","6176","49.7%"
"Winged Portent","U","R","3495","14.5%","52.2%","532","46.1%"
"Aim for the Head","B","C","17988","9.9%","52.1%","3148","50.9%"
"Supernatural Rescue","W","C","17693","10.1%","52.1%","2905","48.1%"
"Cloaked Cadet","G","U","37477","59.5%","52.1%","6602","50.0%"
"Dreamroot Cascade","","R","6301","27.6%","52.0%","1186","53.9%"
"Wanderlight Spirit","U","C","50649","27.6%","52.0%","10760","50.2%"
"Frenzied Devils","R","U","13372","18.8%","51.8%","2270","50.2%"
"Arm the Cathars","W","U","32014","50.4%","51.8%","5102","48.9%"
"Grolnok, the Omnivore","UG","R","10301","38.8%","51.8%","1851","52.5%"
"Alchemist's Gambit","R","R","4372","17.9%","51.7%","664","50.6%"
"Runo Stromkirk","UB","R","12194","50.0%","51.7%","2125","49.1%"
"Wash Away","U","U","18602","25.6%","51.6%","3157","49.3%"
"Bramble Armor","G","C","9788","5.7%","51.6%","1602","50.1%"
"Mulch","G","C","21028","11.1%","51.5%","4532","50.0%"
"Crushing Canopy","G","C","20259","11.0%","51.5%","3081","47.7%"
"Bloodsworn Squire","B","U","24016","46.1%","51.5%","4055","47.7%"
"Curse of Hospitality","R","R","12818","62.1%","51.4%","2232","47.8%"
"Soulcipher Board","U","U","20357","27.7%","51.4%","3782","48.8%"
"Moldgraf Millipede","G","C","37091","20.7%","51.3%","7811","49.3%"
"Honored Heirloom","","C","44659","22.1%","51.2%","8224","48.3%"
"Vampire's Kiss","B","C","25620","15.0%","51.1%","4881","48.1%"
"Unhallowed Phalanx","B","C","23480","13.9%","51.0%","4856","49.4%"
"Sheltering Boughs","G","C","12701","7.7%","51.0%","2375","50.3%"
"Unholy Officiant","W","C","19611","13.5%","50.6%","3938","51.2%"
"Dying to Serve","B","R","9946","42.5%","50.6%","1739","45.6%"
"Retrieve","G","U","15764","23.0%","50.6%","2479","46.6%"
"End the Festivities","R","C","5419","3.0%","50.6%","999","51.0%"
"Ollenbock Escort","W","U","15270","26.2%","50.5%","2891","49.0%"
"Radiant Grace","W","U","10696","21.7%","50.4%","1750","47.9%"
"Sigarda's Summons","W","R","6438","32.1%","50.1%","958","49.2%"
"Dreadlight Monstrosity","U","C","33246","17.6%","50.1%","5253","48.5%"
"Groom's Finery","B","U","5556","7.9%","50.1%","962","48.5%"
"Bride's Gown","W","U","7321","10.7%","49.9%","1317","45.9%"
"Nature's Embrace","G","C","19812","12.4%","49.8%","3782","47.1%"
"Laid to Rest","G","U","16499","25.3%","49.8%","2815","42.6%"
"Crawling Infestation","G","U","7187","10.4%","49.6%","1474","50.1%"
"Dread Fugue","B","U","4292","7.3%","49.3%","783","49.0%"
"Patchwork Crawler","U","R","8676","43.4%","49.0%","1571","47.0%"
"Boarded Window","","U","12637","17.5%","48.5%","2623","40.8%"
"Kaya, Geist Hunter","WB","M","2771","33.2%","48.1%","463",""
"Cartographer's Survey","G","U","4414","6.9%","48.0%","742","44.6%"
"Consuming Tide","U","R","3050","14.9%","47.1%","504","41.1%"
"Sanctify","W","C","2385","1.5%","45.9%","362",""
"Demonic Bargain","B","R","88","0.3%","","15",""
"Change of Fortune","R","R","316","1.2%","","52",""
"Splendid Reclamation","G","R","201","0.8%","","24",""
