"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Gruff Triplets","G","R","56781","91.0%","59.4%","9636","68.4%"
"Redcap Gutter-Dweller","R","R","60592","91.9%","59.2%","10453","64.8%"
"Goblin Bombardment","R","R","31128","76.9%","59.1%","5283","62.3%"
"Virtue of Persistence","B","M","28510","93.8%","58.8%","5038","64.9%"
"Imodane's Recruiter","R","U","219593","92.3%","58.6%","37396","60.9%"
"Lord Skitter, Sewer King","B","R","55756","93.1%","58.2%","9950","66.1%"
"Realm-Scorcher Hellkite","R","M","28180","91.9%","58.1%","4687","61.0%"
"Twisted Fealty","R","U","117438","63.0%","58.1%","18389","57.1%"
"Ash, Party Crasher","WR","U","115004","66.7%","57.8%","20214","61.3%"
"Torch the Tower","R","C","503637","92.1%","57.7%","87737","59.1%"
"Gumdrop Poisoner","B","R","57329","90.4%","57.7%","10025","60.7%"
"Monstrous Rage","R","U","157059","82.7%","57.5%","25294","57.3%"
"Faunsbane Troll","BG","R","60231","88.0%","57.4%","10179","63.0%"
"Embereth Veteran","R","U","163632","85.3%","57.3%","29106","60.3%"
"Horned Loch-Whale","U","R","50353","85.4%","57.3%","8811","62.3%"
"Virtue of Loyalty","W","M","26336","89.9%","57.3%","4766","63.8%"
"Harried Spearguard","R","C","274839","68.0%","57.3%","48534","59.5%"
"Welcome to Sweettooth","G","U","184229","88.1%","57.3%","33168","62.0%"
"Ratcatcher Trainee","R","C","404740","90.0%","57.3%","72264","57.2%"
"Flick a Coin","R","C","340805","67.2%","57.2%","58034","58.3%"
"Witchstalker Frenzy","R","U","196362","92.7%","57.2%","32639","57.3%"
"Heartflame Duelist","W","R","54592","86.9%","57.2%","9648","59.4%"
"Tough Cookie","G","U","177151","89.7%","57.2%","31898","60.6%"
"Grand Ball Guest","R","C","368857","78.2%","57.2%","66032","58.0%"
"Picnic Ruiner","R","U","160320","81.7%","57.1%","28040","58.5%"
"Cut In","R","C","442147","89.2%","57.1%","72767","57.6%"
"Tangled Colony","B","R","47372","86.1%","57.1%","8422","63.5%"
"Totentanz, Swarm Piper","BR","U","103810","70.0%","57.1%","17662","58.4%"
"Edgewall Pack","R","C","344884","79.1%","57.1%","56384","57.3%"
"Gingerbread Hunter","G","U","185843","90.1%","57.0%","31890","59.6%"
"Rat Out","B","C","265915","63.3%","57.0%","45375","58.4%"
"Goddric, Cloaked Reveler","R","R","54277","89.9%","57.0%","9540","59.2%"
"Hopeless Nightmare","B","C","324818","73.8%","57.0%","56730","58.8%"
"Spellbook Vendor","W","R","54256","91.0%","57.0%","9869","64.4%"
"The Witch's Vanity","B","U","155186","88.6%","56.9%","27427","58.7%"
"Bitterblossom","B","M","13326","94.7%","56.9%","2508","67.3%"
"Eriette's Tempting Apple","","U","78101","50.9%","56.9%","11970","54.7%"
"Minecart Daredevil","R","C","260353","66.6%","56.8%","43731","56.0%"
"Lord Skitter's Butcher","B","U","136851","85.9%","56.8%","23686","57.5%"
"Gnawing Crescendo","R","C","128869","38.2%","56.8%","19416","55.2%"
"Belligerent of the Ball","R","U","143839","81.8%","56.8%","24643","57.4%"
"Mosswood Dreadknight","G","R","53841","89.0%","56.8%","9904","62.1%"
"Faerie Dreamthief","B","U","141349","84.9%","56.7%","25423","59.6%"
"Candy Grapple","B","C","439443","92.1%","56.7%","76580","57.6%"
"Redcap Thief","R","C","282716","68.9%","56.7%","48890","57.5%"
"Witch's Mark","R","C","242058","57.9%","56.7%","41382","56.9%"
"Song of Totentanz","R","R","58679","92.0%","56.6%","9706","56.2%"
"Sweettooth Witch","B","C","326131","77.2%","56.6%","55927","56.1%"
"Twisted Sewer-Witch","B","U","119250","78.9%","56.6%","18883","56.7%"
"Mintstrosity","B","C","367024","82.7%","56.6%","65455","58.3%"
"Callous Sell-Sword","B","U","119200","73.1%","56.5%","20571","56.0%"
"Two-Headed Hunter","R","U","136020","83.8%","56.5%","21645","55.5%"
"Restless Cottage","","R","47196","79.3%","56.5%","8693","60.3%"
"Restless Bivouac","","R","41110","73.1%","56.5%","7781","59.7%"
"Hearth Elemental","R","U","158190","83.1%","56.5%","25880","54.2%"
"Decadent Dragon","R","R","53589","91.0%","56.4%","9222","57.6%"
"Kellan, the Fae-Blooded","R","M","23462","84.4%","56.4%","4133","58.7%"
"Ashiok, Wicked Manipulator","B","M","24941","90.3%","56.3%","4233","59.0%"
"Tattered Ratter","R","U","94894","64.4%","56.3%","16876","57.0%"
"Talion's Messenger","U","R","50925","86.4%","56.3%","8995","62.6%"
"Regal Bunnicorn","W","R","47446","87.0%","56.3%","8456","61.2%"
"Charming Scoundrel","R","R","48222","88.5%","56.3%","8773","57.1%"
"High Fae Negotiator","B","U","153900","87.9%","56.2%","24207","55.6%"
"Spiteful Hexmage","B","R","44448","81.6%","56.2%","7984","60.5%"
"Hopeful Vigil","W","C","358366","84.8%","56.2%","64736","59.7%"
"Grabby Giant","R","C","294135","75.6%","56.2%","51728","55.8%"
"Raging Battle Mouse","R","R","44619","86.0%","56.1%","8020","57.6%"
"Royal Treatment","G","U","148451","82.0%","56.1%","23804","57.6%"
"Rotisserie Elemental","R","R","37073","72.9%","56.1%","6675","59.1%"
"Greta, Sweettooth Scourge","BG","U","134763","79.4%","56.1%","23126","56.9%"
"Gingerbrute","","C","273957","69.9%","56.1%","50397","56.5%"
"Dragon Mantle","R","U","72020","44.4%","56.0%","11239","54.2%"
"Voracious Vermin","B","C","252798","77.9%","56.0%","44082","56.5%"
"The Huntsman's Redemption","G","R","52791","88.3%","56.0%","9351","58.3%"
"Scalding Viper","R","R","48772","83.4%","56.0%","8672","56.5%"
"Ruby, Daring Tracker","RG","U","88243","57.9%","56.0%","15413","59.3%"
"Archon's Glory","W","C","217830","54.0%","56.0%","34299","55.6%"
"Feral Encounter","G","R","48014","82.9%","55.9%","7708","55.0%"
"Hollow Scavenger","G","C","352087","84.2%","55.9%","62164","56.9%"
"The Goose Mother","UG","R","54970","88.6%","55.9%","9225","59.2%"
"Woodland Acolyte","W","U","132778","78.5%","55.9%","23192","56.4%"
"Shrouded Shepherd","W","U","136570","78.8%","55.9%","24036","56.2%"
"Merry Bards","R","C","167578","45.8%","55.8%","27699","54.3%"
"Werefox Bodyguard","W","R","42305","81.8%","55.8%","7215","58.8%"
"Edgewall Inn","","U","199965","96.1%","55.8%","37191","57.4%"
"Cheeky House-Mouse","W","U","91007","66.3%","55.8%","16208","58.1%"
"The Princess Takes Flight","W","U","143645","77.2%","55.8%","23854","56.4%"
"Spellscorn Coven","B","U","125121","76.4%","55.8%","20898","56.3%"
"Sleep-Cursed Faerie","U","R","45381","82.4%","55.7%","8162","67.1%"
"Twining Twins","U","R","46183","84.4%","55.7%","7808","59.0%"
"Boundary Lands Ranger","R","U","99649","62.9%","55.7%","17576","56.3%"
"Utopia Sprawl","G","U","176725","84.9%","55.7%","31905","62.3%"
"Agatha's Champion","G","U","168598","90.7%","55.7%","27484","55.0%"
"Talion, the Kindly Lord","UB","M","22750","82.9%","55.6%","3789","58.9%"
"Hamlet Glutton","G","C","393296","88.8%","55.5%","63545","54.6%"
"Stockpiling Celebrant","W","C","312893","71.5%","55.5%","52836","55.2%"
"Taken by Nightmares","B","U","135769","88.8%","55.5%","21803","54.8%"
"Frolicking Familiar","U","U","121986","68.2%","55.4%","21436","56.4%"
"Picklock Prankster","U","U","121008","77.5%","55.4%","21465","57.4%"
"Three Blind Mice","W","R","45027","83.8%","55.4%","7785","58.4%"
"Faerie Fencing","B","U","119503","82.7%","55.3%","19748","55.3%"
"Evolving Wilds","","C","377801","88.5%","55.3%","70012","57.0%"
"Stormkeld Vanguard","G","U","126245","87.3%","55.3%","20885","55.8%"
"Up the Beanstalk","G","U","108905","64.2%","55.3%","19539","57.8%"
"Feed the Cauldron","B","C","289224","82.9%","55.3%","49532","54.5%"
"Conceited Witch","B","C","264187","77.8%","55.3%","45115","54.9%"
"The End","B","R","45121","85.5%","55.3%","7281","53.1%"
"Brave the Wilds","G","C","321362","68.0%","55.3%","56874","54.2%"
"Barrow Naughty","B","C","267799","75.9%","55.3%","47808","56.3%"
"Cooped Up","W","C","300839","84.8%","55.3%","51063","54.5%"
"Ferocious Werefox","G","C","292767","83.8%","55.2%","48870","54.3%"
"Rootrider Faun","G","C","344159","87.4%","55.1%","62190","57.7%"
"Rowan, Scion of War","BR","M","8906","45.5%","55.1%","1498","54.3%"
"Shatter the Oath","B","C","224360","72.2%","55.1%","34576","53.7%"
"Armory Mice","W","C","185846","51.9%","55.1%","33015","55.5%"
"Restless Vinestalk","","R","38652","68.9%","55.1%","7048","59.5%"
"Leaping Ambush","G","C","57886","17.3%","55.1%","9068","54.2%"
"Archon of the Wild Rose","W","R","44463","86.1%","55.1%","7254","57.0%"
"Redtooth Genealogist","G","C","251689","71.7%","55.0%","42814","55.3%"
"Bellowing Bruiser","R","C","131767","40.9%","55.0%","19889","52.8%"
"Tanglespan Lookout","G","U","113748","75.7%","55.0%","19914","56.6%"
"Bespoke Battlegarb","R","C","44637","13.5%","55.0%","7170","53.2%"
"Stonesplitter Bolt","R","U","126432","85.0%","55.0%","20686","53.4%"
"Devouring Sugarmaw","B","R","45512","84.4%","54.9%","7778","56.9%"
"Graceful Takedown","G","U","138071","84.7%","54.9%","22368","53.6%"
"Spell Stutter","U","C","223536","61.6%","54.9%","39075","56.6%"
